id,question,A,B,C,D,Answer,Explanation,Hint
11,Which of the following statements is false?,The factor for the future value of an annuity due is found by subtracting from the ordinary annuity table value for one more period.,The factor for the present value of an annuity due is found by multiplying the ordinary annuity table value by one minus the interest rate.,The factor for the present value of an annuity due is found by adding to the ordinary annuity table value for one less period.,The factor for the future value of an annuity due is found by multiplying the ordinary annuity table value by one plus the interest rate.,B,"The answer is
option B.
The present value annuity due factor could be calculated as the present value annuity factor times
one plus rate
,
not one minus rate
, because there is an additional period under annuity because it starts immediately.
The other statements are true.","Time Value of Money: According to the time value of money theory, money today is worth more than money tomorrow. Since cash, today, can be used, invested in, or increased."
12,"What is the PDV of $25,000 to be paid in one year if the interest rate is 5%?","$22,647","$24,005","$23,809","$26,003",C,"The correct option is
c). $23,809
Future Value = $25,000
Interest Rate = 5%
The formula we will use here is as follows:
{eq}PDV = \dfrac{FV}{(1+r)^{n}}= \dfrac{25,000}{(1+0.05)^{1}} = \dfrac{25000}{1.05} = \$23,809.53

{/eq}","Future Value: The term ""future value"" is used in the investment world and refers to the resulting amount of money if a certain amount is invested in any investment tool. Future value is the result of the invested amount."
13,An initial $400 compounded annually for 1 year at 3% would be:,$412,$560,$620,,A,"The correct answer is
option A. $412 .
Given information:
Cash flow: $400
Rate= 3%
Number of years(n) = 1 year
The future value (FV) formula is a financial concept that aids in determining the worth of cash flow compared to the initial payment at a future date.
Determine the amount after 1 year by multiplying the cash flow by the sum of one and interest raised to the power of the number of years:
{eq}\begin{aligned} \text{Future value} &=\text{Cash flow}\times {{(1+\text{Rate})}^{\text{n}}} \\ &=\$400\times {{(1+3\%)}^{1}} \\ &=\$412 \end{aligned} {/eq}
Thus, the future value after 1 year is $412.","Present Value: The present value (PV) is the current value of money that will be received in the future in the form of one or more payments and which has been discounted at a market interest rate. PV is frequently used in finance for financial modeling, bond pricing, and stock valuation."
14,"Relationship between future value and present value: Mixed stream. Using the information in the accompanying table, answer the questions that follow.","Determine the present value of the mixed stream of cash flows, using a 5% discount rate.","Suppose you had a lump sum equal to your answer in part a on hand today. If you invested this sum for 5 years and earned a 5% return each year, how much would you have after 5 years?","Determine the future value 5 years from now of the mixed stream, using a 5% interest rate. Compare your answer here to your answers in part b.","How much would you be willing to pay for this stream, assuming that you can at best earn 5% on your investments?",A,"a. Estimate the present value of cash flows:
{eq}PV = \displaystyle \frac{CF1}{(+I)} + \frac{CF2}{(1+I)^2} + \frac{CF3}{(1+I)^3} + \frac{CF4}{(1+I)^4} + \frac{CF5}{(1+I)^5} {/eq}
{eq}PV = \displaystyle \frac{\$800}{(+5\%)}+ \frac{\$900}{(1+5\%)^2} + \frac{\$1,000}{(1+5\%)^3} + \frac{\$1,500}{(1+5\%)^4} + \frac{\$2,000}{(1+5\%)^5} {/eq}
{eq}PV = $5,243.17 {/eq}
b. Estimate the future value of lump sum of $5,243.17 after 5 years:
{eq}FV = PV\times (1 +I)^N {/eq}
{eq}FV = \$5,243.17\times (1 + 5\%)^5 {/eq}
{eq}FV = $6,691.76 {/eq}
c. Estimate the future value of the mixed stream of cash flows:
{eq}FV = CF1\times (1 +I) + CF2 \times (1 + I)^2 + CF3\times (1 + I)^3 + CF4\times (1 +I)^4 + CF5\times (1 +I)^5 {/eq}
{eq}FV = $800\times (1 +5\%) + $900 \times (1 + 5\%)^2 + $1,000\times (1 + 5\%)^3 + $1,500\times (1 +5\%)^4 + $2,000\times (1 +5\%)^5 {/eq}
{eq}FV = $6,691.76 {/eq}
The answers in part b and part c are equal.
d. Purchase decision:
According to the estimate in part a, the highest price to purchase the mixed stream of cash flows should be $5,243.17.","Future Value: Future value is an important term in financial analysis, considering the effect of time value of money over years. It is estimated to determine investor's wealth in the future, which is an essential step in retirement planning."
15,You are receiving a payment of $500 a month as a settlement and wish to determine the lump sum value of those payments today.,Future Value,Future Value of Annuity,Present Value of Annuity,Present Value,C,"The answer is
C. Present Value of Annuity.
The pattern of monthly payments matches the characteristic of payments from an annuity.
The value of these payments today refers to the present value of all payments.","Time Value Of Money: The concept of the time value of money indicates the value of a dollar in 10 years will be different from the value of a dollar today. Alternatively, the purchasing power of money changes over a given period."
16,"A company buys a $10,000 bond at 102 as an investment. The correct entry is:","Debit investment in bonds and credit cash for $10,200.","Debit investment in bonds and credit cash for $9,800.","Credit investment in bonds and debit cash for $10,200.","Credit investment in bonds and debit cash for $9,800.",A,"Investments are made to earn extra income by putting excess and surplus money is some instruments like stocks, bonds, real state etc. The main purpose of investment is to earn return on the money invested.
Investment are shown as assets on the balance sheet and carry a debit balance.
While recognizing purchase of investment, we would debt investment and credit cast of bank.
If we have purchased $10,000 bond at $102 this mean we have invested $10,200 ($10,000 * 102 / 100)
So the correct option is
(a) Debit investment in bonds and credit cash for $10,200.","Investments : When we some of the excess amount of money available with us in some sort of instruments, real state etc. hoping for some return. Such activity is called investments."
17,Time value concepts may not be used to determine:,the present value of an annuity,the margin required on a stock purchase,the future value of $100 deposited in a bank,the present value of a lump sum,B,"The answer is
B. the margin required on a stock purchase
The margin required on a stock purchase is declared by the broker. It is not related to the value of money.
The present value and future value are two metrics to describe the time value of money at a different points in time.","Time Value Of Money: The concept of the time value of money is an important approach in financial analysis. Since the value of money will change in the future, financial analysts should move all cash flows to a single point in time for relevant analysis."
18,"Cannonier, Inc., has identified an investment project with the following cash flows.","If the discount rate is {eq}7

{/eq} percent, what is the future value of these cash flows in Year 4? (Do not round intermediate calculations and round your answer to 2 decimal places, e.g.,32.16.)","What is the future value at a discount rate of 13 percent? (Do not round intermediate calculations and round your answer to 2 decimal places, e.g., 32.16.)","What is the future value at a discount rate of 22 percent? (Do not round intermediate calculations and round your answer to 2 decimal places, e.g., 32.16.)",,A,"Part a.
If the discount rate is 7%, we will calculate the following future value of cash flows in year 4 with the following equation:
930 x (1.07){eq}^3

{/eq} + 1160 x (1.07){eq}^2

{/eq} + 1380 x (1.07) + 2120
Therefore, the future value is $6,063.97
Part b.
The future value at a discount rate of 13% will be calculated as the following:
930 x (1.13){eq}^3

{/eq} + 1160 x (1.13){eq}^2

{/eq} + 1380 x (1.13) + 2120
The future value is $6,502.50
Part c.
The future value at a discount rate of 22% can be calculated with the following equation:
930 x (1.22){eq}^3

{/eq} + 1160 x (1.22){eq}^2

{/eq} + 1380 x (1.22) + 2120
The future value is $7,218.88","Future Value: The future value is the value of an asset at a future date. The future value takes into account the present value, rate of interest and the time period of the asset."
19,Increases in the stock of capital are the result of decreases in:,gross investment,depreciation,net investment,all of the above,B,"Answer
B.
is correct. Increases in the stock of capital are the result of decreases in depreciation.
The capital stock measures the level of physical capital at the end of a fixed term (usually the level of physical capital at the end of the year). The inflows  or additions to this stock are called (gross) investments. In turn, the outflows are called depreciation and measure the amount of physical capital that wears out over the term and can not be used in the production process any longer. Depreciation of capital is a natural process as most machines, tools or items will break over the term of their lifetime. Net investments are the difference between gross investments and depreciation.
If depreciation decreases,  net investments will ceteris paribus increase.","Physical Capital and Investments In economics, physical capital is defined as all tool and items that can be used in the production process to create output. The creation of physical capital is called investment. Although physical capital is usually measured and denoted in monetary units it is important to note that physical capital is not money."
20,You are given $175 today and you go to the bank and deposit it in an account that provides 5% interest per year. What do you expect the balance to be two years from now?,$192.94,$194.92,$192.50,$195.20,A,"The correct answer is
a. $192.94
.
{eq}FV\, = PV\, \times \left ( 1\, +\, r \right )^{n}

{/eq}
Where
FV is the future value = ?
PV is the present value of the amount = $175
r is the rate of interest = 0.05 (5%)
n is the number of periods = 2 Years
Therefore,
{eq}FV\, = 175\, \times \left ( 1\, +\, 0.05 \right )^{2}\\

FV\, = 192.94

{/eq}",Deposits: Deposits are the amounts that we keep in the bank as part of our savings. How we can grow this amount into a large sum over a long time period depends on the bank schemes and the rate of interest provided along with it.
21,"Assume business investment spending is $10 billion when the interest rate is 2 percent. If the interest rate increases to 5 percent, investment spending will",increase to over $10 billion.,decrease to less than $10 billion.,remain unchanged.,remain unchanged until the interest rate reaches 5 percent and then investment spending increases.,B,"The correct option is
b. Decrease to less than $10 billion
.
We know that there is an inverse relationship between the interest rate and investment spending in the economy. This is so because a rise in the interest rate causes the cost of borrowing to rise, which in turn, reduces the level of investment spending in the economy.
In this case, the interest rate rises from 2% to 5% then it will cause the investment spending to decline from $10 billion. So, it can be stated that the investment spending would decline from $10 billion as an outcome of an increase in the interest rate from 2% to 5%.",Interest rate: The term interest rate in economics can be depicted as a rate charged by the lender from the borrower above its principal amount of loan being taken. This is mainly depicted as an incentive for the lender to give its asset or money to a borrower for a fixed period of time.
22,"What is the possible future value of a lump sum of $1,000 with n > 1 and r = 3%?",$800.,"$1,126.","$1,030.",$940.,B,"Option b) is correct.
Let's calculate the future value of $1,000 for 1 year.
{eq}\begin{align*}

{\rm{Future}}\;{\rm{value}}\;& = \;{\rm{Present}}\;{\rm{value}}{\left( {1 + {\rm{r}}} \right)^{\rm{n}}}\\

& = 1,000{\left( {1.03} \right)^1}\\

&= 1,030

\end{align*}

{/eq}
For one year, FV will be $1,030. So, for more than one year, it will be greater than $1,030. From the given options, for n > 1, the possible future value will be b) $1,126 as the other two options are less than $1,030.",Future Value: Future value is the true worth of the invested money in the future. It helps to compare different projects for deciding whether a project should be accepted or not and for estimating the expected future gain or loss from the project.
23,The idea that a specific amount of money is more valuable to a person the sooner it is obtained is known as:,the time-value of money.,the interest effect of money.,the present value of money.,the immediate value of money.,A,"The correct answer is option A: the time-value of money.
A
.Option A is correct because the time value of money suggests that the money that is presently available is more valuable than it will be in the future. This is because inflation reduces the quantity of a good that can   be purchased using the same amount of money over time. Even if the money is deposited in a bank where it can earn interest, it will be worth more the sooner it is withdrawn. This can be seen by considering the following formula: {eq}\text{FV}=\text{I}\times {{\left( 1+\text{R} \right)}^{\text{t}}}

{/eq}
B
.Option B is incorrect because ""the interest rate effect of money"" creates an impact on the 'borrowing and spending' of an individual. At a lower interest rate, individuals and businesses tend to borrow money, which increases the money supply in the economy. At a higher interest rate, there is less money in the hands of the individuals and businesses, so the money supply decreases.
C.
Option C is incorrect because the ""present value of money"" is the current worth of a future amount of money at a given rate of return. Its value helps an individual decide whether to accept or reject an offer. It can be calculated using the formula: {eq}\text{PV}=\frac{\text{FV}}{{{\left( 1+\text{r} \right)}^{\text{t}}}}

{/eq}
D
.D.Option D is incorrect because the immediate value of money refers to the payment of equal amount received at an equal time interval.","Value of monet The value of money refers to the purchasing capacity of an individual. It determines the quantity of a commodity that an individual can purchase using a single unit of money. An increase in the price of a commodity is known as inflation, which can reduce the value of money over time."
24,"What is the future value of $17,750 invested for 28 years at 8.5% compounded annually?","$174,274","$539,245","$355,000","$254,750",A,"The correct answer is:
A. $174,274
The future value formula is stated as:
{eq}FV=PV\left(1+\dfrac{r}{n}\right)^{nt}

{/eq}
Where:
{eq}FV

{/eq} is the future value,
{eq}PV

{/eq} is the present value,
{eq}r

{/eq} is the interest rate per annum,
{eq}t

{/eq} is the time in years and,
{eq}n

{/eq} is the number of compounding times in a year.
In our question, we have:
{eq}FV=?\\[0.3cm]

PV=\$17,750\\[0.3cm]

r=0.085\\[0.3cm]

n=1\\[0.3cm]

t=28

{/eq}
Therefore:
{eq}FV=17750\left(1+\dfrac{0.085}{1}\right)^{1\times 28}\\[0.3cm]

FV\approx \boxed{\color{blue}{\$174,274}}

{/eq}","The Future Value of an Investment: When you make an investment that pays a certain rate of return, you may want to determine the value of the investment after several years or after a given period of time. The value of an investment calculated at a given date in the future is its future value."
25,"The present value of a future sum decreases as either the discount rate or the number of periods per year increases, other things held constant.",True,False,,,A,"The answer is a. True.  The present value decreases as either the discount rate or the number of periods per year increases, other things held constant.  This is because increases in either of these factors will result in a more pronounced discounting effect.",Present Value vs. Future Value: The present value is an amount today.  The future value is the present value compounded into the future at a pertinent rate of interest.  Discounting that future amount back to the present (at the same rate of interest) will yield the present value.
26,"Andy promises to pay Opie $6,000 when Opie graduates from Mayberry University in 15 years.",How much must Andy deposit today to make good on his promise if he can earn 3% on his investments?,How much must Andy deposit today to make good on his promise?,,,A,"a) Andy must deposit today an amount of $3,851.17 to make good on his promise.
Explanation:
As per the data:
Future value, FV = $6,000
Interest rate, i = 3%
Time period, n = 15 years
Computation:
Present value = FV / (1 + i)^n
Present value = $6,000 / (1.03)^15
Present value = $3,851.17
Note that the answer for both the parts is the same because part b) is the repetition of part a.","Time Value of Money: As per the time value of money, money has a potential earning capacity and this is why the value of a dollar today is much higher in the future. The concepts that are discussed under the time value of money are the present value and future value. Most of the capital budgeting techniques use the time value of money in their computations to determine the profitability of an investment."
27,"If a couple saves $5,000 a year for five years at 5% interest, what is the future value of this annuity after those 5 years?","$32,680","$30,000","$27,628","$35,680",C,"The future value of this annuity after five years will be
Option c) $27,628
.
The future value annuity factory should be determined for an annual investment of $5,000 as we begin:
{eq}\begin{align*} FV_{oa} &= \dfrac{(1+r)^{n} - 1}{r} \\ &= \dfrac{(1 + 0.05)^{5} - 1}{0.05} \\ &= 5.5256313 \end{align*} {/eq}
Where,
{eq}FV_{oa} = \text{Future Value ordinary annuity factor}\\ r = \text{Interest rate} = 5\% \\ n = \text{Number of time periods} = 5\\ {/eq}
We can now compute the future value of annuity:
{eq}\begin{align*} \text{Future value of annuity} &= \text{Annual investment × Future Value ordinary annuity factor} \\ &= \$5,000 × 5.5256313 \\ &= \$27,628 \end{align*} {/eq}",Future Value: Future value can be computed for single-time or multiple cash flow investments. It refers to the amount that will be received at the end of the investment period after considering the interest rate and the period of investment.
28,"What is the present value of a four-year annuity of {eq}\$100

{/eq} per year that begins {eq}2

{/eq} years from today if the discount rate is {eq}9\%

{/eq}?","{eq}\$297.22

{/eq}.","{eq}\$323.97

{/eq}.","{eq}\$356.85

{/eq}.","{eq}\$272.68

{/eq}.",D,"The correct option is d $272.68
First, the Value of $100 deposited for four years will be calculated:
{eq}\begin{align*}

{\rm\text{Accumulated amount}} &= {\rm\text{Annuity}} \times \left( {\frac{{1 - {{\left( {1 + {\rm\text{i}}} \right)}^{ - {\rm\text{n}}}}}}{{\rm\text{i}}}} \right)\\

& = \$ 100 \times \left( {\frac{{1 - {{\left( {1 + 0.09} \right)}^{ - 4}}}}{{0.09}}} \right)\\

& = \$ 323.97

\end{align*}

{/eq}
Now the present value of this accumulated amount would be calculated using the PV formula:
{eq}\begin{align*}

{\rm\text{FV}}& = {\rm\text{PV}}{\left( {1 + {\rm\text{i}}} \right)^{\rm\text{n}}}\\

\$ 323.97 &= {\rm\text{PV}}{\left( {1 + 0.09} \right)^2}\\

{\rm\text{PV}} &= \$ 272.68

\end{align*}

{/eq}","Discount Rate: Discount rate is used to calculate the present and future value of money. It is the return that an investor desires to earn for keeping his funds locked during a fixed period of time.  The risk free rate, market return and beta are used to arrive at required return."
29,"Payments of $1,000 in year two and $4,000 in year five are equivalent to uniform payments in years three through seven at an interest rate of 10% per year nearest to:",$899,$985,"$1,177","$3,732",B,"Let,
PV
= present value
PMT
= uniform payments in years 3 - 7
n
= number of uniform payments = 5
m
number of years of deferral of annuity = 2
r
= interest rate = 10%
C
2
= cash flow in year 2 = $1,000
C
5
= cash flow in year 5 = $4,000
To find the payments, we can equate the present values of the two streams:
{eq}PV(Stream \ 1)=PV(Stream \ 2)\\

\dfrac{C_2}{(1+r)^{2}}+\dfrac{C_5}{(1+r)^{5}}=\dfrac{1}{(1+r)^m}*PMT*\dfrac{1-(1+r)^{-n}}{r}\\

\dfrac{1,000}{(1+0.1)^{2}}+\dfrac{4,000}{(1+0.1)^{5}}=\dfrac{1}{(1+0.1)^2}*PMT*\dfrac{1-(1+0.1)^{-5}}{0.1}\\

PMT=\$1,056.58\\

{/eq}
This payment is nearest to $985, so the correct answer is B)","Equivalence of Payments: We can say that two streams of payments are equivalent if the present value of one of the streams is the same as the present value of the other.  If this is true, the future values of the two streams will be equal as well."
30,"If a couple saves $5,000 a year for five years at 5% interest, what is the future value of this annuity after those 5 years?","$32,680","$30,000","$27,628","$35,680",C,"The future value of this annuity after five years will be
Option c) $27,628
.
The future value annuity factory should be determined for an annual investment of $5,000 as we begin:
{eq}\begin{align*} FV_{oa} &= \dfrac{(1+r)^{n} - 1}{r} \\ &= \dfrac{(1 + 0.05)^{5} - 1}{0.05} \\ &= 5.5256313 \end{align*} {/eq}
Where,
{eq}FV_{oa} = \text{Future Value ordinary annuity factor}\\ r = \text{Interest rate} = 5\% \\ n = \text{Number of time periods} = 5\\ {/eq}
We can now compute the future value of annuity:
{eq}\begin{align*} \text{Future value of annuity} &= \text{Annual investment × Future Value ordinary annuity factor} \\ &= \$5,000 × 5.5256313 \\ &= \$27,628 \end{align*} {/eq}",Future Value: Future value can be computed for single-time or multiple cash flow investments. It refers to the amount that will be received at the end of the investment period after considering the interest rate and the period of investment.
31,Using lower discount rates will:,not affect the present value of the future cash flow,increase the present value of any future cash flow,decrease the present value of any future cash flow,None of the above.,B,"The correct answer is option
B. increase the present value of any future cash flow
.
Present value:
{eq}=  \dfrac{CF_1}{(1 + r)^1} + \dfrac{CF_2}{(1 + r)^2} + ... + \dfrac{CF_n}{(1 + r)^{n}}

{/eq}
From the above formula, it is clear that the present value of the future cash flows {eq}(C_1, C_2, ..., C_n)

{/eq} is inversely related to the discount rate (
r%
) so the present value will increase by lowering the discount rates.",Time Value of Money: The idea of the time value of money is used to figure out the equivalent present value of a future stream of cash flows or the equivalent future value of an investment made today. The factor that predominantly affects the computations is the relevant discount rate.
32,"Angela puts $1,000 in a savings account that pays 3 percent per year. What is the future value of her money one year from now?",$970,"$1,000","$1,003","$1,030",D,"The correct option is
d. $1,030
.
Mathematically, the future value (FV) can be estimated as:
FV = PV * (1+r)^t
Here,
PV = Present value, r = interest rate, and t = time.
Substitute the given values,
FV = $1,000 * (1+0.03)^1
FV = $1,000 * 1.03
FV = $1,030","Interest Rate: In economics, the interest rate is the financial charge imposed by the banks while lending and borrowing money in the economy. The interest rate is charged above the principal sum of money lent to the economy."
33,"The present value of $3,000 to be received in 5 years at a 10% discount rate is $2,000.",True,False,,,B,"The correct answer is
B. False.
Given information:
Future value: $3,000
Years: 5
Discount rate: 10%
Determine the present value, as shown below:
{eq}\begin{aligned} \text{Present value} &=\frac{\text{Future value}}{{{\left( 1+\text{Discount rate} \right)}^{\text{Years}}}} \\ &=\frac{\$3,000}{{{\left( 1+10\% \right)}^{5}}} \\ &=\$1,862.76 \end{aligned} {/eq}
The calculated present value, based on the provided discount rate for 5 years, is approximately $1,862.76. However, the given present value in the statement is $2,000. Therefore, the given statement is false.","Discount Rate: The discount rate is a percentage used to convert the future value of a sum into its present value. It can represent various quantities, such as the return rate required by an investor, the minimum risk-free rate, the saving deposit rate, the market rate for similar investments, or any other appropriate rate determined by an entity."
