id,question,A,B,C,D,Answer,Explanation,Hint
11,Which of the following statements best describes how a change in a firm's stock price would affect a stock's capital gains yield?,The capital gains yield on a stock that the investor already owns has an inverse relationship with the firm's expected future stock price.,The capital gains yield on a stock that the investor already owns has a direct relationship with the firm's expected future stock price.,,,B,"Given the fact that as a company's stock price increases as compared to its purchase price, the yield to the capital gains increases.  This would make answer b. as the correct answer --
b. The capital gains yield on a stock that the investor already owns has a direct relationship with the firm's expected future stock price.",Dividend Yield: The dividend yield of a company is given as a percentage or ratio of the dividend to the stock's market price.  The yield shows how much a corporation pays in dividends in comparison to its stock price.
12,What is the expected growth rate in dividends for a firm in which shareholders require an 18% rate of return and the dividend yield is 10%?,1.80%,5.20%,8.00%,28.00%,A,"The correct answer to the given question is option
A. 8%
.
The expected growth rate in dividends is given by:
{eq}\begin{align*}

&= \text{Required rate of return - dividend yield} \\[0.3 cm]

&= 18\% - 10\% \\[0.3 cm]

&= 8\%

\end{align*}

{/eq}","Growth Rate and Dividend Yield: In the context of finance, the current price of a given stock is governed by the expected growth rate for dividends and the rate of return required by the shareholders. The dividend yield for the stock is usually expressed by taking a ratio of the dividend amount and the price of the stock."
,,,,,,,,
14,Which of the following statements best describes how a change in a firm's stock price would affect a stock's capital gains yield?,The capital gains yield on a stock that the investor already owns has an inverse relationship with the firm's expected future stock price.,The capital gains yield on a stock that the investor already owns has a direct relationship with the firm's expected future stock price.,,,B,"Given the fact that as a company's stock price increases as compared to its purchase price, the yield to the capital gains increases.  This would make answer b. as the correct answer --
b. The capital gains yield on a stock that the investor already owns has a direct relationship with the firm's expected future stock price.",Dividend Yield: The dividend yield of a company is given as a percentage or ratio of the dividend to the stock's market price.  The yield shows how much a corporation pays in dividends in comparison to its stock price.
15,Dividend policy changes are decided by:,I only,II only,III only,I and II only,C,"The correct option is
C. III only
.
The dividend can be explained as the distribution of earnings or profit by an organization to its shareholders. So, any change regarding the dividend policy is decided and determined by the board of directors of that organization.",Business Policies: The term business policies refer to the set of strategies and actions that an organization implements to raise its profit and growth by subsequently reducing the cost of operations in the market.
16,A stock's expected cash dividend divided by its current price is called the _____.,dividend yield,constant growth,capital gains yield,ask price,A,"The answer is
a. dividend yield.
Dividend yield formula:
{eq}Dividend\:yield = \displaystyle\frac{Dividend}{Current\:price} {/eq}
a. Correct. See the dividend yield formula.
b. Incorrect. The constant growth is the capital gain yield, using the dividend growth model.
c. Incorrect. Capital gain yield is estimated on the difference between the purchase price and the selling price.
d. Incorrect. The asking price is the seller's lowest acceptable price to sell the stock.","Dividend: A dividend is a capital distribution to shareholders. However, investors should acknowledge that a firm might not make dividend payments if it intends to reinvest all earnings for new profitable investments."
17,The dividend yield:,measures the current return on the common stock.,equals dividends per share divided by stock price.,"shows market strength, which measures the strength of the owners.",all are true.,B,"The correct answer is b. equals dividends per share divided by stock price.
The dividend yield is calculated by dividing the dividends paid per share for the year by the stock price per share.
The explanation for incorrect answers:
a. measures the current return on the common stock.
The current yield is used to determine the current returns of a stock.
c. shows market strength, which measures the strength of the owners.
The relative strength is used to determine the performance of the stock relative to the market.",Dividend Yield: The dividend yield is a ratio that depicts the dividend paid and the relative stock price. The yield is inversely related to the stock prices. The investors do not examine the performance of the stock on the basis of dividend yield.
18,The dividend yield is the cash dividend divided by the current market price of the stock.,TRUE,FALSE,,,A,"Correct Answer:
Option a) True
.
Statement
True/False
The dividend yield is the cash dividend divided by the current market price of the stock.
Dividend yield indicates the percentage of the share's price distributed as dividends. To compute the same, we should divide the cash dividend paid during the year by the stock's current stock. The dividend yield and the capital gains yield form the required return.",Dividends: Dividends are cash flows to stockholders paid out of the profits generated by the company. Dividends can be paid in cash or additional shares. Dividends should be declared to be distributed.
19,"A company paid $0.75 in cash dividends per share. Its earnings per share is $3.50, and its market price per share is $37.50.",11.7%.,2.0%.,10.9%.,21.4%.,B,"Correct Answer: Option b. 2.0%.
Explanation:
Dividend yield = Annual dividend / Current stock price
Dividend yield = $0.75 / $37.50
Dividend yield = 2%",Dividend Yield: The dividend yield is the ratio of the share's annual dividend relative to its current price. A higher dividend yield indicates a lower stock price and vice-versa. The dividend yield is the percentage of the share price that is distributed as a dividend.
20,"Given the information shown here for NMOP Inc., calculate the dividend yield.",15%,$1.50 ,6.70%,$0.67 ,C,"C) 6.7%
{eq}\begin{align*}

\ Dividend \ yield & = \dfrac{Annual \ dividend}{Price}\\

& = \dfrac{4}{60}\\

& = 0.067\\

& =6.7\%

\end{align*}

{/eq}",Dividend Yield: Dividends refer to the earnings that shareholders receive as a return on the shares they have invested in the business. Dividends are part of the cash flows that can be used to estimate the price of a share. The dividend yield is a ratio of the annual dividend to the current market price of a share. It is important to note that the dividend yield is expressed as a percentage.
21,What dividend yield would be reported in the financial press for a stock that currently pays a $1 dividend per quarter and the most recent stock price was $40?,2.50%,4.00%,10.00%,5.00%,C,"The correct answer is
c. 10.0%
Calculation of dividend yield:
The quarterly dividend paid by the company is $1, and so the annual dividend is $4 ($1*4). The recent price at which the stock is traded is $40. The dividend yield formula is as below, and the given values are substituted.
{eq}\begin{align*}

{\rm\text{Dividend yield}}\, &= \,\dfrac{{{\rm\text{Annual dividend per share}}}}{{{\rm\text{Recent stock price}}}} \times 100\\

&= \dfrac{{\$ 1 \times 4}}{{\$ 40}} \times 100\\

&= 10\%

\end{align*}

{/eq}
Hence, the dividend yield is
10%.","Financial Press: The financial press refers to broadcasting channels that are specifically engaged in providing news related to financial matters pertaining to dividends, price movements, issues of securities, etc. Investors use the financial press to draw an investment plan."
22,The following information is available for Dorman Company. Which of the following statements is correct?,"The dividend yield is 6.0%, which is of interest to investors seeking an increase in market price of their stocks.","The dividend yield is 6.0%, which is of special interest to investors seeking to earn revenue on their investments.","The dividend yield is 16.7%, which is of interest to bondholders.",The dividend yield is 16.7% which is an important measure of solvency.,A,"If the dividend yield of a stock is high, it shows that the company is paying a dividend to the common stockholders. It will attract those investors who are looking to gain from dividend-paying stocks. The market price of the dividend stock tends to rise. So the correct answer is A.",Dividend Yield: The dividend yield is calculated by dividing the annual dividend by the existing share price. The dividend yield is a percentage calculation that indicates the amount of dividend that the company is paying with comparison to its stock price.
23,Common stock with a current market value of $19.25 per share issues a quarterly dividend of $0.25. What is its current annual dividend yield?,1.30%,2.13%,3.53%,5.19%,D,"The correct answer is
d. 5.19%
The question is looking for the annual dividend yield, thus we will compute for the annual dividend amount.
$0.25 * 4 quarters = $1 is the annual dividend amount.
To get the annual yield using the dividend yield ratio:
{eq}Dividend~Yield~Ratio~=~\frac{Annual~Dividend~Per~Share}{Stock~Price}

{/eq}
{eq}Dividend~Yield~Ratio~=~\fracNo variable 1 defined.No variable 19.25 defined.

{/eq}
The dividend yield of the common stock is at
5.19%","Dividend Yield The dividend yield is a valuation ratio and expressed in percentage, by dividing the annual dividend per share in relation to the stock's current market price."
24,I own 25 shares of XYZ stock that pays a $.25 quarterly dividend and is priced at $15/share. How much is my yield?,25%,15%,6.67%,6.50%,C,"Given:
Number of shares: {eq}25

{/eq}
Quarterly dividend per share: {eq}$0.25

{/eq}
Price per share: {eq}$15

{/eq}
We use the following formula to calculate the dividend yield:
{eq}\text{Dividend yield} = \dfrac{\text{Annual dividend per share}}{\text{Price per share}} \times 100\%

{/eq}
To get the annual dividend, we multiply the quarterly dividend per share by four since there are four quarters in a year. As a result, we have:
{eq}\text{Dividend yield} = \dfrac{\text{Quarterly dividend per share} \times 4}{\text{Price per share}} \times 100\%

\\\text{Dividend yield} = \dfrac{\$0.25 \times 4}{\$15} \times 100\%

\\\text{Dividend yield} = \dfrac{\$1}{\$15} \times 100\%

\\\text{Dividend yield} = 0.0667 \times 100\%

\\\text{Dividend yield} = 6.67%

{/eq}
The yield is equal to
c. 6.67%
.","Dividend Yield: In financial economics, the dividend yield is a measure of the annual dividend earned for each dollar of stocks held. The formula for the dividend yield is given by {eq}\text{Dividend yield} = \dfrac{\text{Annual dividend per share}}{\text{Price per share}} \times 100\%

{/eq}."
25,"Assume Chester is paying a dividend of $1.25 (per share). If this dividend stayed at the same , but the stock price rose by 10% what would be the dividend yield?",) 30.33%,) 4.29%,) 3.30%,) 2.64%,A,"The correct option is
a.) 30.33%
Explanation:
Formula for Calculating dividends yields is:
{eq}\begin{align*}

& = \dfrac{{{\rm{Yearly}}\;{\rm{Dividend}}\;{\rm{per}}\;{\rm{Share}}}}{{{\rm{Price}}\;{\rm{per}}\;{\rm{share}}}}\\

& = \dfrac{{1.25}}{{10\% }}

\end{align*}

{/eq}",Dividend Yield: It the ratio used in the financial statement of the organization which helps them in measuring the cash dividends. The dividend is calculated by using the annual dividend behind per share and the per-share stock price. The dividend yield results are presented in percentages.
26,"Currently, Chester is paying a dividend of $2.53 (per share) and trading at $42.8. If this dividend were raised by $3.64, given its current stock price what would be the Dividend Yield?",$6.17 ,5.90%,$3.64 ,14.40%,D,"The correct answer is
d) 14.4%
.
Given the current dividend of 2.53 and an increase in dividend of 3.64, the new dividend per share will be 2.53 + 3.64 = 6.17. Given the current price of 42.8, the dividend yield is:
Dividend yield = Dividend per share / Price per share
Dividend yield = 6.17 / 42.8
Dividend yield = 14.4%","Dividend Yield: A dividend yield indicates the percentage rate of return a stock generates from its distribution of dividends to shareholders. This contrasts with capital gains from the stock, which is generated from the future appreciation of stock price."
27,"You are told that the current dividend for a stock is D0 = $3.00, and g (which is constant) = 4.0%, and P0 = $50, then what is the stock's expected dividend yield for the coming year?",4.91%,4.66%,6.24%,5.43%,C,"Correct answer:
Option c) 6.24%
Explanation:
As per the data:
Current dividend (D0) = $3
Growth rate, g = 4%
Current stock price, P0 = $50
Computation:
The expected dividend yield is the ratio of the forward dividend (D1) relative to the current share price (P0).
Therefore,
Expected dividend yield = D0 * (1 + g) / P0
Expected dividend yield = $3 * (1 + 4%) / $50
Expected dividend yield = $3.12 / $50
Expected dividend yield = 6.24%","Dividend Yield: The dividend yield is computed by dividing the annual dividend with the current stock price whereas the expected dividend yield is the ratio of the future dividend or the next period's dividend to the current share price. Usually, the dividend yield increases when the share price falls and vice-versa."
28,A company paid $0.48 in cash dividends per share. Its earnings per share is $4.20 and its market price per share is $30.00.,1.60%.,6.25%.,8.75%.,11.40%.,A,"Correct Answer: Option a. 1.60%.
Explanation:
Dividend yield = Annual dividend per share / Current price per share
Dividend yield = $0.48 / $30
Dividend yield = 1.6%",Dividends: Dividends are cash flows to stockholders that are paid from the net profit as per the payout policy. The dividends can be paid in the form of cash or additional shares to the existing shareholders.
29,The dividend yield ratio measures:,The relationship between your firm's common dividends per share and its market value per share,The relationship between your firm's common dividends per share and its earnings per share,The relationship between your firm's common dividends and its par value,The relationship between your firm's common dividends per share and its price-earnings ratio,A,"Correct Answer:
Option a. The relationship between your firm's common dividends per share and its market value per share
.
The dividend yield can be determined using the following formula:
{eq}\text{Dividend yield} = \dfrac{\text{Annual dividend per share}}{\text{Market price per share}}

{/eq}
The ratio measures the relation between the annual dividends and the stock's current price.",Dividends: Dividends are payments to the stockholders of a company. Dividends are receipts when a company makes investments in the securities of another company. They are reported on the financing activities section of the balance sheet.
30,"If {eq}D_1

{/eq} = $1.50, g (which is constant) = 2.3%, and {eq}P_0

{/eq} = $56, what is the stock's expected capital gains yield for the coming year?",1.86%,2.62%,2.30%,2.67%,C,"Correct answer:
Option c) 2.30%
Explanation:
As per the data:
Next dividend, D1 = $1.50
Constant growth rate, g = 2.3%
Price, P0 = $56
Computation:
The way dividend grows at a constant rate, so will the price grow at the same rate.
Therefore,
P1 =  P0 * (1 + g)
P1 = $56 * (1 + 2.3%)
P1 = $57.288
Now,
Capital gains yield = (Currrent stock price in year 1 - Purchase price) / Purchase price
Capital gains yield = ($57.288 - $26) / $56
Capital gains yield = 2.3%",Capital Gain Yield: The capital gain is realized when an asset is held for a period of more than one year and is sold for the price above its purchase price and includes investment in stock and other securities. Capital gain is an appreciation in the value of an investment and is expressed as a percentage of the investment cost.
31,"Currently Digby is paying a dividend of $4.00 (per share). If this dividend were raised by $3.64, given its current stock price of $93.54 what would be the Dividend Yield?",6.89%,8.20%,8.45%,8.64%,B,"The correct choice is Option b.
Dividend Yield
= Expected dividend / Current Price x 100
In the question,
Expected dividend = 4 + 3.64 = $7.64
Current Price = $93.54
So,
Dividend Yield = 7.64 / 93.54 x 100 = 8.2%",Dividend Yield: Dividend Yield is given as the expected dividend divided by the current price of the stock. It gives us the expected return of the stock for a year if the stock is not sold and only dividend is earned.
32,"Currently Chester is paying a dividend of $16.10 (per share). If this dividend were raised by $3.64, given its current stock price what would be the Dividend Yield?",9.60%,11.70%,$19.74 ,$3.64 ,C,"The correct answer is:
c. $19.74
The dividend yield is calculated as:
{eq}\text{Dividend yield}=\dfrac{\text{Dividend per share}}{\text{Market price per share}} \times 100

{/eq}
If the current dividend per share is $16.10, and the dividend per share is raised by $3.64. then the dividend per yield (assuming the current stock price is $1) is:
{eq}\text{Dividend yield}=\dfrac{\$16.10+\$3.64}{\$1}\\[0.3cm]

\text{Dividend yield}=\dfrac{\$19.74}{\$1}\times 100\\[0.3cm]

\text{Dividend yield}=\boxed{\color{blue}{19.74\%}}

{/eq}","Dividend Yield: In finance, the dividend yield is a financial ration which gives the ratio between the dividend paid per share and the market price per share. Dividend yield measures the percentage of the chares purchased that is paid to the investors."
33,Triad common stock is selling for $27.80 a share and has a dividend yield of 2.8 percent. What is the dividend amount?,$0.31 ,$0.78 ,$3.49 ,$4.25 ,B,"The correct answer is
option B. $0.78.
Given information:
Stock price: $27.80
Dividend yield: 2.8%
Determine the dividend amount by multiplying the stock price by the dividend yield.
{eq}\begin{aligned} \text{Dividend amount}&=\text{Dividend yield}\times \text{Stock price} \\ &=2.8\%\times \$27.80 \\ &=\$0.78 \end{aligned} {/eq}
Thus, the dividend amount is $0.78.",Corporate Entity: A corporate entity is a legally recognized entity or business organization that is created to conduct business activities. The total capital of a corporation is divided into several smaller units called shares.
,,required return on the stock is proportionately increased,,,,,,
35,"Based on the dividend growth model, the price of a stock will remain constant if the dividend is cut, provided that the:",,growth rate in dividends remains constant,reduction is offset by an increase in the growth rate,growth rate is decreased by the percent decrease in the dividend,C,"Based on the dividend growth model, the price of a stock will remain constant if the dividend is cut, provided that the:
C. reduction is offset by an increase in the growth rate.
In a normal situation, the dividend growth model assumes that the price of a stock will decrease when there is a dividend cut. This is because a dividend cut leads to a reduction in investment returns. When there is an
increase
in the growth rate of the stock, the model assumes that the price of the stock will remain constant even if a dividend cut occurs. This is because the model assumes that the growth rate increase offsets the dividend cut.
A. required return on the stock is proportionately increased
is wrong because a dividend cut reduces the returns of a stock, which decreases the stock price.
B. growth rate in dividends remains constant
is wrong because a dividend cut leads to decreased dividend growth, thus decreasing the stock price.
D. growth rate is decreased by the percent decrease in the dividend
is wrong because the decrease in the growth rate will decrease the stock price because the demand for the stock will be less.",The Dividend Growth Model: The dividend growth model is used by investors to determine the fair value of a stock based on the dividend. Most investors use this model when determining if a stock is overvalued or undervalued.
36,"Relating to share markets, the efficient markets hypothesis suggests that:","You should follow the advice contained in an investor newsletter about a ""hot"" investment, even if the newsletter is a week old,","Investors will consistently beat the market (that is, they will consistently make an above-market rate of return),","New information can affect the price of a share very quickly,",Current share prices depend only on past share prices.,D,"The correct option is
d. Current share prices depend only on past share prices
.
The efficient market hypothesis tells us that the current share prices are correctly valued. They accurately represent the information available. Future transactions have no effect on current share prices and, therefore, profits cannot be made by timing the market.",Share Market Traders in the share market are constantly looking to make profits by purchasing shares that are deemed to be undervalued and then selling these shares at a higher price in the future.
37,"If dividends are taxed more heavily than capital gains, the investors:",Should be willing to pay more for stocks with low dividend yields,Should be willing to pay more for high dividend yields,Should be willing to pay the same for stocks regardless of the dividend yields,Cannot be predicted as stock prices fluctuate randomly,A,"The answer is A).
If dividends are taxed more heavily than capital gains, then investors would prefer price appreciation, which yields capital gains, compared to dividend payments, all else the same. Hence, a stock with low dividend yield, which pays less dividend relative to price, is more favorable to investors. Hence, investors are willing to pay more for stocks with low dividend yields.",Rate of Return: The rate of return on a stock is the sum of the stock's dividend yield and capital gains yield. Dividend yield is calculated as the cash dividend per share divided by the price per share.
38,The following information is available for Meyer Company:,"The dividend yield is {eq}16.7\%

{/eq}, which is an important measure of solvency.","The dividend yield is {eq}6.0\%

{/eq}, which is of special interest to investors seeking to earn revenue on their investments.","The dividend yield is {eq}16.7\%

{/eq}, which is of interest to bondholders.","The dividend yield is {eq}6.0\%

{/eq}, which is of interest to investors seeking an increase in the market price of their stocks.",B,"The correct option is
(B) The dividend yield is 6.0%, which is of special interest to investors seeking to earn revenue on their investments.
{eq}\text{Dividend Yield} = \dfrac{\text{Dividend Per Share}}{\text{Market Price per share}}\\

\text{Dividend Yield} = \dfrac{\$1.80}{\$30}\\

\text{Dividend Yield} = 0.06\\

\text{Dividend Yield} = 6.0\%

{/eq}
The inventors who want a regular income in the form of dividends keep an eye on the dividend yield of shares and thus it is of special interest for such investors.",Dividend Yield: The dividend yield is equal to the dividend per share divided by the market price of the share. It shows how much dividend is paid for every dollar of the market price.
39,"A stock that has a price of $20 per share, earnings per share of $2.00, and a dividend of $1.50 will have:",a yield of 12 percent,a yield of 7.5 percent,a PE ratio of 20/1.50,a PE ratio of 1.333,B,"The answer is b).
We can use the following formula to compute the dividend yield:
dividend yield = dividend per share / price per share
dividend yield = 1.50 / 20
dividend yield = 7.5%","Dividend Yield: For a stock, the dividend yield is a measure of the rate of return from dividend payments. The total rate of return is the sum of dividend yield and the expected capital gains yield."
40,A firm's stock has a required return of 12%. The stock's dividend yield is 5%. What dividend did the firm just pay if the current stock price is $50?,$2.18 ,$2.34 ,$2.50 ,$2.87 ,C,"The answer is c).
We can use the formula to dividend yield to compute the last dividend (just paid) as follows:
dividend yield = dividend per share / current price
5% = dividend per share / 50
dividend per share = 2.5","According to the discounted dividend model, the price of a stock is directly linked to the expected stream of dividends from a stock. For a given expected stream of dividends, the price is higher if the required rate of return on the cash flow is lower."
41,"The following stock of XYZ corporation is quoted in the market at bid 25 and offer 26. At what price would you buy security? If the dividends is $1.25 annual, what is the dividend yield?","25, 5%","26, 4.8%","25.5, 4.9%",cannot determine,B,"Answer:
b. 26, 4.8%
Stocks are purchased at the offer, which in this case is $26.
To calculate the dividend yield, we can divide the annual dividend received by the price paid. Since we know that the annual dividend received is $1.25 and the price is $26, we can calculate the yield as:
yield = $1.25 / $26 = 4.8%","Dividend Yield: For investors who look for income, dividend yield is an important measure. If you know what a company historically pays and the yield that you are expecting from the investment, you can calculate the price that you would need to purchase the stock for in order to obtain that yield."
42,"If the dividend yield for year 1 is expected to be 5% based on a stock price of $25, what will the year 4 dividend be if dividends grow annually at a constant rate of 6%?",$1.33 ,$1.49 ,$1.58 ,$1.67 ,B,"Correct Answer: b)
Calculation of dividend in year 1:
{eq}\begin{align*}

{\rm\text{Dividend in year 1}}& = {\rm\text{Share price}\times  {\rm\text{Dividend yield for one year}}}\\

& = 25\times  0.05\\

& = \$ 1.25

\end{align*}

{/eq}
Calculation of dividend in year 4:
{eq}\begin{align*}

{\rm\text{Dividend in year 4}}& = {\rm\text{Dividend in year 1}} \times {(1 + {\rm\text{Growth rate rate}})^{{\rm\text{Number of periods}}}}\\

& = 1.25 \times {(1 + 0.06)^{3}}\\

& = 1.25 \times1.191016\\

& =\$ 1.49

\end{align*}

{/eq}",Dividend Yield: A value that helps an investor track the dividend pattern of a firm is known as the dividend yield. A shareholder must first be aware of the share price to calculate dividend yield value and conduct the analysis regarding the dividend pattern.
43,"Currently, Company D is paying a dividend of $16.22 (per share). If this dividend were raised by $3.64, given its current stock price of $141.55.",11.50%,$19.86 ,$3.64 ,14%,D,"The correct answer is
d. 14%
.
Company D should first calculate the expected dividend using the following formula:
Expected dividend = Current dividend + Dividend for next period
Expected dividend = $16.22 + $3.64
Expected dividend = $19.86
The next step is to compute the dividend yield using the following inputs:
Expected dividend = $19.86
Current stock price = $141.55
The inputs are arranged logically to arrive at the dividend yield:
{eq}\text{Dividend yield} = \dfrac{\text{Expected dividend}}{\text{Current stock price}} = \dfrac{\$19.86}{\$141.55} = 14\% {/eq}",Dividend Yield: Investors use the dividend yield to assess an investment's income potential in a particular stock. It is also used in comparing the dividend-paying ability of different stocks within the same industry.
44,How much should you be prepared to pay for a 10-year bond with a 6% coupon and current discount rate is 7.5%?,2.50%,4.00%,10.00%,15.00%,A,"How much should you be prepared to pay for a 10-year bond with a 6% coupon and current discount rate is 7.5%?
Let
P
be the bond price,
r
be the interest rate,
n be the number of periods of the bond.
Using the bond price formula,
{eq}P=Coupon*\frac{1-(1+r)^{-n}}{r}+\frac{Par}{(1+r)^{n}}\\

P=60*\frac{1-(1+0.075)^{-10}}{0.075}+\frac{1000}{(1+0.075)^{10}}\\

P=897\\

{/eq}
B) is correct
What dividend yield would be reported in the financial press for a stock that currently pays a $1 dividend per quarter and the most recent stock price was $40?
Dividend yield = Dividend / Price = 1 / 40 = 2.5%
A) is correct",Dividend Yield: The dividend yield on a stock is the expected dividend divided by the current price.  It measures the percent return you would get in the form of dividends if you buy the stock today.
45,"What is the current yield for a $1,000 corporate bond that pays 8.5 percent and has a current market value of $800?",10.13%,7.97%,8.60%,10.63%,D,"Correct option is 10.63% (D).
The calculation for the current yield is shown below.
{eq}Current \ yield \ = \ \dfrac{Par \ value \ \times \ Interest \ rate}{Current \ market \ value} \ \times \ 100

\\

Current \ yield \ = \ \dfrac{\$1,000 \ \times \ 8.5\%}{\$800} \ \times \ 100

\\

Current \ yield \ = \ \dfrac{\$85}{\$800} \ \times \ 100

\\

Current \ yield \ = \ 10.63\%

{/eq}","Current Yield: The current Yield calculates the annual return generated by a financial bond. To calculate the current yield, the annual interest expense is divided by the trading value of the bond."
