id,question,A,B,C,D,answer,explanation,hint,,,,
65,Which of the following is not a threat to auditor independence?,Self-review threat.,Advocacy threat.,Adverse interest threat.,Regulatory interest threat.,D,"The correct answer is option
D
.
Option D: Regulatory interest is that the auditors audit the statements based on their knowledge without any bias.
Option A: When the auditor has also drafted some of the firm's accounts, there is a risk of self-review. This concern may be eradicated in large companies by splitting the accounting and auditing functions into two separate teams. Therefore, option A is not the correct choice.
Option B: If the auditor is active to promote the customer to the degree where their objectivity is threatened, it is described as an ""advocacy threat."" Therefore, option B gets ruled out.
Option C: The adverse interest threat implies that a member will not behave objectively because their interests conflict with those of the customer. Thus, option C gets eliminated.","Bankruptcy A legal procedure that allows people or organizations to become debt-free is described as bankruptcy. Bankruptcy can help an individual to get free from debts, but the debtor will not be able to borrow money in the future due to credit rating issues.",,,,
66,Which unsecured liability in a liquidation case has priority?,unpaid wages,amounts due to bondholders,amounts due to suppliers,unpaid bank loans,A,"The answer is
Option a.
Unpaid wages
are the unsecured liabilities paid as a priority.
a. Employee wages of $10,000 or below for each employee are given priority after bankruptcy admin costs under U.S. Bankruptcy Code,11 U.S.C. section 507(a)(4).
b. The amount due to bondholders is not a given priority.
c. Suppliers are settled before the stockholders but do not fall under the category of claims with priority.
d. The bank loan is paid before any unsecured liabilities up to the secured part. Any unpaid or unsecured amount shall be settled before the stockholders but not as a priority among the unsecured liabilities.","Liquidation A company liquidates when it becomes insolvent. In this process, the company shuts down by disposing of all its assets and settling its liabilities. Secured liabilities are settled first, followed by unsecured liabilities and stockholders. Unsecured liabilities are also paid as per the priority specified.",,,,
158,A(n) __________ is a moratorium for almost all creditor litigation against a debtor.,preferential payment,discharge,order of relief,automatic stay,D,"The correct option is (d) automatic stay.
An automatic stay is an order by a court that provides debtors with a moratorium from creditors, collection agencies, and other entities. It is enforced to prevent creditors from collecting debts owed to a business that has filed for bankruptcy. After the legal process is completed, the company pays a portion of its debt.
Reason for incorrect options:
Option (a) is incorrect because preferential payment refers to payments made to creditors before a liquidation.
Option (b) is incorrect because discharge marks the end of any two-party relationship.
Option (c) is incorrect because an order of relief is a court order that provides the debtor with some relief time.","Business Funds The amount of cash available to a business to carry out its functions without interruption is called business funds. The funds required by a business can be obtained from a bank, a private investor, or the firm's retained earnings.",,,,
159,"In a market system, the most dangerous types of bankruptcies involve:",industrial monopolies.,multinational firms.,employment agencies.,financial institutions.,D,"In a market system, the most dangerous types of bankruptcies involve:
d. financial institutions.
Bankruptcies that involve financial institutions are the most dangerous kinds of bankruptcies. This is because they lead to the failure of the overall financial system, which results in an economic crisis or depression. When the financial system collapses, all other economic sectors collapse since they depend on it. Therefore, the Federal Reserve needs to create policies that prevent bankruptcies in financial institutions. Even though bankruptcies involving other intuitions have negative impacts, the impacts have less effect on the economy than those involving financial institutions. Hence, it is correct to argue that the correct answer is option d.",Bankruptcy: Bankruptcy relates to a situation in which an entity cannot meet its liabilities. The court is the body that is allowed and mandated by the government to declare people and organizations bankrupt. Bankruptcy negatively impacts the economy since it leads to an increase in bad debts.,,,,
160,"In addition to specifying an individual's wishes related to life support options, a living will may ensure that the: (Select the best answer below.)",estate increases in value.,power of attorney is irrevocable.,power of attorney is not executed.,estate is not reduced.,B,"The correct answer is
B. power of attorney is irrevocable.
A living will can be defined as a legal document written by an individual, indicating their wishes and wants pertaining to their medical situation. This document is used in case the individual is unwell and cannot make such a decision in case their sickness is at a dangerous stage. When the person is unable to make their own health decisions, an attorney is appointed to ensure that his will is fulfilled and a power of attorney is irrevocable. A power of attorney can be defined as an authority or power given to a person, mainly an agent, to act in the principal's best interest. A power of attorney is executed in case of permanent or secondary illness of the principal. In such cases, the attorney signs all documents required for the individual's treatment and medication processes.","Reasons to Making a Living Will: There are various reasons why people make or should make a living will. These reasons include giving doctors a guideline of what you want to be done, giving closure to family and friends, and preventing disagreements between family members when making decisions on your health situation in case you are unable to make decisions.",,,,
161,Which of the following is a fully secured liability?,"A $520,000 loan secured by inventory with a fair value of $475,000.","$100,000 in salaries owed to employees.","$50,000 in taxes owed to the IRS.","A $450,000 loan secured by a building with a fair value of $700,000.",D,"The answer is
Option d.
A loan of $450,000 covered by security having a value of $750,000 is a fully secured liability.
a. The loan amount is more than the value of the inventory, so only part of that loan can be recovered by selling the inventory. Thus, the loan is
partly secured.
b. No security is given against the salary owed to the employees, so it is an
unsecured liability.
c. Taxes owed are
statutory liabilities
, not secured liabilities.
d. The building has a greater value than the loan amount, so the loan can be fully recovered from the sale of such security. Thus, it is a
fully secured liability.",Secured loans: Secured loans are business or personal loans that require collateral as a condition of borrowing. Secured loans can be fully or partly secured.,,,,
162,Which of the following must take place for a corporation to be voluntarily dissolved?,Passage by the board of directors of a resolution to dissolve.,Approval by the officers of a resolution to dissolve.,Amendment of the certificate of incorporation.,Unanimous vote of the stockholders.,A,"The correct answer is option A
The voluntarily liquidation of the company takes place only when the board of directors of the company passes the resolution regarding the dissolution and the liquidation of the company under some certain circumstances.
Explanation for incorrect options:
Option (b) and (c) are incorrect because of the reason that they are not the requirements of the voluntary dissolution
Option (d) This is an incorrect because the resolution must be ratified by most of the stockholders of the company having the voting rights.","Corporation: It is a type of business organisation which is a legal entity that is a separate and different from its owners of the company. According to the corporate law, corporation have the same rights and responsibility as the individual person.",,,,
163,Which type of credit card allows charitable or non-profit organizations to receive a portion of annual fees collected?,an affinity card,a prestige or status card,a co-branded card,a smart card,A,"The answer is
a. an affinity card
An affinity card is credit card that carries the name of a non-profit or some type of charitable organization.
Other Options
b. a prestige or status card is a card associated with having high status, responsible members. These types of cards typically provide rewards.
c. a co-branded card is sponsored by both a retailer and credit card issuer.
d. a smart card has a microchip built in, which makes transactions smoother and minimizes the wear on the magnet strip of the card.",Credit Card A credit card offers the borrower a line of credit that is considered revolving. The card issuer is typically paid a monthly fee as well as interest for extending the line of credit initially.,,,,
166," ""Liabilities of $150",000 were settled in full for $112,000. The $38,"000 difference would be reported on the statement of realization and liquidation as _____.""", a loss, a gain, Liabilities not liquidated, Liabilities to be liquidated,,,,
170, A business with no cash is insolvent., True, False,,,A," ""It is true that a business with no cash is insolvent. When a business runs out of cash or has a cash crisis", they are unable to pay their bills which is the definition of insolvency. Once a business becomes insolvent, B," ""The $38","000 difference would be reported as a b) gain on the statement of realization and liquidation. The reduction in liabilities means that the difference increases equity and is a net gain that is subject to tax liability before dissolution. The settlement means that all liabilities are satisfied and they will not show as liabilities to be liquidated.""","Creditor Rights:
In order to secure bonds and loans, creditors are offered the first right to the liquidation of a company's assets, and their extensions of credit must be satisfied before shareholders are able to collect on their investments. The settlement of debts is necessary before any action can be taken on behalf of shareholders"
171, Including a spendthrift clause is recommended for children with money management or substance abuse problems. True or False?, True, False,,,A,"Including a spendthrift clause is recommended for children with money management or substance abuse problems.

This statement is TRUE.

A spendthrift trust is a type of trust that limits a beneficiary's access to an inheritance. Generally, it is used when the trust grantor is concerned about the spending habits, credit profile, or money management capabilities of the beneficiary."," ""Trustee:"," they may have to consider bankruptcy in order to deal with their creditors."""," ""The Current Ratio: The current ratio is a financial analysis tool that looks at the cash assets and those assets likely to be converted to cash and compares them with the obligations or liabilities a business has. A business with a current ratio above one is expected to be able to pay its bills.""",,
"A trustee is an individual or legal entity who controls the assets placed into a trust. This party is the intermediary between the trust and the trust beneficiary.""",,,,,,,,,,,,
203,Anthony is a surety on a debt owed by Victor to day.,The surety is in the process of exercising its right of exoneration against the debtor.,The debtor had died or became insolvent.,The creditor could collect the entire debt from the debtors collateral in its possession.,The surety is a guarantor of collection and the creditor failed to exercise due diligence in enforcing its remedies against the debtor.,D,"Correct answer is d.
It is the responsibility of the debtor to pay the money to its creditors. If, in any case, the debtor does not make the payment to the creditor, the creditor is liable to get the payment from the surety although the creditor failed to exercise due diligence in enforcing its remedies against the debtor.
Option a- If the debtor fails in completing its obligation, the creditor has the right to recover the amount from the surety, although the exoneration rights are not exercised against the debtor.
Option b- The surety is not responsible for the payment of the debtor when the debtor had dead or become insolvent.
Option c-The creditor can collect the debt from the collateral in its possession when the debtor is not able to make the payment of the transaction.","Debtor & Creditor Debtors and creditors can be a person or organization. The debtors take the money from the banks or other institution which deals in finance. Creditors help businesses or individuals in providing money or finance, and they impose some amount of interest in return. Debtors are written off as the assets in the balance sheet, while the creditors are treated as liabilities.",,,,
208,All community property states recognize the tenancy-by-the-entireties form of ownership.,TRUE,FALSE,,,B,"The above statement is false.
The tenancy-by-the-entireties form of ownership is recognized by none of the community property. But survivorship property states are recognized by some community property. They are also known as community property with survivorship property rights. It provides a facility of couple tenancy to the husband and wife. It provides benefit of the basis of double set-up to the spouse.",Property Ownership A property that is owned by a person legally known as property ownership. It is also called sole or individual ownership. It provides the facility to the person to hold the property under his or her name. It provides the right to use the property of a person.,,,,
209,"At the creation of the trust, the grantor/settlor has a taxable gift to the remainder beneficiary that is eligible for the annual exclusion. True or False?",TRUE,FALSE,,,B,"The answer is
False
The person or entity creating a trust is known as a grantor or settlor and appoints a fiduciary head (trustee), who is responsible for managing investments of assets related to the trust and follows the grantor's directives to fulfill the beneficiary's needs. An income beneficiary could be a family member or a person or organization that is entitled to receive income or gifts from the assets of the trust. The remainder beneficiary is the beneficiary of the remainder interest in the trust after the gifts have been dispersed to the income beneficiaries. The gifts to the income beneficiary that are eligible for annual exclusion are not of value more than the annual exclusion and hence are non-taxable. Please note that the remainder beneficiaries are entitled to get the remaining interest only after all the gifts are dispersed to the income beneficiaries; thus, the statement in the question is false. Also, please note the gifts to the income beneficiaries that are eligible for the annual exclusion are non-taxable; this holds good even in a situation where the income beneficiary and remainder beneficiary are the same.","Quasi-community property: In a non-community property state, the Quasi-community property would be the property acquired by either spouse, just like if the couple had resided in a community property state acquiring the community property.",,,,
210,"Checkerboard Pizza, Inc. (CPI) files for bankruptcy under Chapter 11. CPIs Chapter 11 plan must contain?",a plan to turn over its future income to the trustee.,a certificate proving attendance at a credit-counseling briefing.,a provision of adequate means for the execution of the plans.,a statement of preference for one creditor over another.,C,"Correct option: c. a provision of adequate means for executing the plans
.
Checkerboard Pizza, Inc. (CPI) is filing for bankruptcy using the chapter 11 plan; this plan is related to a provision of adequate means for the execution of the plan and tells the court about the chronological order of due payments.
The explanation for the incorrect options:
Option a: It is incorrect because if any company files for bankruptcy under chapter 11, it cannot plan for future incomes.
Option b: It is incorrect since the chapter 11 plan is not related to the credit counseling briefing attendance.
Option d: It is incorrect because the chapter 11 plan is a general plan, not specific to one or two creditors.","Bankruptcy: When any business organization or entity cannot pay outstanding debts, the legal proceeding of paying debts by liquidating the entity's wealth is known as bankruptcy procedure; bankruptcy and insolvency can be used in the place of each other.",,,,
211,"If a debtor defaults and the debtor's surety satisfies the obligation, the surety acquires the right of:",subrogation.,primary lien.,indemnification.,satisfaction.,A,"The correct answer is A) Subrogation. In case the debtor fails to make a payment or fails to perform his/her duty and the surety makes the surety performs the payment or the duty which is to be performed by the debtor, and this is called as surety right of subrogation.
Explanation of incorrect options:
A primary lien is a  primary right of the lender over the collateral of the borrower, which can be exercised if the borrower makes a default in the payment
One party is held blameless for all the potential losses and damages by another party and forms a legal agreement which is called indemnification
Satisfaction is not related to the debtor and the creditor. This concept is generally associated with customers.","Secured credit Secured credit is credit under which the creditor collects the amount of outstanding obligation of the debtor by way of possessing his/her collateral against which loan was provided. Surety, lien, mortgage, or guaranty are the different security devices.",,,,
212,Paying a group of creditors in full in four periodic installments and paying the remaining creditors in full immediately. (Select the best answer below.) The settlement is:,an extension.,a combination.,a composition.,,B,"The correct option is B
Creditors are paid by separating them into full payment and periodic payments. Here, the settlement is supposed to be a combination because payment of creditors is made by following a sequence of payments.
Explanation for other options
Option A) It is incorrect because an extension of credit implies deferring the payment, so it is not appropriate here.
Option C) It is an incorrect option because the composition of creditors means compensating them with fewer funds than owed, so it is not the case here.",Creditors: Creditors are obligations of the business to discharge them with payments. Creditors are paid as credit policy followed by the business concerns. Creditors are vital as they help in providing supplies that increase the credibility of the business.,,,,
213,Restructuring costs are not:,more commonly recorded now than in the 1960s.,often related to corporate downsizing.,extraordinary items.,included in income from continuing operations.,D,"Option (d) Restructuring costs are not included in income from continuing operations
.
Restructuring of a business takes place due to various reasons such as mergers, amalgamation, selling subsidiary units, acquisitions etc. So, these costs are expense for the company. Restructuring expense is recorded in the income statement as an expenditure but is not included in income from continuing operations. Restructuring costs can be associated with a continuing business.
Other options are correct for restructuring costs as
Option (a) It is more commonly recorded now than in 1960s. Restructuring of business organization is not common in 1960s.
Option (b) it is often related to corporate downsizing. Restructure happens when a unit of business is discontinued due to the acquisition, merger or selling off.
Option (c) restructuring cost is extraordinary items. It is not a usual expense of the business. It is incurred in special conditions.","Restructuring Cost Restructuring cost is basically the cost associated with making changes in the structure of the organization and is not regularly incurred like other costs like rent, repairs, revaluing liabilities and assets etc.",,,,
214,"When cash is paid to suppliers on account, which section of the Statement of Cash Flows is affected?",Cash Flow from Operating Activities.,Cash Flow from Investing Activities.,Cash Flow from Financing Activities,There is no effect on the Statement of Cash Flows.,A,"Answer (a) Cash Flow from Operating Activities
The cash paid to suppliers on the account is recorded under the cash flow from the operating activities. The cash flow from the operating activities records the routine business transactions, and cash paid to the suppliers is routine. So, it is recorded in the cash flow from the operating activities section.
The cash from the investing activities records the buying and selling of the fixed assets. The cash from the financing activities records the transactions of equity, debt, and dividend. So, the given transaction is not recorded in the cash flow from investing or cash flow financing activities.","Suppliers: Suppliers are companies that supply goods or products. They are the creditors of the company. The journal entry for the supply of products, the inventory account is debited and the account payable is credited.",,,,
