id,question,A,B,C,D,answer,explanation ,guess,correct
11,"You won a lottery that promises to pay $10,000 every year for 6 years at the beginning of each year starting from today. If 5% is the interest rate, how much are all these payments worth today?
Present Value of an Annuity Due:
An annuity due is an annuity wherein the periodic payment is made at the beginning of each period. To compute the present value, PV, of an annuity due, we can implement the following formula:

{eq}PV = P \bigg(\dfrac{1-(1+r)^{-n}}{r}\bigg)(1+r) {/eq}

In this formula:

P is the periodic payment
r is the interest rate in decimal form
n is the number of periods","$51,294.35","$51,250.40","$54,012.50","$53,294.77",D,"Since the payments occur at the beginning of each year, we are dealing with an annuity due.

Also, we want to know how much the payments are worth today, so we want to determine its present value.

In other words, we want to determine the present value of the given annuity due.

Here are the given values:

Periodic payments (P) = $10,000
Interest Rate in decimal form (r) = 0.05
Number of periods (n) = 6
Plugging all three of these values into the present value formula for an annuity due will give us:

{eq}\begin{align*} PV & = P \bigg(\dfrac{1-(1+r)^{-n}}{r}\bigg)(1+r) \\ & = \$ 10,000 \bigg(\dfrac{1-(1+0.05)^{-6}}{0.05}\bigg)(1+0.05) \\ & = \$ 10,000 \bigg(\dfrac{1-(1.05)^{-6}}{0.05}\bigg)(1.05) \\ & \approx \$ 53,294.77\\ \end{align*} {/eq}

Thus, the payments are worth $53,294.77 today.",A,0
12,"Gina Dare, who wants to be a millionaire, plans to retire at the end of 40 years. Gina's plan is to invest her money by depositing into an IRA at the end of every year. What is the amount that she needs to deposit annually in order to accumulate $1,000,000? Assume that the account will earn an annual rate of 11.5%. Round off to the nearest $1.

A) $3,622
B) $5,281
C) $75
D) $1,497

Individual Retirement Account (IRA):
One form of investing account that people can utilize to accumulate tax-advantaged money for retirement is an Individual Retirement Account (IRA). Because IRAs are created and maintained by individuals rather than by businesses, they provide people more control over the money they save for retirement. The IRA is largely intended for use by independent contractors who lack access to corporate retirement plans, such the 401(k), which are solely offered by employers. However, anyone who has access to a workplace retirement plan can also open an IRA and use it to make additional savings investments. An IRA account can be opened through a bank, financial firm, internet brokerage, or personal broker.","$3,622","$5,281",$75,"$1,497",D,"We are given the following data:

The future value of Gina Dare's retirement savings = $1,000,000
The annual rate of return earned by an IRA account = 11.5%.
Time to retirement = 40 years
This problem tells us that Gina plans to deposit equal amounts of money at regular intervals into an IRA account. She'll make one deposit at the end of each year over the next 40 years with the goal of accumulating $1 million for retirement. This cash flow represents an ordinary annuity because a fixed amount is invested at the end of each consecutive period.

The amount of money Gina is required to invest annually can be calculated using the following future value of ordinary annuity formula:

{eq}\rm FV_{Ordinary\ Annuity}=P\times \dfrac{(1+r)^n-1}{r} {/eq}, where:

{eq}\rm FV = \text{Future accumulated value of Gina's retirement savings}=$1,000,000 {/eq}
{eq}\rm r = \text{interest rate per period}=11.5\% = 0.115 {/eq}
{eq}\rm n = \text{number of periods of investment} = 40\ years {/eq}


By putting the corresponding values in the above formula and solving for P, we get:

{eq}\rm $1,000,000 =P \times \dfrac{(1+0.115)^{40}-1}{0.115}\\ $1,000,000 =P \times 667.8496068\\ P = \dfrac{1,000,000}{667.8496068}\\ P = $1,497.34 {/eq}



The amount of money Gina needs to invest at the end of each year over the next 40 years is (D) $1,497.34.",A,0
13,"Find the periodic payments PMT necessary to accumulate the given amount in an annuity account. (Assume end-of-period deposits and compounding at the same intervals as deposits. Round your answer to the nearest cent.)

$55,000 in a fund paying 3% per year, with quarterly payments for 20 years

Annuity Account:
An annuity account is a type of financial instrument that investment firms and insurance companies generally offer. It entails a number of equal payments made on a monthly, quarterly, or annual basis. These payments, which offer a steady income stream, can be issued for a predetermined amount of time or the entirety of the account holder's life.

Annuity accounts can be used for a number of things, including retirement planning and securing a consistent income stream for a predetermined amount of time. They are frequently used to augment other income sources like Social Security or pensions in order to guarantee a consistent flow of funds during retirement.

Annuities come in several varieties, such as variable, fixed, and index annuities. Every kind has unique qualities, advantages, and risks.",$502.34,$504.25,$506.19,$508.72,B,"The amount of quarterly payment necessary to accumulate $55,000 in an annuity account after 20 years is $504.25.



Since the periodic deposits are to be made in the annuity account at regular intervals and the end of each period, this cash flow represents an ordinary annuity.
To find the amount of each periodic payment (PMT) necessary to accumulate $55,000 in the above-mentioned annuity account at the end of the 20th year, we can use the following future value of ordinary annuity formula:
{eq}FV_{Ordinary\ Annuity}=PMT\times \dfrac{(1+r)^n-1}{r} {/eq}

Where,

FV = Future accumulated value of the annuity account
PMT = payment/deposit per period
r = interest rate per period
n = number of periods of payments
In the above-given problem,

FV = $55,000
{eq}r = \text{interest rate per quarter}=\dfrac{\text{Annual interest rate}}{4}=\dfrac{0.03}{4}=0.0075 {/eq}
{eq}n = \text{number of periods of deposits} = 20\times 4 = 80 {/eq}
By putting the corresponding values in the above formula, we get:

{eq}$55,000 = PMT \times \dfrac{(1+0.0075)^{80}-1}{0.0075}\\ Or,\ $55,000 = PMT \times 109.0725307\\ Or,\ PMT = \dfrac{55,000}{109.0725307}\\ Or,\ PMT = $504.2516171 {/eq}



Therefore, the required amount of periodic payment is $504.25.
",C,0
14,"If a $100,000 payment at the end of each year for the next five years is scheduled, what is the equivalent amount if one were to make a lump sum payment now? (10% interest.)
Annuity:
An annuity if a security that pays a sum of money over a scheduled period of time based on the size and terms of the investment. Common forms of issuing payment may be issued annually, monthly, or weekly. Annuities are often assessed for comparison purposes based on the size of the annual payment relative to the total amount of money invested. Annuities are complex forms of investment based on variations in the size of payments, interest rates, and the length of time payments will be issued.","$162,370","$679,397","$379,100","$500,000",C,"The correct answer is C. $379,100. Below is the work used to find this. This is the Present Value (PV) of an Annuity.

We are given the following known values:

Annual Payment = $100,000

Annual interest rate (r) = 10% or 0.1

Number of period (n) = 5

{eq}Present\:Value\:Annuity=Annual\:Payment * \frac{1-(1+r)^{-n}}{r} {/eq}

{eq}Present\:Value\:Annuity=100000 * \frac{1-(1+.1)^{-5}}{.1} {/eq}

{eq}Present\:Value\:Annuity=379,100 {/eq}",A,0
15,"To pay for her college education, Sephia is saving RM2,000 at the beginning of each year for the next eight years in a bank account paying 12 percent interest. How much will Sephia have in that account at the end of 8th year?

Annuity Due Meaning:
A succession of equal payments made at the same interval at the start of each period is referred to as an annuity due. Periods can be any specified length of time, such as quarterly, semi-annually, yearly, or monthly. Rent, lease payments, and insurance premiums are a few instances of annuity due payments. These payments are designed to cover services rendered in the time frame that follows the payment.","RM26,400.52","RM27,551.31","RM28,789.43","RM29,012.75",B,"Given information,

Amount of money deposited in a savings account at the beginning of each year = RM2,000
Duration of savings = 8 years
Annual interest rate = 12%
The total amount of money that will have at the end of the 8th year in her savings bank account can be calculated using the future value of an annuity due formula.

Since an equal amount of money is saved and invested at the beginning of each year consecutively over the next 8 years, the cash flow series represents an annuity due.

The future value of an annuity due formula can be represented mathematically as follows:

{eq}FV = P\times \dfrac{(1+r)^n-1}{r}\times(1+r) {/eq}

Where,

FV = Future value of the annuity due
P = payment at the beginning of each period
r = interest rate per period
n = number of periods
In the above-given problem,

FV = Future accumulated value of Sephia's savings account at the end of the 8th year
P = RM2,000
r = 12%
n = 8 years
By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} FV &= 2,000\times \dfrac{(1+0.12)^8-1}{0.12}\times(1+0.12)\\ &=2,000\times 12.29969314\times 1.12\\ &=2,000\times 13.77565631\\ &=27,551.31262\\ \end{align*} {/eq}



Therefore, the total amount of money Sephia will have in her savings account at the end of the 8th year is RM27,551.31.",C,0
16,"If $20,000 is invested at the end of each fiscal year for the next 10 years, how much would the total investment be worth assuming the interest is at 10%?

Present and Future value of Annuities:
Annuities refer to periodic payments, such as interest on a bond or the rent on a flat. In ordinary annuities, payments/deposits are made at the end of each period. Annuities that are paid at the start of each period are referred to as annuity due.

The total accumulated value of a series of payments at some point in the future at a given interest rate is referred to as the future value of an annuity. In contrast, the present value of an annuity measures how much principal is needed now to generate a series of annuity payments in the future at a predetermined rate of interest.","$300,542.67","$318,748.49","$320,895.23","$325,456.78",B,"Given information,

Amount of money invested per annum = $20,000
The investment is made at the end of each year.
Duration of investment = 10 years.
Interest rate per annum = 10%
Since an equal amount of money is deposited in an investment account at the end of each year for the next 10 years, this cash flow series represents an ordinary annuity. We know that in an ordinary annuity, an equal amount of cash is deposited at the end of each period for a fixed duration.

The future value of an ordinary annuity can be calculated using the following formula:

{eq}FV_{Ordinary\ Annuity}=P\times \dfrac{(1+r)^n-1}{r} {/eq}

Where,

FV = Future accumulated value of the investment account
P = deposit per period = $20,000
r = interest rate per period = 10%
n = number of periods = 10 years
By putting the corresponding values in the above formula, we get the future value of the investment account at the end of 10 years as follows:

{eq}\begin{align*} FV &=$20,000\times \dfrac{(1+0.10)^{10}-1}{0.10}\\ &=$20,000\times 15.9374246\\ &=$318,748.49\\ \end{align*} {/eq}



The worth of the total investment at the end of 10 years would be $318,748.49.",C,0
17,"Please explain what PVIFA is and how it equals 6.2788 in the calculations shown below.

Initial investment = $90,000
Period = 10 years
Compounding = Annually
Rate of interest = 9.5%

The equal annual withdrawals = Initial investment / PVIFA(9.5%,10)
The equal annual withdrawals = 90,000 / 6.2788 = $14,333.95

What is the value of PVIFA(9.5%, 10)?",6.2788,5.8934,7.1239,6.5741,A,"PVIFA stands for Present Value Interest Factor for Annuity. It is a factor used to calculate the present value of periodic payments of equal amounts (Annuity) to be made in the future at a given interest rate for a set period.

The present value interest factor for an annuity (PVIFA) @ 9% per annum for ten years can be calculated using the following formula:

{eq}\begin{align*} \text{PVIFA} &= \dfrac{1-(1+r)^{-n}}{r}\\ &= \dfrac{1-(1+ 0.095)^{-10}}{0.095}\\ &= \dfrac{1-(1.095)^{-10}}{0.095}\\ &= \dfrac{0.5964858}{0.095}\\ &= 6.2788 \end{align*} {/eq}

Where,

{eq}PVIFA = \text{Present value interest factor for annuity }\\ r = \text{Interest rate} = 9.5\%\\ n = \text{Number of periods} = 10\\ {/eq}

",A,1
18,"There are 35 years left until retirement, and the desired amount to have for retirement is $4.5 million. The salary is paid annually, and $91,000 will be received at the end of the current year. The salary will increase at 3 percent per year, and a return of 9.4 percent can be earned on the money invested. If a constant percentage of the salary is saved, what percentage of the salary must be saved each year?

Present Value of a Growing Annuity:
The present value of a growing annuity formula helps estimate the current value of a sequence of cash flows that increase proportionately. In other words, it refers to the present value of a series of payments or deposits that increases (or decreases) at a steady rate per period. The PV of a growing annuity has a set number of periods, in contrast to a growing perpetuity that continues for an indefinite time.

For a predetermined number of periods, the annuity payments are made at the end of each period. A discount rate is then applied, and the formula reduces the value of each payment to its present value. A growing annuity is also referred to as an increasing or graduated annuity.",14.35%,15.52%,16.75%,17.10%,B,"The above-given problem can be solved through the following steps:

Step - 1: Computation of the present value of retirement amount of $4.5 million

The present value of the desired retirement amount of $4.5 million can be calculated using the following formula:

{eq}PV = \dfrac{FV}{(1+r)^n} {/eq}

Where,

PV = Present value
FV = Future value of the retirement amount = $4,500,000
r = annual interest rate = 9.4%
n = number of years = 35
By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} PV &= \dfrac{4,500,000}{(1+0.094)^{35}}\\ &=$193,912.70\\ \end{align*} {/eq}



The present value of the retirement amount is $193,912.70.



Step - 2: Computation of the first year savings amount

To accumulate $4.5 million for retirement after 35 years, a fixed percentage of the salary is saved and invested at the end of each year.
Again, the annual salary will increase at a rate of 3% per year.
To calculate the amount of money that is invested at the end of the first year we can use the following present value of a growing ordinary annuity formula:

{eq}PV = P \times \dfrac{1 - \left(\dfrac{(1+g)^n}{(1+r)^n }\right)}{r-g}\\ {/eq}

Where,

PV = Present value of the growing ordinary annuity
P = First year annuity payment
r = annual interest rate
n = number of periods of annuity
g = growth rate per annum
In the above-given problem,

PV = $193,912.70
r = 0.094
g = 0.03
n = 35
By putting the corresponding values in the above formula, we get:

{eq}$193,912.70 = P \times \dfrac{1 - \left(\dfrac{(1+0.03)^{35}}{(1+0.094)^{35}}\right)}{0.094-0.03}\\ Or,\ $193,912.70 = P \times \dfrac{1-0.121254145}{0.064}\\ Or,\ $193,912.70 = P \times 13.73040398\\ Or,\ P = \dfrac{193,912.70}{13.73040398}\\ Or,\ P = $14,122.86924 {/eq}



The portion of the salary that is saved at the end of the first year is $14,122.87.



Step - 3: Computation of the constant salary percentage that is saved every year

Amount of money saved at the end of the first year = $14,122.87.
Amount of salary received at the end of the first year = $91,000
{eq}\begin{align*} \text{Percentage of the salary saved} &=\dfrac{14,122.87}{91,000}\\ &= 0.155196373\\ &= 15.52\%\ (rounded\ off)\\ \end{align*} {/eq}



Therefore, the fixed percentage of the annual salary that is saved and invested at the end of each of the next 35 years is 15.52%.",A,0
19,"Robert is repaying a debt with 19 annual end-of-the-year payments of $1,000 each. At the end of the 4th year, he makes an extra payment of $2,000. He then refinances his loan by reducing his remaining payment period by 2 years and making level payments over the remaining time. If the effective rate of interest is 7.1%, what is the amount of his new annual payment

Calculating a Loan Refinance Amount
Given a loan that is being repaid with regular equal payments over a period of time, it is possible to determine the new present value of the loan if an extra payment is made after a certain point. We can also calculate the new regular payment amount if the original time period is shortened by a specified number of years.",$837.92,$848.41,$859.54,$872.18,B,"Because the loan is being repaid with regular equal payments, we use the present value annuity formula to answer this question. This formula is expressed as:

{eq}\rm P = R \left[ \dfrac{1 - (1 + i)^{-n}}{i} \right] {/eq}, where:

P is the present value of the loan
R is the regular payment amount
i is the periodic interest rate
n is the total number of payments


We are given that the loan was set up to be paid off over 19 years. To determine the new present value P (amount still owed) after 4 years, we note that there are 15 years remaining.

Then, we have the following values:

R = $1,000
i = 7.1% = 0.071
n = 15 years


Thus, the new present value of the loan after 4 years is:

{eq}\rm P = 1000 \left[ \dfrac{1 - (1 + 0.071)^{-15}}{0.071} \right] = \$9050.66 {/eq}



Next, when the extra payment of $2,000 is made, the present value is reduced to P = $7,050.66. Also, the number of remaining annual payments is reduced from 15 to 13. This produces the following values:

P = $7,050.66
i = 0.071
n = 13


Then, the new annual payment amount may be found by solving for R in the formula:

{eq}\rm 7050.66 = R \left[ \dfrac{1 - (1 + 0.071)^{-13}}{0.071} \right] {/eq}



This yields:

{eq}\rm 7050.66 = R(8.310483763) {/eq}



Hence, the new annual payment amount is:

{eq}\boxed{\bf R = \$848.41} {/eq}",B,1
20,"Sherwin Williams will receive $21,250 a year for the next 16 years as a result of a picture he has painted. What is the present value of these payments if the discount rate is 6 percent?

Present Value of Annuity:
The current value of a series of future payments made at regular intervals is known as the present value of an annuity. This value is determined by discounting the future cash flows at a specific interest rate, and it signifies the sum of money required to be invested currently to generate those future payments.","$210,342.56","$212,456.78","$214,750.27","$217,892.19",C,"We can use the formula for the present value of an annuity to calculate the present value of future payments. This is given by:

{eq}\rm PV=PMT\:\times \frac{1-\frac{1}{\left(1+r\right)^n}}{r} {/eq}

where PV is the present value, PMT is the annual payment, r is the discount rate (expressed as a decimal), and is the number of periods where the payment is made


With respect to these variables, the given are:

PMT= {eq}\rm \$21, 250 {/eq}, r= {eq}\rm 0.06 {/eq}, and n= {eq}\rm 16 {/eq}



Substituting these values into the formula:

{eq}\rm PV=\$21,\:250\times \frac{1-\frac{1}{\left(1+0.06\right)^{16}}}{0.06\:}\\ PV=\$21,\:250\times \frac{1-\frac{1}{\left(1.06\right)^{16}}}{0.06\:}\\ PV=\$21250\times \frac{0.60635\:}{0.06}\\ PV=\$214750.27451 {/eq}



Based on our calculation, the present value, receiving {eq}\rm \$21,250 {/eq} and discount rate of {eq}\rm 6\% {/eq} a year for the next 16 years is approximately {eq}\rm \$214,750 {/eq}.",B,0
21,"Find the savings plan balance after 9 months with an APR of 7% and monthly payments of $200.

Savings Plan:
A savings plan is a type of financial tool that offers life insurance and helps an investor accumulate funds for both short and long-term financial objectives. When an investor participates in a savings plan, they make consistent monthly investments that are placed in money market funds for growth. If the policyholder passes away during the plan's duration, the beneficiary will receive payment. Savings plans are the greatest investment option for risk-averse people who wish to save for their future financial objectives because they offer a guaranteed return on maturity.","$1,842.58","$1,825.45","$1,832.67","$1,850.34",A,"Given data,

Amount of monthly deposit = $200
Number of periods of deposits = 9 months
Annual interest rate = 7%
Assuming an equal amount of money, i.e., $200 is deposited at the end of each month into the savings account for the next 9 months, this cash flow series represents an ordinary annuity. The savings account balance after 9 months can be estimated using the following future value of an ordinary annuity formula:

{eq}FV_{Ordinary\ Annuity}=PMT \times \dfrac{(1+r)^n-1}{r} {/eq}

Where,

FV = Future value or balance of the savings account
PMT = payment per period = $200
{eq}r = \text{interest rate per period or monthly interest rate} =\dfrac{APR}{12}=\dfrac{0.07}{12}=0.0058333333 {/eq}
n = number of periods of payments = 9 months
By putting the corresponding values in the above-mentioned formula, we get:

{eq}\begin{align*} FV &= $200 \times \dfrac{(1+0.0058333333)^9-1}{0.0058333333}\\ &=$200\times 9.212883489\\ &=$1,842.58\\ \end{align*} {/eq}



Therefore, the savings plan balance after 9 months is $1,842.58.",C,0
22,"Suppose you want to have $500,000 for retirement in 30 years. Your account earns 5% interest.

How much would you need to deposit in the account each month?

Interest:
Interest is the cost of borrowing money or the compensation received for lending money. It is typically expressed as a percentage of the principal amount, which is the original sum of money borrowed or invested. Interest is calculated over a certain period, usually on an annual basis.",$590.34,$600.78,$610.45,$620.89,B,"A fixed value needs to be deposited in the account each month to achieve a retirement fund of $500,000 after 30 years. The monthly deposit value can be calculated using the future value of an annuity formula shown below:

{eq}FV=P\times \left( \dfrac{(1+r)^n-1}{r} \right) {/eq}

Where:

{eq}FV {/eq} is the future value of the annuity. Here, {eq}FV=\$500,000 {/eq}

{eq}P {/eq} is the monthly deposit.

{eq}r {/eq} is the monthly interest rate, in this case, expressed in decimal form.

{eq}n {/eq} is the total number of deposits.

The deposits are made each month for 30 years. Since there are 12 months in a year, the number of months in 30 years {eq}= 30\times 12 = 360 {/eq}

So, in this case, {eq}n=360 {/eq}

Since it is not explicitly mentioned in the question, we consider the rate of interest of 5% offered on the account to be an annual rate rather than a monthly rate. The monthly deposits require the calculations to be using a monthly rate of interest. So, {eq}r=\dfrac{0.05}{12}=0.004167 {/eq}

Rearranging the formula and using the values in it, we get:

{eq}\begin{align*} P&=\dfrac{FV\times r}{(1+r)^n-1} \\ &=\dfrac{500,000\times 0.004167}{(1+0.004167)^{360}-1} \\ &=\dfrac{2083.33}{4.4677-1} \\ &=\dfrac{2083.33}{3.4677} \\ &=\$600.78 \end{align*} {/eq}

So, $600.78 needs to be deposited in the account each month to reach $500,000 for retirement in 30 years, given a 5% interest rate.",A,0
23,"Suppose you deposit $1,000 in three payments of $333.333 each on January 1, 2010, 2011, and 2012.

How much will you have in your account on January 1, 2012, based on 8% annual compounding?

Future Value of an Annuity Due:
The total accumulated value of a series of cash payments made at the start of each pay period at a specific date in the future is determined by the future value of an annuity due formula. It helps ascertain the cash flow potential of a financial investment. The formula includes three variables: the amount of payment per period, the number of periods of payments and the interest rate per period.","$1,082.12","$1,075.50","$1,088.45","$1,095.67",A,"The amount of money in your account on January 01, 2012 = $1,082.12.



Given information,

The amount of money deposited on January 01, 2010, 2011, and 2012, respectively is $333.33.
The account earns an interest rate of 8% compounded annually.
Since an equal amount of money is deposited at the beginning of each year for three years consecutively, this cash flow represents an annuity due.

The future value of an annuity due is calculated using the following formula:

{eq}FV_{Annuity\ due}=PMT \times \dfrac{(1+r)^n-1}{r}\times(1+r) {/eq}

Where,

PMT = payment per period =$333.33
r = interest rate per period =0.08
n = number of periods = 2


As per the above-given problem, we are required to calculate the amount of money that you will have in your account on January 01, 2012.
Since $333.33 is deposited at the beginning of each of the above-given 3 consecutive years, it's an annuity due.
First, we need to calculate the accumulated future value of the two deposits of $333.33 made on January 01, 2010, and 2011, respectively, on January 01, 2012. Then, the estimated future value is added to the amount deposited on January 01, 2012, i.e., $333.33 to get the final account balance.
The future value calculation is shown below:

{eq}\begin{align*} FV &= $333.33\times \dfrac{(1+0.08)^2-1}{0.08}\times (1+0.08)\\ &=$333.33\times2.08\times1.08\\ &=$748.792512\\ \end{align*} {/eq}



The future value of the two consecutive deposits of $333.33 made in 2010, and 2011, on January 01, 2012, is $748.792512.



Therefore, the amount of money you will have in your account on January 01, 2012, is

{eq}=$748.792512+\text{Deposit made on January 01, 2012}\\ =$748.792512+$333.33\\ =$1,082.122512\\ =$1,082.12\ (rounded\ off) {/eq}",A,1
24,"Calculate the present value of a warranty that is $75 per unit for 5 years. The inflation is 4%.

Warranties:
Warranties are provided to the customer by the seller on the products in case of faults found in the products sold during a predefined warranty period. The warranty covers a free service on the product within that period. There is a separate accounting treatment for warranties",$315.78,$320.45,$333.89,$340.12,C,"The present value of the warranty is $333.89.

Use the present value of an annuity formula to determine the present value of the warranty:

{eq}PV_{oa}=A\times \dfrac{1-(1+r)^{-n}}{r}\\ {/eq}

Where,

{eq}PV_{oa} = \text{Present value of ordinary annuity}\\ A = \text{Amount of annuity payment} = \$75\\ r = \text{Interest rate} = 4\%\\ n = \text{Number of periods} = 5\\ {/eq}

Upon substituting these values into our present value formula and simplifying, we have:

{eq}PV_{oa}=A×\frac{1-(1+r)^{-n}}{r}\\ PV_{oa}=$75 × \frac{1\,-\,(1\,+\,0.04)^{-5}}{0.04}\\ PV_{oa}=$75 × 4.45182233\\ PV_{oa}= \,$333.89 {/eq}",A,0
25,"Congratulations! You have won a state lottery. The state lottery offers you the following (after-tax) payout options:

$14,000,000 after five years
$2,000,000 per year for five years
$13,000,000 after three years
Present value of the payout, Option #1 is $_____.

Round your answer to the nearest dollar.

Annuity:
An annuity is an investment opportunity that offers periodic cash flows of equal amounts until the end of a defined period. Annuities involve payments at the beginning of the period and the end of the period.","$9,528,165","$9,732,150","$9,845,250","$10,000,001",A,"The present value of the payout, Option 1, is $9,528,164.76.

The present value of the state lottery offered in Option 1 is computed below:

As per option 1) $14,000,000 will be received at the end of five years, and the interest rate is 8%.

As the cash flow is single, the present value of a single cash flow formula should be used to determine the present value of the lottery:

{eq}PV=P\times \dfrac{1}{(1+r)^{n}}\\ {/eq}

Where,

{eq}PV = \text{Present value of a single payment}\\ A = \text{Amount of payment} = \$14,000,000\\ r = \text{Interest rate} = 8\%\\ n = \text{Number of periods} = 5\\ {/eq}

Upon substituting these values into our present value formula and simplifying, we have:

{eq}PV=P\times \dfrac{1}{(1+r)^{n}}\\ PV=$14,000,000 × \frac{1}{(1 + 0.08)^{5}}\\ PV=$14,000,000 × 0.6805832\\ PV= \,$9,528,164.76 {/eq}

",A,1
26,"The income from an established chain of laundromats is a continuous stream with its annual rate of flow at time t given by f(t)=$400,000 (dollars per year). If money is worth 4% compounded continuously, find the present value of this chain over the next 6 years. (Round your answers to the nearest dollar.)","$2,133,721","$2,125,345","$2,145,678","$2,150,123",A,"We are given:

The annual cash flow (the amount of money that will be deposited per year) is {eq}\rm f(t) = \$400,000 {/eq}.
The rate of interest compounded continuously is {eq}\rm r=4\% = 0.04 {/eq}.
The time is {eq}\rm t=6 {/eq} years.


The formula for finding the present value of income is expressed as:

{eq}\rm PV=\int_0^t f(t)e^{-rt}dt {/eq}, where:

t is the time
r is the interest rate
f(t) is the annual cash flow in dollars per year


Substituting the relevant values, we have:

{eq}\begin{aligned} \rm PV&=\rm \int_0^6 400000e^{-0.04t}dt\\ &=\rm 400000\int_0^6 e^{-0.04t}dt\\ &=\rm 400000\left(\dfrac{e^{-0.04t}}{-0.04}\right)_0^6\\ &=\rm 400000\left(\dfrac{e^{-0.04\times 6}-e^{0}}{-0.04}\right)\\ &=\rm 2133721.4 \end{aligned} {/eq}



Therefore, the present value of the income is $2,133,721.40.",A,1
27,"If the annuity pays interest at a rate of 4% per year, with interest paid continuously, how much will be in the account when you retire in 30 years? Round value to the nearest cent; do not include a dollar sign with your answer.",3.200P,3.250P,3.217P,3.243P,D,"We are given:

The rate of interest per year is r = 4% (r = 0.04)
The time is t = 30 years.


The formula for compound interest is expressed as:

{eq}\rm A=P\left(1+\dfrac{r}{n}\right)^{nt} {/eq}, where:

P is the principal amount
r is the interest rate (r = 0.04)
t is the time (t = 30 years)
n is the number of times compounded annually (n = 1)


Substituting the known values into the above formula, we have:

{eq}\begin{aligned} \rm A&=\rm P\left(1+\dfrac{0.04}{1}\right)^{1\times 30}\\ &=\rm P\left(1.04\right)^{30}\\ &=3.243P\\ \end{aligned} {/eq}



Therefore, the amount of money in the person's account after 30 years is 3.243 times the initial principal balance.",A,0
28,"You want to be able to withdraw $30,000 from your account each year for 30 years after you retire. You expect to retire in 20 years.

If your account earns 6% interest, how much will you need to deposit each year until retirement to achieve your retirement goals?

Future Value of an Annuity:
The future value (FV) of an annuity depends on various factors, such as the annual payment {eq}(P) {/eq}, the annual interest rate {eq}(r) {/eq}, and the number of payments {eq}(n) {/eq}. Making a change in any of these quantities leads to a change in the future value. The formula for the future value is {eq}FV=P\times\dfrac{(1+r)^n-1}{r} {/eq}.","$23,500.23","$24,466.49","$25,123.78","$26,789.45",B,"If we wish to withdraw $30,000 each year, then we must have {eq}30 \times \$30,000=\$900,000 {/eq} in our account. This is our future value.

The annual rate of interest is {eq}r=6\% {/eq}.

Represent the rate of interest in decimal by dividing the percentage rate of interest by 100.

{eq}\begin{aligned} r &=6\% \\ r &=\dfrac{6}{100} \\ r &=0.06 \\ \end{aligned} {/eq}

The number of payments is {eq}n=20 {/eq} since the person expects to retire in 20 years.

Now, substitute {eq}n=20 {/eq}, {eq}FV=900,000 {/eq}, and {eq}r=0.06 {/eq} in the formula {eq}FV=P\times\dfrac{(1+r)^n-1}{r} {/eq} to find the annual deposit {eq}P {/eq}.

{eq}\begin{aligned} 900,000 &=P\times \dfrac{(1+0.06)^{20}-1}{0.06} \\ 900,000 &=P\times \dfrac{(1.06)^{20}-1}{0.06} \\ 54,000 &=P\times[ (1.06)^{20}-1] \end{aligned} {/eq}

Solve the obtained equation for {eq}P {/eq}.

{eq}\begin{aligned} P &=\dfrac{54,000}{(1.06)^{20}-1} \\ P &\approx \dfrac{54,000}{3.2071-1} \\ P &\approx \dfrac{54,000}{2.2071} \\ P &\approx 24,466.49 \end{aligned} {/eq}

Consequently, one must deposit approximately $24,466.49 each year until retirement to achieve retirement goals.",B,1
29,"Amanda wants to be able to have yearly withdrawals of $25,000 from her retirement account for 30 years starting a year after she turns 65.

If she can earn a yearly rate of return of 7% in her retirement account during the 30 years of her retirement, what must be the approximate balance on her 65th birthday?

Individual Retirement Account (IRA):
The earning individuals in the USA can use an Individual Retirement Account (IRA) to save for retirement while taking advantage of certain tax benefits. The IRA is largely intended for self-employed people who lack access to corporate retirement plans, such as the 401(k), which are solely offered by employers. A bank, financial firm, online brokerage, or personal broker can all help an individual start an IRA. There are different types of IRAs like traditional IRAs, Roth IRAs, Simplified Employee Pension (SEP) IRAs, etc. Everyone who has earned income, including those who have a 401(k) account through their workplace, is eligible to open and make contributions to an IRA. The only limitation is the maximum amount of money that one can contribute to their account per year.","$308,125.45","$310,226.03","$312,345.78","$315,450.67",B,"The approximate balance of Amanda's retirement account on her 65th birthday must be $310,226.03.



Given information,

Yearly withdrawal amount = $25,000
Total duration of withdrawal = 30 years
Annual interest rate = 7%
Amanda will start withdrawing money a year after she turns 65.
Since Amanda intends to withdraw an equal amount of money from her retirement account at the end of each year over a period of 30 years after she turns 65, this cash flow series represents an ordinary annuity.

The amount of money that Amanda should have in her retirement account on her 65th birthday to fund this withdrawal plan can be estimated using the following present value of the ordinary annuity formula:

{eq}PV = PMT \times \dfrac{1-(1+r)^{-n}}{r} {/eq}

Where,

PV = Present value of ordinary annuity
PMT = payment per period
r = annual interest rate
n = number of periods
In the above-given problem,

PMT = $25,000
r = 7%
n = 30 years
By putting the corresponding values in the above formula, we get:

{eq}\begin{align*} PV &= $25,000 \times \dfrac{1-(1+0.07)^{-30}}{0.07}\\ &=$25,000 \times 12.40904118\\ &=$310,226.03\\ \end{align*} {/eq}



Thus, the approximate balance that Amanda should have in her retirement account on her 65th birthday is $310,226.03.",B,1
