id,question,A,B,C,D,answer,explanation,hint,guess,reasoning
12,"Taylor Products Inc. has an $8,000 unfavorable flexible budget variance for October. If October's flexible budget net income was $175,000, which of the following statements is true?","Taylor's static budget must have shown a net income of $183,000.","Taylor's static budget must have shown a net income of $167,000.","Taylor's actual net income must have been $183,000.","Taylor's actual net income must have been $167,000.",D,"The correct option is d. Taylor's actual net income must have been $167,000.
Recall that the flexible budget variance is the difference between the
actual results and the flexible budget amounts
. The static budget amounts are used to calculate the volume or static budget variance. This means that options a. and b. are wrong.
When a company has an unfavorable variance, it means that the actual performance was worse than the budgeted expectation. This means that if the budgeted net income was $175,000 and the company has an unfavorable flexible budget variance of $8,000, the actual net income was $8,000 lower than the budgeted expectation.
The
actual net income was therefore $167,000.","Flexible Budgeting: A flexible budget is an adaptation of the static or planning budget based on the actual activity level. The preparation of a flexible budget makes it possible for companies to break down their total budget variances, and therefore to manage budget variances better,",D,
13,The flexible budget attempts to account for the recognition of variances to actual caused by changes in:,volume,hours worked,prices,none of the above,C,"The correct option is
c) prices.
The goal of the flexible budget is to make adjustments for price changes to account for differences between actual and planned results. The effect of price changes on expenses and income is factored in. The flexible budget is more reflective of a company's true performance because it adapts to price changes.
Reasons why other options are incorrect:
a) volume: While shifts in volume can have an effect on bottom-line numbers, the flexible budget is designed to handle variations in revenue that result from price changes.
b) hours worked: Working hours are of less importance to the flexible budget than the impact of fluctuating prices.
d) none of the above: Since option c is correct, this option can not be correct.","Flexible Budget: When a budget has room to change according to needs, we call it a ""flexible budget."" The opposite is the fixed budget, in which alteration is not possible. Flexible budgets are prepared when the circumstances are changing rapidly.",A,
14,"The static budget for our company shows a sales volume of 2,000 units and a sales price of $60 per unit. Actual sales for the year totaled 2,100 units, and the actual sales price was $58 per unit.","$4,200 favorable","$4,200 unfavorable","$6,000 favorable","$6,000 unfavorable",B,"The correct option is (b),
$4,200 unfavorable.
Given information,
Sales volume = 2,000 units
Standard price = $60 per unit.
Actual sales = 2,100 units.
Actual sales price = $58 per unit.
Determining the flexible budget variance for sales revenue:
The flexible budget variance for sales revenue results in $4,200 with an unfavorable balance as the standard price of $60 exceeds the actual price of $58. The actual units sold of 2,100 is multiplied by the difference between the standard price of $60 and the actual price of $58. The formula and calculation to arrive at the $4,200 unfavorable variance are shown as follows:
{eq}\begin{aligned} \text { Fexible budget variance for sales revenue } & =\text { Actual units sold } \times(\text { Standard price }- \text { Actual price }) \\ & =2,100 \times(\$ 60-\$ 58) \\ & =2,100 \times 2 \\ & =\$ 4,200 \text { Unfavorable } \end{aligned} {/eq}
Hence, the flexible budget variance for sales revenue is
$4,200
, and is unfavorable.",Flexible Budget: A flexible budget is an essential tool used in estimating production and operational expenses. This budget projects revenues and sales at the actual level of activity instead of the planned level. This makes the variance analysis more important as it takes into account how revenues and costs perform at the real sales and production volume.,B,
15,Vela Enterprises Inc. would like to prepare a summary cash budget for March. The following information is available:,"$(8,500)","$13,250","$10,750","$14,500",C,"The correct option is c. $10,750.
To find the answer, we must:
Add the estimated cash collections from March and February's sales to the beginning cash balance to find the cash available
Deduct the cash payment for inventory purchased in March and February
Deduct the cash payments for selling and administrative expenses and for the loan and interest repayments. We must ignore depreciation because it is not a cash expense.
Vela Enterprises Inc.
Cash Budget for March
March
Beginning cash balance
$8,000
Collections from customers
65% of March sales
$58,500
35% of February sales
$22,750
Cash available
$89,250
Cash disbursements
Payments for inventory purchases
50% of March purchases
$20,000
50% of February purchases
$17,500
March selling and administrative expenses
$6,000
Loan and interest repayments
$35,000
Total cash disbursements
$78,500
Projected ending balance of cash on hand
$10,750",Cash Budget: The cash budget is prepared to determine a company's estimated cash available before disbursements and its cash balance at the end of each reporting period. Management uses this information to determine whether financing is required.,B,
16,Which of the following is a true statement regarding the purpose of flexible budgets?,Flexible budgets are also known as static budgets.,They are budgets that are developed at the start of the year and never adjusted.,They are of no use in comparing or evaluating actual results.,Flexible budgets are also known as variable budgets.,D,"The correct option is d. Flexible budgets are also known as variable budgets.
The table explores each answer option and explains the right and wrong answers with reasons:
a. Flexible budgets are also known as static budgets.
The static budget is the planning budget prepared at the beginning of the year while the flexible budget is derived from the per-unit amounts in the static budget and the actual activity levels. They are therefore not the same thing.
b. They are budgets that are developed at the start of the year and never adjusted.
This is true of the static budget, not the flexible budget.
c. They are of no use in comparing or evaluating actual results.
They are extremely useful in evaluating actual results because they separate the volume variance from the revenue/spending variance. This means that managers are evaluated on the items within their control only.
d. Flexible budgets are also known as variable budgets.
This is the correct alternative. Flexible budgets are called variable budgets because the total budgeted revenues and variable costs are adjusted when the actual activity level is different from the planned activity level","Flexible Budgeting: Flexible budgeting is one of the budget approaches used in management accounting. It is useful for companies where sales volume plays a large part in the total expenses and profits, or where middle management is required to control costs but cannot control volumes.",D,
17,Which of the following is not a component of the cash budget?,Budgeted cash payments,Budgeted cash collections,Depreciation expense,Cash borrowed or repaid,C,"The correct answer is
c. Depreciation expense.
A cash budget includes items that include a flow of actual cash into or out of the business. Since depreciation is a non-cash expense, it is not a component of the cash budget.
The other options are incorrect.
a.
Budgeted cash payments:
Cash payments lead to an outflow of actual cash from the business. Thus, budgeted cash payments are included in the cash budget.
b.
Budgeted cash collections:
Cash collections lead to an inflow of actual cash to the business. Thus, budgeted cash collections are included in the cash budget.
d.
Cash borrowed or repaid:
The cash borrowed leads to an inflow, whereas the cash repaid leads to an outflow of cash. Thus, both items are included in the cash budget.","Cash Budget: The estimate of future cash inflows and outflows a business is expected to encounter during the budget period is called the cash budget. It helps a business with proper planning, tackling future variations, and managing cash flow.",C,
18,Which of the following is not a component of the cash budget?,Cash available to spend.,Short-term financing.,Reconciliation of beginning and ending cash.,Cash disbursements.,C,"The answer is
option C. ""Reconciliation of beginning and ending cash.""
The reconciliation of the beginning and ending cash balance is shown on the statement of cash flows, not on the cash budget, which reports only the company's cash receipts (cash available to spend), cash disbursements, and all the financing (short-term and long-term). It helps to determine if the firm has enough money at the end of each budget period. Thus, option C is the answer.","Cash Budget: A cash budget is a helpful tool for businesses of all sizes. It helps to plan and manage cash flow, which is essential for the success of any business. The firm can use it to forecast future cash needs, identify potential shortfalls, and decide how to allocate resources.",C,
19,Which of the following items does not belong in a cash budget?,Rent.,Depreciation.,Taxes.,Wages and salaries.,B,"Correct Answer:
Option b) Depreciation
.
Options
Analysis
a) Rent
Rent is a cash expense that can be found on a cash budget.
b) Depreciation
Depreciation is not a cash expense. It is simply recorded on the income statement to match the asset-generated revenues with asset-related costs. It cannot be found on a cash budget, as the cash budget includes only cash transactions.
c) Taxes
Taxes are paid on income earned and they are cash expenses found on a cash budget.
d) Wages and salaries
Wages and salaries are paid to the employees and they are cash expenses found on a cash budget.","Cash Budget: A cash budget lists all cash receipts and disbursements forecasted for a period. It provides the change in cash balance by adding the receipts to, and reducing the disbursements, from the beginning cash balance.",B,
415,"A company expects to make purchases of $65,000 in January; $80,000 in February; $70,000 in March; and $90,000 in April. Purchases are paid 35% in the month of purchase and 65% in the month after purchase.","$73,500","$24,500","$76,500","$45,500",A,"Answer: $58,500
March Purchase (a)
90,000
Percentage Unpaid (b)
65%
Accounts Payable as of March 31 (c=a*b)
58,500
The budgeted accounts payable as of March 31 is only the 65% of the March purchases which will be paid in April. The 35% is already pay in march, thus, not considered as accounts payable. Also, January and February purchases are expected to be fully paid by March 31, thus, not included in the computation of accounts payable.",Accounts Payable: Accounts payable is recorded when the company purchased goods or services from the suppliers but has not yet paid such purchase. This is considered as a current liability.,A,
416,"In the Proctor Company, indirect labor is budgeted for $24,000 and factory supervision is budgeted for $8,000 at the normal capacity of 80,000 direct labor hours.","$35,000","$32,000","$36,000","$33,000",A,"The correct option is
option A. $35,000
Explanation:
Calculation of the flexible budget amount
:
{eq}\begin{aligned}   \text{Flexible budget amount }&=\left( \text{Actual direct labor hours x Indirect labor rate} \right)+\text{Factory supervisions costs} \\   &=\left( 90,000\text{ x }\$0.30 \right)+\$8,000 \\   &=\text{  }\$27,000\text{ }+\text{ }\$8,000 \\   &=\text{ }\$35,000  \end{aligned}

{/eq}
Working note:
Calculation of the Indirect Labor Rate:
{eq}\begin{aligned}   \text{Indirect labor rate}&=\frac{\text{Budgeted Indirect labor  }}{\text{Budgeted direct labor hours}}~ \\   &=\frac{\$24,000}{80,000} \\   &=\text{ }\$0.30  \end{aligned}

{/eq}
Indirect labor costs are considered variable overhead and will be changed according to the direct labor hours consumed.
Factory supervision is fixed overhead and will remain the same from 80,000 to 90,000 direct labor hours.","Flexible Budget: A flexible budget refers to a budget that changes with the change in actual production, income, or sales. Generally, this budget is used where the costs are completely attached to the level of business production or sales.",B,
417,"Lao Shu Bruce Company's direct materials budget shows the total cost of direct materials purchases for January $125,000, February $150,000, and March $175,000. Cash payments are 60% in the month of purchase and 40% In the following month.","$165,000","$160,000","$150,000","$130,000",A,"The budgeted cash payments for March are $165,000 (A)
The calculation is given below.
Budgeted cash payments = 60% in the month of purchase + 40% in the following month
Budgeted cash payments = ($175,000 * 0.6) + ($150,000 * 0.4)
Budgeted cash payments = $105,000 + $60,000
Budgeted cash payments = $165,000",Cash Budget: The primary objective of preparing a cash budget for a business entity is to determine if the company can hold enough cash in the future. The cash budget is prepared by estimating cash inflow and cash outflow.,B,
418,"Laurey Inc. is working on its cash budget for May. The budgeted beginning cash balance is $37,000. Budgeted cash receipts total $118,000 and budgeted cash disbursements total $112,000. The desired ending cash balance is $55,500. To attain its desired ending cash balance for May, the company needs to borrow:",$0,"$55,500","$98,500","$12,500",D,"The amount to be borrowed by the firm is given by:
{eq}\begin{align*}

&= \text{Desired ending balance - (Beginning cash balance + budgeted cash receipts - budgeted cash disbursements)}\\[0.3 cm]

&= $55,500 - ($37,000 + $118,000 - $112,000) \\[0.3 cm]

&= $55,500 - $43,000 \\[0.3 cm]

&= $12,500

\end{align*}

{/eq}
The correct answer is option
d. $12,500
.","Budgeting: The budgeting activity is usually carried out for the forthcoming period so that one can carry out the variance analysis between the actual and budgeted values for metrics such as sales, production, and manufacturing overhead. The cash budget does not consider the accruals but considers only cash receipts and cash payments.",D,
419,"Mosbey Inc. is working on its cash budget for June. The budgeted beginning cash balance is $26,000. Budgeted cash receipts total $198,000 and budgeted cash disbursements total $197,000. The desired ending cash balance is $45,000. The excess (deficiency) of cash available over disbursements for June will be:","$27,000","$224,000","$1,000","$25,000",A,"The correct option is a.
We calculate the cash available first and then deduct the disbursements to calculate the answer:
Beginning cash balance
$26,000
Budgeted cash receipts
198,000
Cash available
$224,000
Cash disbursements
(197,000)
Excess (deficiency) of cash available over disbursements for June
$27,000",Cash Budget: One of the aim functions of the cash budget is to establish the company's finance needs for each budget period. Companies do this by comparing the excess or deficiency of cash available over disbursements to their desired minimum cash balance.,A,
420,"Rich Company's unadjusted book balance at October 31, 2014, is $5,750. The following information is available for the bank reconciliation. Outstanding checks, $1,400 Deposits in transit, $1,200 Bank service charges, $110 Bank collected accounts receivable for Rich Company, $2,600 NSF check written by one of Rich's customers, and $1,400 Based on this information Rich's true cash balance is:","$2,600.","$5,440.","$7,460.","$6,840",D,"The correct answer is d, i.e., $6,840
Calculation:
Statement showing the calculation of Rich's proper cash balance:
Particulars
Amount
Balance as per book
$5,750
Add: Bank collected accounts receivable
$2,600
Less: Bank service charge
($110)
Less: NSF check
($1,400)
Rich's proper cash balance
$6,840
Hence, Rich's actual cash balance is calculated as $6,840.","Actual Cash Balance: In financial accounting, actual cash balance refers to the cash the company and its subsidiaries had on hand or in their bank accounts as the closing date over the reserves.",B,
421,"Xiao Miao Company's direct materials budget shows the total cost of direct materials purchases for April $300,000, May $360,000, and June $420,000. Cash payments are 60% in the month of purchase and 40% in the following month.","$396,000","$384,000","$360,000","$312,000",A,"The budgeted cash payments for June are $396,000 (A)
The calculation is given below.
Payment for the month of June = 60% of purchases from June + 40% of purchases from May
Payment for the month of June = ($420,000 * 60%) + ($360,000 * 40%)
Payment for the month of June = ($420,000 * 0.60) + ($360,000 * 0.40)
Payment for the month of June = $252,000 + $144,000
Payment for the month of June = $396,000",Cash Budget: A cash budget is part of the master budget that is prepared by a business entity on a periodic basis. The purpose of preparing a cash budget is to determine the net cash position of the company in the future.,A,
496,"Astor Manufacturing has the following budgeted sales: January $120,000, February $180,000, and March $150,000. 40% of the sales are for cash and 60% are on credit. For the credit sales, 50% are collected in the month of sale, and 50% the next month. The total expected cash receipts during March are:","$159,000.","$168,000.","$157,500.","$150,000.",A,"Correct Answer:
Option A) $159,000
.
The total expected cash receipts during March for Astor Manufacturing are computed as follows:
Computation
Amount
Cash sales of March
($150,000 × 40%)
$60,000
50% of credit sales of March
($150,000 × 60%) × 50%
$45,000
50% of credit sales of February
($180,000 × 60%) × 50%
$54,000
Total expected cash receipts during March
$159,000
Note:
Cash sales equal 40% of the total sales of each month.
Credit sales equal 60% of the total sales of each month.","Sales Revenue: A business creates revenues by selling goods and services to its customers and clients. Income can be recorded once the sale occurs, irrespective of whether cash is received at the time of sale or not.",B,
497,"At January 1, 2013, Farley, Inc. has beginning inventory of 2,000 surfboards. Farley estimates it will seli 5,000 units during the first quarter of 2013 with a 12% increase in sales each quarter. Farley's policy is to maintain an ending inventory equal to 25% of the next quarter's sales. Each surfboard costs $100 and is sold for $150. How much is budgeted sales revenue for the third quarter of 2013?","$975,000","$6,272","$225,000","$940,800",D,"Correct Answer:
Option D) $940,800
.
The budgeted sales revenue for the third quarter of 2013 for Farley, Inc. can be determined as follows:
Let's first determine the budgeted sales in Quarter 1:
Budgeted sales in Quarter 2 = Budgeted sales in Quarter 1 × (1 + Growth rate)
Budgeted sales in Quarter 2 = 5,000 units × (1 + 0.12)
Budgeted sales in Quarter 2 = 5,600 units
Now, we can determine the budgeted sales in Quarter 3:
Budgeted sales in Quarter 3 = Budgeted sales in Quarter 2 × (1 + Growth rate)
Budgeted sales in Quarter 3 = 5,600 units × (1 + 0.12)
Budgeted sales in Quarter 3 = 6,272 units
Finally, the budgeted sales revenue for the third quarter is:
Budgeted sales revenue in Quarter 3 = Budgeted sales units in Quarter 3 × Budgeted selling price per unit
Budgeted sales revenue in Quarter 3 = 6,272 units × $150
Budgeted sales revenue in Quarter 3 = $940,800","Sales Revenue: The sales revenue account represents the amount of goods sold to the customers during a period. The account balance is a credit balance, and to decrease the sales on account of sales returns or sales discounts, we should use contra-revenue accounts.",A,
