id,question,A,B,C,D,answer,explanation,hint,guess,reasoning,baseline_guess
11,Which of the given interest rates and compounding periods would provide the best investment?,"2% per year, compounded semiannually","2% per year, compounded monthly","2% per year, compounded continuously",,D,"When everything else is held constant, a higher compounding frequency always yields a higher investment. This is because the interest is added back into the investment more often, meaning that future interest calculations are made with a larger balance. If interest is compounded semiannually, it is compounded twice per year. If it is compounded monthly, that is 12 times per year. Continuously compounded interest is a little different, as interest is compounded more frequently than once per second! Thus, continuously compounding is the highest compounding frequency, and we want to use that.
We can illustrate this problem with some calculations to support our claims. The following three calculations use an initial balance of $1000 placed into an account earning 2% interest for 10 years. The only difference is the compounding frequency. The first calculation uses semiannually compounded interest, the second uses monthly compounded interest, and the third uses continuously compounded interest. While the differences in the final amount are slight, we can see that continuously compounded interest does yield the highest amount in the end.
{eq}\begin{align*} A_a &= 1000\left(1 + \dfrac{0.02}{2}\right)^{2(10)}\\ &=1000(1+0.01)^{20}\\ &= 1000(1.01)^{20}\\ &= 1000(1.22019)\\ &= 1220.19\\ \\ A_b&= 1000\left( 1+\dfrac{0.02}{12}\right)^{12(10)}\\ &= 1000(1+0.001667)^{120}\\ &= 1000(1.001667)^{120}\\ &=1000(1.221199)\\ &=1221.20\\ \\ A_c &= 1000e^{0.02(10)}\\ &=1000e^{0.2}\\ &= 1000(1.22140)\\ &= 1221.40 \end{align*} {/eq}","Compound Interest: The most common application of exponential functions comes in finance. This is because when money is placed in the bank, it grows at a specified interest rate. Most of the time, this interest is compounded either annually or continuously, though other compounding frequencies exist.",,,C
12,"You have 15 more years to achieve your goal of being a millionaire. At an exponential growth of 10 percent annually, how much do you need to invest today to reach your goal?","$22,026","$262,910","$223,130","$100,000",B,"The equation for calculating the compounding interest is an exponential equation.
Using this formula, we can solve for the minimum amount of money that must be invested to attain 1,000,000 after 15 years if the interest is 10 percent compounded annually.
{eq}P_{n}\;=\;P_{0}\;\times\;(1\;+\;\frac{r}{k})^{Nk} {/eq}
where:
{eq}\begin{aligned} P_{n}\;&=\;\text{ total amount in the account after N years have passed}\\ P_{0}\;&=\;\text{starting amount in the account or the initial balance}\\ r\;&=\;\text{the annual interest rate given in decimal form}\\ k\;&=\;\text{the number of compounding periods in a year (e.g., if compounding is done quarterly, k=4)}\\ \end{aligned} {/eq}
We will now substitute the values in the equation. We know that if the interest is compounded annually then the number of compounding periods in a year is 1.
{eq}\begin{aligned} P_{n}\;&=\;P_{0}\;\times\;(1\;+\;\frac{r}{k})^{Nk}\\ 1,000,000\;&=\;P_{0}\;\times\;(1\;+\;\frac{0.10}{1})^{(15)(1)}\\ P_{0}\;&=\;\frac{1,000,000}{(1\;+\;\frac{0.10}{1})^{(15)(1)}}\\ P_{0}\;&=\;\frac{1,000,000}{(1\;+\;0.10)^{15}}\\ P_{0}\;&=\;\frac{1,000,000}{(1.10)^{15}}\\ P_{0}\;&=\;239,392.0494\\ \end{aligned} {/eq}
The minimum amount that must be invested is approximately 239,392 in order to attain 1,000,000 after 15 years.
In the given choices, only option B surpasses the minimum amount. If you invest 262,910 today, after 15 years, you will have approximately 1,098,240. Thus, making you a millionaire.
{eq}\begin{aligned} P_{n}\;&=\;P_{0}\;\times\;(1\;+\;\frac{r}{k})^{Nk}\\ P_{n}\;&=\;262,910\;\times\;(1\;+\;\frac{0.10}{1})^{(15)(1)}\\ P_{n}\;&=\;262,910\;\times\;(1\;+\;0.10)^{15}\\ P_{n}\;&=\;1,098,240.316\\ \end{aligned} {/eq}
The answer is option B.","Interest When you borrow money from a bank, you usually hear the terminterest. Interest is the added amount of money that must be paid by the borrower aside from the loaned money. This is how banks earn from lending money. Interest is a certain percentage of the loaned money. Interest can be compounded at different periods in a year. It can be compounded annually, semi-annually, or quarterly.",,,A
13,"You just inherited $10,000. You are investing this money for two years at 5% compounding interest. In whole dollars, how much money will you have at the end of the two years?","$10,500","$11,000","$11,025","$12,000",C,"The final amount that can be expected to be earned in two years at 5% compound interest is
= {eq}\displaystyle P \times \left ( 1 + \dfrac{r}{n} \right )^{nt} {/eq}
Where,
A is the amount to be earned
P is the principal amount invested, $10,000
r is the interest rate on the deposit, 5%
n is the frequency of compounding, annual
t is the time in years, 2
Therefore,
A = {eq}\displaystyle \$10,000 \times \left ( 1 + \dfrac{0.05}{1} \right )^{1 \times 2} {/eq}
A = {eq}\displaystyle \$10,000 \times ( 1 + 0.05)^{2} {/eq}
A = {eq}\displaystyle \$10,000 \times ( 1.05)^{2} {/eq}
A = {eq}\displaystyle \$10,000 \times 1.1025 {/eq}
A =
$11,025
Hence, the correct answer is
c. $11,025",Inheritance: Inheritance is the passing down of personal assets and cash from one person to another after the former's death as per the arrangement made by the former in his/her will before dying. The person who inherits the sum of money can choose to spend it entirely as he or she wishes or choose to grow the money through fixed deposit schemes at banks or through other investment channels.,,,C
208,"A $7 million deposit earns 5% for 9 years. If the account loses 2% per year after that, how long will it take to be reduced back to $7 million?",21.74 years,10.29 years,11.29 years,6.78 years,A,"The answer is
a. 21.74 years.
Summary:
Initial deposit = $7,000,000
Holding period (N1) = 9 years
Annual interest rate (I1) = 5%
Annual decrease percentage (I2) = - 2%
Determine the account balance after 9 years:
{eq}Balance_9 = \displaystyle Initial\:deposit \times (1 + I1)^{N1} {/eq}
{eq}Balance_9 = \displaystyle $7,000,000\times (1 + 5\%)^9 {/eq}
{eq}Balance_9 = \displaystyle $10,859,297.51 {/eq}
Determine the number of years to reduce the amount of $10,859,297.51 to $7,000,000 at an annual decrease percentage of 2%:
{eq}Initial\:deposit =\displaystyle Balance_9 \times (1 + I2)^{N2} {/eq}
{eq}$7,000,000 =\displaystyle \$10,859,297.51 \times (1 - 2\%)^{N2} {/eq}
{eq}0.98^N = \displaystyle \frac{\$7,000,000}{\$10,859,297.51} {/eq}
{eq}0.98^N = 0.64461 {/eq}
{eq}N = \displaystyle \frac{ln(0.64461)}{ln(0.98)} {/eq}
{eq}N = 21.74\:years {/eq}","Compounding Interest: The theorem of the compounding interest assumes that received interests will be reinvested in the same investment immediately. Thus, the future value of the investor will include an additional interest earned on original interests.",,,A
209,"A deposit of $10,000 now at an interest rate of 10% per year will accumulate in 20 years to an amount equal to _____.","$54,600","$61,500","$67,280","$51,900",C,"The correct option is C. $67275
The principal amount here is $10,000 and the interest rate is 10% or 0.1. Since the deposit has been made for 20 years, the time period taken would be 20 years. The amount after 20 years can be estimated by using the formula below:
{eq}A=P{{\left( 1+\frac{r}{n} \right)}^{n*t}}

{/eq}
Here, A is the amount after 20 years, P is the principal amount, r is the interest rate, n is the number of times compounding happens which is taken as 1 and t is the time period which is 20 years. Substitute the values and solve for A as below:
{eq}\begin{aligned}   A&=\$10,000{{\left( 1+\frac{0.1}{1} \right)}^{1*20}} \\   &=\$10,000{{\left( 1.1 \right)}^{20}} \\   &=\$10,000\times 6.72749 \\   &=\$67274.9 \\   &=\$67,275  \end{aligned}

{/eq}
The amount after 20 years would be $67,275.
A. The option is incorrect since the amount after 20 years would be $67,275 and not $54,600.
B. The option is incorrect since the amount after 20 years would be $67,275 and not $61,500.
D. The option is incorrect since the amount after 20 years would be $67,275 and not $51,900.","Principal and Amount: When a person makes a deposit of a certain amount, that amount is called the principal deposit. The amount that the depositor would receive after the maturity of the deposit period is called the amount. The amount received after the maturity is the sum of the principal deposit and the interest earnings that get accumulated over the time period for which the deposit has been made.",,,C
210,"Assume ABC Company deposits $25,000 with First National Bank in an account earning interest at 6% per annum, compounded semi-annually. How much will ABC have in the account after five years?","$33,598.","$25,000.","$32,500.","$33,456.",A,"The future value after five years is $33,598 (a)
The calculation for future value is shown below.
{eq}Future \ value \ = \ Deposits \ + \ \left ( Deposits \ \times \ \left ( \left ( 1 \ + \ \dfrac{Interest \ rate}{2} \right )^{Years \ \times \ 2} \ - \ 1 \right ) \right )

\\

Future \ value \ = \ \$25,000 \ + \ \left ( \$25,000 \ \times \ \left ( \left ( 1 \ + \ \dfrac{6\%}{2} \right )^{5 \ \times \ 2} \ - \ 1 \right ) \right )

\\

Future \ value \ = \ \$25,000 \ + \ \left ( \$25,000 \ \times \ \left ( \left ( 1 \ + \ 3\% \right )^{10} \ - \ 1 \right ) \right )

\\

Future \ value \ = \ \$25,000 \ + \ \left ( \$25,000 \ \times \ \left ( 1.34392 \ - \ 1 \right ) \right )

\\

Future \ value \ = \ \$25,000 \ + \ \left ( \$25,000 \ \times \ 0.34392 \right )

\\

Future \ value \ = \ \$25,000 \ + \ \$8,598

\\

Future \ value \ = \ \$33,598

{/eq}",Compounding: Compounding is a method in which the interest on investment is added to the principal amount at the end of the compounding period. The earned interest becomes a part of the principle which earns additional interest from the next period.,,,A
211,"How much money will be in an account 10 years from today if $20,000 is deposited today at a rate of 10% per year compounded continuously?","$29,750","$39,750","$54,365","$66,365",C,"The answer is
c. $54,365.
Summary:
Initial deposit = $20,000
Holding period (N) = 10
Annual interest rate (I) = 10%
Determine the account balance after 10 years:
{eq}\text{Balance_{20}} = \displaystyle \text{Initial deposit} \times e^{N \times I} \\

\text{Balance_{20}} = \displaystyle \$20,000 \times e^{10 \times 10\%} \\

\text{Balance_{20}} = $54,365 {/eq}","Compounding Interest: The compounding interest method will reinvest the received interest immediately into the initial investment. Hence, this method will raise the total return on investment since it generates an additional interest on interest.",,,C
212,"If you borrow $5,000 with 4% interest compounded annually, how much total interest do you need to pay after 2 years?",$400,$404,$412,$408,D,"The correct answer is option
d. $408
.
The value of the borrowed amount after 2 years is given by:
{eq}\begin{align*}

&=  \text{Amount borrowed * (1 + annual interest rate)} ^ {\text{Number of years}} \\[0.3 cm]

&= \$5,000 * (1 + 4\%)^{2} \\[0.3 cm]

&= \$5,000 * (1.04)^{2} \\[0.3 cm]

&= \$5,000 * 1.0816 \\[0.3 cm]

&= \$5,408

\end{align*}

{/eq}
The interest amount paid is given by:
{eq}\begin{align*}

&=  \text{Value of the borrowed amount after 2 years - borrowed amount} \\[0.3 cm]

&= $5,408 - $5,000 \\[0.3 cm]

&= $408

\end{align*}

{/eq}",Time Value of Money: The concept of the time value of money is used to figure out the equivalent worth after a certain number of years. The compounding effect takes into account the interest earned on the already earned interest amount.,,,B
213,"If you deposit $200 per month at 12% per year compounded annually (no inter-period compounding), how much will you have at the end of 12 years?","$28,589","$37,698","$43,798","$57,919",D,"The answer is
d. $57.919.
Summary:
Monthly deposit = $200
Annual deposit = $200 x 12 = $2,400
Annual interest rate (I) = 12%
Number of months (N) = 12
Determine the account balance after 12 years:
{eq}\text{Account balance} = \displaystyle \text{Annual deposit} \times  \times \frac{(1 + I)^{N}-1}{I} {/eq}
{eq}\text{Account balance} = \displaystyle $2,400 \times  \times \frac{(1 + 12\%)^{12}-1}{12\%} {/eq}
{eq}\text{Account balance} = \displaystyle $2,400 \times 24.13313 {/eq}
{eq}\text{Account balance} = \$57,919 {/eq}","Compounding Interest: The concept of compounding interest assumes that original interests are reinvested in the same investment. Thus, an investor can earn interest on interest if the investment is offered with compounding interest.",,,C
214,"Two years ago, Marc paid $450 for a baseball signed by Andy Pettitte. The value of the card grew by 6% each year. If Marc sells the ball five years from now, what percent profit will he make?",50%,75%,25%,100%,D,"The answer is A, Marc will profit 50 percent if the value of the card grows by 6% each year.
The key to solving this problem is to perform a series of operations. As the final price will occur seven years after Marc bought the card for $450, the original price needs to be multiplied by 1.06 for the first year, then the product of that calculation multiplied by 1.06 for the second year. Each year will involve multiplying the previous year's product by 1.06, which represents the original price plus the 6 percent increase, or the value of 106 percent of the original price.
Marc Purchases the card for $450
End of the first year: {eq}$450 \times 1.06 = $477

{/eq}
End of the second year: {eq}$477 \times 1.06 = $505.62

{/eq}
End of the third year: {eq}$505.62 \times 1.06 = $535.9572

{/eq}
End of the fourth year: {eq}$535.9572 \times 1.06 = $568.114632

{/eq}
End of the fifth year: {eq}$568.114632 \times 1.06 = $602.20150992

{/eq}
End of the sixth year: {eq}$602.20150992 \times 1.06 = $638.3336005152

{/eq}
End of the seventh year: {eq}$638.3336005152 \times 1.06 = $676.633616546112

{/eq}
At this point, we can round off the price to $676.63.
To find out the percentage profit, we must subtract the original price from the final price, then divide that answer by the original price to find a decimal that represents the percentage profit.
{eq}676.63 - 450 = 226.63

{/eq}
{eq}226.63 \div 450 = 0.5036222222222222

{/eq}
As this is slightly over 50 percent, that tells us that the most accurate of the four answer choices is 50% profit from the baseball card.","Compound Interest: When calculating a value increase that occurs over several years, it is always important to remember that interest is compounded. This means that one does not simply multiply the percentage increase per year and multiply by the number of years. Future years multiply the percentage increase by the amount created by the previous year's value increase.",,,A
215,"What is the future value in 30 years of $100,000 invested today in a savings account earning a 1% compound interest rate every year?","$130,000","$134,785","$30,000","More than $134,785",B,"The correct option is
(b) $134,785
Given that -
Initial Value = $100,000
Interest Rate = 1% p.a.
Number of years = 30 years
{eq}\begin{align}

\text{Future Value} &= \text{Initial Value} \times (1 + \text{Interest Rate})^{\text{Number of years}}\\

&= \$100,000 \times (1 + 0.01)^{30}\\

&= \$100,000 \times 1.01^{30}\\

&= \$100,000 \times 1.34785\\

&= \$134,785\\

\end{align}

{/eq}","Compound Interest: Compound interest means interest earning interest on itself. After every compounding, the earned interest gets accumulated with the initial amount and gets invested at the same interest rate.",,,B
