id,question,A,B,C,D,answer,explanation,hint,guess,reasoning
11,"The present worth of a stand-alone project is equal to zero, then all of the below are correct statements except:",The project's future worth could be greater than zero.,The project adds zero value to the company.,Investors are indifferent between accepting and rejecting the project.,The project's internal rate of return is equal to the minimum attractive rate of return.,A,"a. This is an incorrect statement. If the present worth is zero, it indicates that the project will not generate any additional value for the company. If that is, its future worth will be also zero.
b. This is a correct statement. If the present worth is zero, it implies that the present value of cash inflows is sufficient to recover the required initial costs. Thus, there will no value added to the company in this case.
c. This is a correct statement. Since a firm can sufficiently recoup initial costs due to a zero present worth, it will be indifferent between accepting or rejecting the project.
d. This is a correct statement. The present worth is zero as long as all cash flows are discounted at the internal rate of return. Alternatively, the expected rate of return is exactly the IRR.","Present Worth: A project's present worth is exactly the project's net present value. Hence, it represents the potential value that a project can produce within its life expectancy. In addition, a firm might make an investment decision according to this present worth.",A,
12,"The rate of return rules states, ""Accept investments that have positive net present value.""",True,False,,,B,"The correct answer is
b. False.
It is false to say that the rate of return rules state, ""Accept investments that have positive net present value.""
According to the rate of return rule, a project must be accepted only if the IRR of the project exceeds the minimum required rate of return. On the contrary, if a project is not expected to generate an IRR above the minimum required rate of return, it is expected to destroy shareholders' wealth and, for this reason, it must be rejected.","Capital Budgeting: The process used by investment managers to evaluate the profitability and financial feasibility of a project is called capital budgeting. Based on the various rules of capital budgeting, decisions about accepting or rejecting an investment are made.",B,
13,The simple rate of return method is desirable because of its simplicity and the fact that it takes the time value of money into account. True or false?,True,False,,,B,"The statement is false.
The formula for a simple rate of return is:
{eq}{\rm\text{R }} = \frac{{{\rm\text{Average Annual Net Income}}}}{{{\rm\text{Initial Investment}}}}{\rm\text{ }} {/eq}
While the simple rate of return is simple to calculate, it has limitations. One of its major drawbacks is that it does not account for the time value of money. It disregards the reality that money earned through interest or a return on investment today is worth more than the same amount in the future. As a result, a simple rate of return can lead to incorrect investment decisions, especially when comparing investments with different cash flows over time.
For this reason, other methods, such as net present value (NPV) and internal rate of return (IRR), are often preferred, as they consider the time value of money and provide a more accurate measure of the profitability and economic value of an investment.",Simple Rate of Return: The simple rate of return measures the profitability of an investment. It represents the percentage value of the average annual net income earned in consideration of the investment's initial cost.,B,
14,True or False: The accounting rate of return disregards the time value of money.,True,False,,,A,"The statement is
True
.
The accounting rate of return is used to calculate an investment's profitability without considering the time value of money. The inputs required to calculate the return include the following:
Annual net income
Average investment cost
The formula logically arranges these inputs, as shown below:
{eq}\text{Accounting rate of return} = \dfrac{\text{Annual net income}}{\text{Average investment}} {/eq}","Capital Budgeting: Capital budgeting helps evaluate investments and decide which investment will benefit the company in terms of growth. Some capital budgeting techniques use the time value of money, while some don't.",A,
15,Two discounting models for capital investment decision-making are net present value and internal rate of return.,True,False,,,A,"The correct answer is
option a. True
.
Net present value (NPV) is the most commonly used metric for the evaluation of a project's profitability; it lays out the net value added to a company by investing in a project. The NPV takes the sum of discounted cash flows and subtracts the initial investment from the sum to arrive at the value added. The decision-making rule for this metric is to invest in the projects that yield a positive net value and reject the projects that yield a negative net value.
The internal rate of return (IRR) is the rate at which the value added by NPV equals zero. It is a rate used in the NPV method to determine the range of acceptable discount rates at which the NPV would be positive. The decision criteria for the IRR method is to accept the project that has a lower discount rate or cost of capital than the IRR and reject the project with a greater discount rate.
Since both models implement the discounting method to arrive at a decision, it is
true
to state that the two discounting models for capital investment decision-making are net present value and internal rate of return.",Capital Budgeting: Capital budgeting can be explained as a procedure that involves the identification and evaluation of various capital projects. It helps a company allocate its resources efficiently.,A,
16,When should a shorter budget period than 1 year be used?,During a period of rapid change.,During a period of slow change.,When the entity is stagnant.,When the entity experiences a natural disaster.,A,"The correct answer is
a. During a period of rapid change.
A budget must be flexible and responsive to change. Therefore, if the business environment is expected to change rapidly, budget periods shorter than 1 year must be used, so that the company can adjust budgets, as changes happen in the business environment.
The rest of the options are incorrect.
b. During a period of slow change:
During these periods, the business environment does not undergo a drastic change (in a short period). As a result, a budget, once prepared, can be used for a fairly long period. Therefore, in this situation, long-term budgets are used.
c. When the entity is stagnant:
A stagnant entity does not experience much change in the activity level. As a result, there is no need to change the budget rapidly. Short-term budgets may prove unfruitful to such entities because the cost of preparing budgets, again and again, far exceeds the benefits derived.
d. When the entity experiences a natural disaster:
A natural disaster is an unpredictable event that cannot be accounted for in a forward-looking budgeting process.","Budget: A budget is used to estimate the income and expenses of a business for a specific period. Depending on the dynamism of the business environment they operate in, businesses might opt for a budget duration that is most suitable for them.",A,
17,Which of the following are present value methods of analyzing capital investment proposals?,Internal rate of return and average rate of return,Average rate of return and net present value,Net present value and internal rate of return,Net present value and payback,C,"The correct answer is
c. Net present value and internal rate of return.
The net present value calculates the difference between the present values of cash inflows and cash outflows of the business. Hence it calculates the present value of cash flows.
On the other hand, the internal rate of return method calculates the discount rate at which the net present value will be equal to zero. So, it also calculates the present value of expected cash flows.
Thus, these two methods can be said to present value methods for analyzing capital investment proposals.
Explanation for incorrect answers
The average rate of return considers the net income of the business and not the cash flows. Hence, options (a) and (c) are incorrect.
The cash payback period does not discounts the expected cash flows to their present values, hence option (d) is incorrect.",Capital Budgeting: Capital budgeting is the process of evaluating long-term investment proposals. Various investment alternatives are evaluated based on different methods and techniques on different criteria.,C,
18,Which of the following statements is not true?,IRR provides an indication of the rate of return for the firm on a given project.,NPV identifies the value added to the firm if it accepts the capital budgeting project.,The payback method accounts for the time value of money.,"NPV, IRR, and the payback method all allow us to compare capital budgeting projects to each other.",A,"a. This is a true statement. The internal rate of return (IRR) is a discount rate that equates the present value of expected cash flows to the project's cash outlays. Hence, a project is accepted if its cost of capital is less than the IRR. At this point, IRR is treated as an indicator of the project's desired rate of return.
b. This is a true statement. The NPV presents the difference between the present value of expected cash flows and its initial cash outlays. Hence, it is also considered as potential value added by taking the project.
c. This is a false statement. The regular payback period ignores the effects of the time value of money. Alternatively, the regular payback period is determined by the nominal cash flows.
d. This is a true statement. These mentioned capital budgeting methods can be used in benchmarking available projects.","Capital Budgeting Analysis: Due to the lack of available resources (human, money and time), a firm will need to construct an appropriate capital budgeting procedure to assess its available investments. Alternatively, an appropriate capital budgeting procedure allows the firm to spend its money efficiently. And, it is useful to grow the business valuation in the long-run.",C,
19,Which one of the following indicates an accept decision for a project? The company WACC is 13.2%.,Payback = 7.2 years; Required payback = 6 years,MIRR = 10%,ROA = 22.1%,IRR = 14.0%,D,"The correct answer is option
D. IRR = 14.0%
.
If the internal rate of return (IRR) is more than the weighted average cost of capital (WACC), a project can be accepted for investment. In the given question, since the IRR of 14% is more than the WACC of 13.2%, the project can be accepted.
Option A is incorrect because the payback of the project of 7.2 years is more than the required payback of 6 years. Option B is incorrect because the MIRR of 10% is less than the WACC of 13.2% so the project should be rejected per the MIRR decision rule. Option C is incorrect because the ROA value is not used in the decision-making related to the acceptance or rejection of a project.","Capital Budgeting Techniques: The capital budgeting process is used to assess all the available investment alternatives and choose the most profitable ones. Examples of capital budgeting techniques are net present value method, internal rate of return method, payback period method, and accounting rate of return method.",D,
20,Which one of the following is not true about capital budgeting?,It involves identifying projects that will add to the firm's value.,It involves large capital investments.,Capital budgeting decisions can be easily reversed at any time.,It allows the firm's management to analyze potential business opportunities and decide on which ones to undertake.,C,"Statement c. is not true about capital budgeting
; Capital budgeting decisions can be easily reversed at any time.
From the organization's point of view, the main reason behind capital budgeting is to analyze every opportunity available in the market, the returns it generates, the amount that needs to be invested, and for how long. After determining all this information, the investment that will provide maximum profit will finally be selected as the best alternative and funded by the organization. It is a long and complex process that needs a financial professional to analyze the organization's objectives, each alternative return, the investment duration, and finally, decide to fund the best alternative. So, once the decisions are made, they cannot be easily reversed as it can lead to the organization losing a huge sum of money or the resources invested in that project.
Reasons for other options:
a.
One of the main steps of the capital budgeting process is identifying the alternatives for available projects that will add to the firm's value, maximize profits and fulfill the organization's objectives.
b.
The organization performs the capital budgeting process as it will be risking huge sums of money or will finance the resources to fund the investment with the expectation that it will give higher future returns. Hence, organizations invest large capital in investments.
d.
The main objective of capital budgeting is to allow the organization's top management or financial experts to analyze each available project and determine all information regarding capital investments, returns, duration, and risk before deciding on which project to undertake.",Capital Budgeting: The procedure of doing the quantitative analysis of an investment to understand its future returns allowing the business owner to decide on funding the project is defined by capital budgeting.,C,
21,Which one of the following statements is false?,A project destroys value when the NPV is less than 0.,"When the IRR is less than the cost of capital, the NPV is negative.","When the NPV is 0, the IRR is equal to the cost of capital.",A project is rejected when the WACC is less than the IRR.,A,"a. This is a correct statement. A negative net present value indicates a capital loss on an investment. In this case, it results in a decrease in the value of the firm.
b. This is a correct statement. The IRR is a discount rate that causes a zero net present value. If the IRR is less than the cost of capital, the present value of cash flows is less than the initial cash outlays. Thus, the net present value is negative in this case.
c. This is a correct statement. See the explanation in part b.
d. This is an incorrect statement. If the WACC is less than the IRR, it results in a positive net present value. Hence, the project should not be rejected.","Capital Budgeting Analysis: A capital budgeting analysis is a financial assessment of an investment's reliability. Generally, an investment's cash inflows will be estimated and analyzed by the following capital budgeting approaches: net present value (NPV), internal rate of return (IRR), profitability index (PI), payback period, etc.",D,
237,"A capital budgeting project has a net present value of $30,000 and a modified internal rate of return of 15%. The project's required rate of return is 13%. What is the internal rate of return?","greater than $30,000",less than 13%,between 13% and 15%,greater than 15%,D,"The correct answer is option d.
Given information:
The net present value of a project is $30,000.
The modified internal rate of return is 15%.
The required rate of return is 13%.
The IRR is a certain percentage of return used by the firm to propose an investment. Here, the project has a modified internal rate of return (MIRR). It is not the internal rate of return of this project. It is only the modern approach of IRR. The assumption of the IRR is to reinvest the cash flow at the rate of IRR and this issue can be resolved by the reinvestment made by the MIRR.
The required rate of return is a percentage rate related to the cost of the project or investment in the firm. The internal rate of return and the required rate of return is compared in the firm to conclude whether to accept or reject the project based on these rates.
The internal rate of return is always in a percentage format, and should not be in the amount format. Therefore, option a is incorrect. The rate at which a project's NPV equals 0 is characterized as the IRR. In this question, it is already mentioned that the investment has a required rate of 13 % for getting the net present value of $30,000. To get the zero-valued net present value, the IRR has to be greater than the required rate of return of 13%. Thus, the value of IRR should be a percentage which must be greater than 13%. So, the IRR may be greater than 15% or lie between 13% and 15%.
Then modified internal return is easy to calculate and it is always less than the internal rate of return. Here, the modified internal rate of return is 15%. So, the IRR should be greater than MIRR. Additionally, the MIRR lies between the IRR and the required rate of return. Here, the required rate of return is 13%. And the MIRR is 15%. So, it is clear that the MIRR is in the middle position between the IRR and the required rate of return. When the IRR is greater than 15%, it satisfies both the condition. Hence, it is concluded that the IRR is greater than 15%.
For that, there is only one option which is greater than 15%. IRR is the rate that helps to compare the feasibility of the investment made.",Internal Rate of Return: The internal rate of return determines the percentage of return earned from the investment or project. It is a technique used by the firm to take decisions on the project or investment made.,D,
238,A cost that has already been incurred and that should therefore not be considered in an investment decision is called a(n) _____.,pro forma,erosion,sunk cost,opportunity cost,A,"a. Incorrect. Pro forma refers to forecasting a firm's financials.
b. Incorrect. Erosion refers to a slow reduction in any part of a business. For instance, a reduction in the value of an asset is considered an erosion.
c. Correct. Sunk cost refers to a cost that occurs before an investment decision. Alternatively, this cost happens regardless of whatever investment decision.
d. Incorrect. The opportunity cost is included in a capital budgeting analysis, which can be treated as a discount rate for expected cash flows.",Capital Budgeting Analysis: A capital budgeting analysis intends to assess the feasibility of investment. A relevant capital budgeting analysis should consider the firm's opportunity cost and the effect of the time value of money.,C,
239,A project that carries a normal amount of risk and does not affect the risk exposure of the firm should be discounted back at the _____.,coefficient of variation,beta,risk-free rate,weighted average cost of capital,D,"The answer is
d. weighted average cost of capital.
If a project has an average risk, its cash flows can be discounted at the firm's weighted average rate of return since its risk is approximately equal to the firm's risk.
The risk-free rate and beta coefficient are two components to determine the required rate of return on equity in the capital asset pricing model.
The coefficient of variation is a statistical metric to measure the dispersion of data. It is not a discount rate for a capital budgeting method.","Capital Budgeting: Within a firm, a capital budgeting procedure is necessary to elect profitable investments, which is intended to achieve shareholder wealth maximization. Each firm might establish a different guideline for capital budgeting decisions.",D,
240,A situation in which a company can't raise financing for a project under any circumstances is called _____.,simulation analysis,hard rationing,,forecasting risk,A,"a. Incorrect. Simulation analysis is an analytical technique to measure how the outcome of an investment will change in some scenarios.
b. Incorrect. Operating leverage is an accounting metric to measure the relationship between the operating income and revenue.
c. Correct. Hard capital rationing indicates that the firm finds it difficult to raise additional capital from outsiders, including both equity and debt capital. A firm will engage in this situation if there is a downgrade in its creditworthiness.
d. Incorrect. Forecasting risk is intended to study potential risks in the future, which helps the firm to minimize losses on its assets or investments.","Capital Rationing: Within a business, capital rationing is a process to allocate the firm's capital for its available projects. This process aims to increase the total return on the firm's available capital.",B,
241,A situation in which a company can't raise financing for a project under any circumstances is called _____.,simulation analysis,hard rationing,,forecasting risk,A,"a. Incorrect. Simulation analysis is an analytical technique to measure how the outcome of an investment will change in some scenarios.
b. Incorrect. Operating leverage is an accounting metric to measure the relationship between the operating income and revenue.
c. Correct. Hard capital rationing indicates that the firm finds it difficult to raise additional capital from outsiders, including both equity and debt capital. A firm will engage in this situation if there is a downgrade in its creditworthiness.
d. Incorrect. Forecasting risk is intended to study potential risks in the future, which helps the firm to minimize losses on its assets or investments.","Capital Rationing: Within a business, capital rationing is a process to allocate the firm's capital for its available projects. This process aims to increase the total return on the firm's available capital.",B,
242,"At your first full-time job, you are asked the following question.",value at risk,net present value,internal rate of return,payback value,B,"The answer is
b. net present value.
Net present value (NPV) is the difference between the present value of cash flows and the initial cash outlays, which qualifies for this given case. The market price is the sum of all projected cash inflows at the required rate of return for that investment.
The other answers are incorrect.
a. Value at risk is a statistical metric to measure the potential maximum loss on an investment. The variance-covariance method, the Monte Carlo simulation, and the historical method are commonly used for calculating VaR.
c. The internal rate of return (IRR) is the discount rate that causes a net present value of zero.
d. Payback value the length of time to recoup the initial costs of a project.","Capital Budgeting Analysis: Within a firm, new projects should be analyzed by consistent capital budgeting methods, which ensures that the firm can invest in profitable projects. In practice, there are some common capital budgeting methods: net present value (NPV), internal rate of return (IRR), payback period, etc.",B,
243,Cash flows used in net present value and internal rate of return analyses ignore:,future increased sales.,depreciation expense.,future cost savings.,residual value.,B,"The correct option is B.
The following table explores each answer option and explains which answers are right and wrong and why.
A. future increased sales.
All future cash flows are considered in the net present value and internal rate of return analyses, including all sales revenues.
B. depreciation expense.
This is the correct alternative because the depreciation expense does not represent a cash flow, and only cash flows are considered in these two analyses.
C. future cost savings.
Future cost savings are part of the cash flows of a project so they are included on the net present value and internal rate of return analyses
D. residual value.
The residual value also represents a cash inflow, so it is part of the net present value and internal rate of return analyses",Capital Budgeting Techniques: Capital budgeting techniques are a set of tools that companies use to evaluate proposed long-term projects and select the best opportunity. The process should consider the time value of money because of its long-term nature.,B,
244,Each project should be judged against the:,The going interest rate at that point in time.,The cost of new common stock equity.,None of the above.,,C,"The answer is
C. None of the above.
The discount rate for a capital budgeting analysis should be the firm's average cost of capital, which combines the cost of all capital components (equity, and debt). The use of the cost of a single source of capital will not be relevant.","Capital Budgeting: A capital budgeting analysis will intend to determine whether a firm should accept a potential project. Generally, all cash flows will be analyzed to ensure that the project can generate sufficient funds for recovering its initial costs.",C,
245,How does accounting help the capital allocation process attract Investment capital?,"Provides timely, relevant information.",Encourages innovation.,Promotes productivity.,a and b above.,A,"The answer is
option A.
The managerial accounting information that is timely and relevant to the capital allocation process helps to determine whether the investment capital benefits the company if it increases the firm's value through the increase of profit when implemented. The company cannot attain innovation and productivity through accounting. These are the results when the firm manages its employees well.","Managerial Accounting: Managerial accounting focuses on reports for the company's internal users, like the employees, managers in every department, and the partners of the partnership.",A,
246,"Price Industries purchased a piece of milling equipment four years ago for $149,000 and, at the beginning of last year, spent $11,000 to update the equipment with the latest technology. The company no longer uses this equipment in its current operations and has received an offer of $110,000 from a firm that would like to purchase it. Price is debating whether to sell the equipment or to expand its operations so that the equipment can be used. When evaluating the expansion option, what value, if any, should the firm assign to this equipment as an initial cost of the project?",$0,"$21,000","$89,000","$110,000",D,"The answer is
D. $110,000.
Summary:
Historical purchase price = $149,000
Update cost = $11,000
Current market price of the equipment = $110,000
From the perspective of a capital budgeting analysis, the value of the required equipment should reflect the market value of the equipment, which intends to account the opportunity cost. All historical costs should not be included in the initial costs since these costs are not relevant to the current assessment.
Hence, the initial cost of the project, in this case, should be $110,000.","Capital Budgeting Analysis: Capital budgeting analysis refers to an assessment that the firm will practice determining the feasibility of a new project. Generally, most capitula budgeting approaches will evaluate a project according to its expected cash flows, including both cash inflows and initial investments.",D,
247,The accounting rate of return on stockholders' investments is measured by:,return on assets,return on equity,operating income return on investment,realized rate of inflation,B,"The correct answer is option
B. return on equity
.
The return on assets and return on equity ratios are profitability ratios computed by dividing the net income by the average operating assets and average shareholders' equity respectively. Thus, the return on equity ratio represents the accounting rate on return on stockholders' investments.
The operating income return on investment is computed by dividing the net operating income by the total capital investment. The realized rate of inflation denotes the percentage increase in the general price level of goods and services.","Financial Ratios: There are four categories of financial ratios used for the analysis of a firm, namely, solvency ratios, profitability ratios, liquidity ratios, and activity ratios. Examples of profitability ratios are the net profit margin, net operating margin, return on assets, and return on equity.",B,
248,The capital budgeting decision criterion that should be used for mutually exclusive investment projects is:,net present value.,internal rate of return.,profitability index.,payback.,A,"The correct answer is option
a. net present value.
The net present value method is used when one has to select the most profitable project from mutually exclusive projects. It yields the net value added to the wealth of investors if a project is executed. As per the NPV method, the project with the highest and positive NPV is selected from the mutually exclusive projects.
The internal rate of return method, payback period method, and profitability index method are not useful for evaluating mutually exclusive projects but they can be used for assessing one project at a time.","Capital Budgeting: Capital budgeting techniques are used to assess the available investment alternatives so that the available capital can be allocated in the most profitable manner. Examples of these techniques are net present value method, internal rate of return method, and payback period method.",A,
