id,question,A,B,C,D,answer,expanation,hint,guess,reasoning,baseline_guess
11,A properly adjusted Allowance for Uncollectible Accounts will always have a credit balance.,,,,,A,"The statement is A. True.

It is true to say that a properly adjusted Allowance for Uncollectible Accounts will always have a credit balance because Allowance for Uncollectible Accounts is a contra-asset account. Asset accounts have normal debit balances, and therefore contra-asset accounts have normal credit balances.

The Allowance for Uncollectible Accounts account can have an unadjusted debit balance when the total of the actual accounts written off in a period is more than the account's beginning balance, but after the account is adjusted, its ending balance must be a credit.",Allowance for Uncollectible Accounts is a balance sheet account used to record the actual and estimated bad debt expenses when a company uses the allowance method to account for its uncollectible customer accounts.,,,A
12,Assume a business records a journal entry that debits allowance for doubtful accounts and credits bad debt expense. Choose the item that most accurately and completely describes this situation.,The business is recording a write-off under the direct write-off method.,The business is recording a write-off under the allowance method.,The business is recording a recovery under the direct write-off method.,The business is recording a recovery under the allowance method.,D,"The correct option is D. The business is recording a recovery under the allowance method..

The table explores each answer option and explains the right and wrong answers with reasons:

a. The business is recording a write-off under the direct write-off method.        A write-off under the direct write-off method is recorded between Accounts Receivable and Bad Debts. It does not affect Allowance for Doubtful Accounts.
b. The business is recording a write-off under the allowance method.        A write-off under the allowance method is recorded between Accounts Receivable and Allowance for Doubtful Accounts. It does not affect bad debts.
C. The business is recording a recovery under the direct write-off method.        Allowance for Doubtful Accounts is not used under the direct write-off method. Accounts Receivable would be debited, not Allowance for Doubtful Accounts.
E. The business is recording a recovery under the allowance method.        This is the correct alternative because the bad debt expense decreases with this entry. This means that the business most likely overestimated the expense in prior periods and it is now recovering some of the expense.",The allowance method and direct write-off method are two methods used to account for bad debts. The allowance method is prescribed by the accounting standards because it complies with the matching concept in accounting.,,,D
13,Bad debt expense is estimated and recorded in the period corresponding to the sale in which it was incurred because of which one of the following principles?,economic entity principle,going concern principle,historical cost principle,matching principle,D,"The correct option is D. matching principle.

The table explores each answer option and explains the right and wrong answers with reasons:

a. economic entity principle	The economic entity principle states that the financial statements are prepared on the appropriate entity level, meaning that if a group of companies exists, consolidated financial statements are prepared.
b. going concern principle	The going concern principle means that users of the financial statements can assume that the company will continue trading in the foreseeable future.
c. historical cost principle	The historical cost principle states that assets are recognized at their costs not fair values.
d. matching principle	This is the correct alternative because when the bad debt expense is recorded using estimates it means that the expense is recorded in the same period as the related sales revenue, even if the individual uncollectible accounts have not yet been identified.","Loss due to uncollectible accounts are called bad debts and these losses can be recorded using either the direct write-off or the allowance method. When the allowance method is used, the bad debt expense in the income statement is based on estimates.",,,D
14,"Hughes Company has a credit balance of $5,000 in its Allowance for Doubtful Accounts before any adjustments are made at the end of the year. Based on the review and aging of its accounts receivable at the end of the year, Hughes estimates that $60,000 of its receivables is uncollectible. The amount of bad debts expense that should be reported for the year is:","$55,000.00","$65,000.00","$60,000.00","$5,000.00",A,"The correct option is a. $55,000.

The company uses the balance sheet or percentage-or-receivables approach. This means that the bad debt expense will be the amount necessary to adjust the Allowance for Doubtful Accounts account to its desired ending balance of $60,000 credit. The unadjusted balance of the Allowance for Doubtful Accounts account is $5,000 credit, so the adjusting entry must be for $55,000.

The journal entry must be:

Date	Description	Debit	Credit
Dec 31	Bad Debt Expense	$55,000	
Allowance for Doubtful Accounts		$55,000
To adjust the allowance account to its desired balance		
",The allowance method is used to account for bad debt expenses. This approach is necessary in accrual accounting to match the bad debt expense to the related sales revenue and to record it is the period the expense was incurred.,,,A
15,"On December 31, 2003, Nomad Company has a $150,000 debit balance in Accounts Receivable. The Allowance for Uncollectible Accounts has a $2,100 debit balance. Sales total $800,000. From aging its accounts receivables, Nomad estimates that $14,000 of its accounts receivable may be uncollectible.

The Uncollectible Account Expense would be:","$16,000","$16,100","$14,000","$119,000",B,"The correct answer is B. $16,100.



Given information:

Allowance for uncollectible accounts = $2,100
Estimated uncollectible accounts = $14,000
The uncollectible account expense can be computed by adding the debit balance of the allowance for uncollectible and estimated uncollectible accounts.

{eq}\begin{aligned} \text{Uncollectible}\ \text{account expense} &=\text{Allowance}\ \text{for}\ \text{doubtful}\ \text{accounts}+\text{Estimated}\ \text{uncollectible}\ \text{accounts} \\ &=\$2,100+\$14,000 \\ &=\$16,100 \end{aligned} {/eq}

Thus, the uncollectible account expense is $16,100.","The allowance method refers to the method used to manage the uncollectible accounts. In this method, the reserve is created for estimated bad debts. The allowance for the uncollectible account is created by this method.",,,A
16,"Sanders Company has a debit balance of $7,000 in its Allowance for Doubtful Accounts before any adjustments are made. Based on a review of its accounts receivable at the end of the year, Sanders estimates that $70,000 of its receivables are uncollectible. The amount of bad debts expense that should be reported for the year is:","$63,000","$70,000","$77,000","$7,000",C,"The correct answer is c. $77,000.



Given information:

Allowance for doubtful accounts (debit balance) = $7,000
Uncollectible amount = $70,000
The bad debt expense amount that should be reported for the year can be computed by adding the debit balance of the allowance for doubtful debts and uncollectible amounts.

{eq}\begin{aligned} \text{Bad}\ \text{debt}\ \text{expense} &=\text{Allowance}\ \text{for}\ \text{doubtful}\ \text{accounts}+\text{Uncollectible}\ \text{amount} \\ &=\$7,000+\$70,000 \\ &=\$77,000 \end{aligned} {/eq}

Thus, the amount of bad debt expense is $77,000.",Bad debt expense refers to those debtors of the business who do not repay their debts. Such unpaid amounts are shown as bad debt expenses and also reduce the balance of accounts receivable.,,,C
17,The allowance for doubtful accounts is an example of what type of an account?,contra-equity,contra-liability,contra-asset,liability,C,"The correct answer is option c. contra-asset.

An allowance for doubtful account is considered a contra-asset account. A contra-asset account is an account that is paired with and offsets a specific asset account. Its normal balance is opposite to that of the associated asset account.

In the case of an allowance for doubtful accounts, it is paired with accounts receivable. Businesses use this account to record the portion of receivables they expect may not be collectible. It reduces the amount of receivables to reflect their estimated realizable value. It is recorded in the book of accounts as follows.

Date	Account Title	Debit	Credit
xx	Doubtful Accounts	xx	
Allowance for Doubtful Accounts		xx
To record an allowance for doubtful accounts.		
The allowance for doubtful accounts is a credit balance that decreases the total amount of accounts receivable reported on the balance sheet.","Bad debt expense is recorded in the income statement, and the corresponding decrease in receivables. It is reflected in the allowance for doubtful accounts on the balance sheet.",,,C
18,The net realizable value of accounts receivable reduces with a(n):,increase in cash sales,decrease in cash sales,increase in credit sales,collection of an account receivable,D,"The correct answer is D. collection of an account receivable.

Two accounts impact the net realizable value:

Accounts Receivable
Allowance for doubtful accounts
The account listed second is subtracted from the first account to arrive at the net realizable value. As a result, if this account balance decreases, the net realizable value will increase.

If credit sales increase, the Accounts receivable balance will increase, and keeping the allowance constant, the net realizable value will increase.

If the accounts are collected, the Accounts receivable balance will decrease, and keeping the allowance constant, the net realizable value will also decrease.","When a company sells goods on a cash basis, the account to be debited is the cash account. When the company sells goods on a credit basis, the accounts receivable account will be debited as a result of the accrual of earned revenue.",,,D
19,The two accounting methods for bad accounts are the reservation method and the:,Cost method,Method of interest,Method of participation,Direct cancellation method,D,"The two main accounting methods for bad debt are the Allowance Method and the Direct Write-off Method (or the Direct Cancellation Method).

The Allowance Method: This method estimates and records bad debt expense in the same accounting period in which the related sales are made. It establishes an allowance for doubtful accounts, a contra-asset account that reduces the total receivables on the balance sheet to reflect only amounts expected to be paid.
The Direct Write-off Method: This method recognizes bad debts only when an account is considered uncollectible and is written off. It does not match the bad debt expense to the related sales revenue in the same accounting period, which violates the matching principle in accounting. This method is typically used for tax purposes or when the amounts are insignificant.","In accounting, the recognition of bad debts results in an expense in the income statement and reduces the amount of receivables on the balance sheet.",,,D
20,True or False: A company may choose to estimate its uncollectible accounts expense based on a percentage of sales or a percentage of accounts receivable.,True.,False.,,,A,"The statement is True.

The three methods that come under the allowance method of estimating bad debts are listed below:

Percentage of credit sales
Percentage of accounts receivable
Aging of accounts receivable
A company can choose from any of these three approaches to estimate its bad debts. However, if it chooses a method, it should follow the consistency principle until it proves that changing the method will provide a better picture of the financial statements.",Bad debts result from the credit sales made by the business to increase its sales volume. Credit sales require a company to have a strong credit policy and receivables management to reduce bad debt losses to the minimum.,,,A
21,"True or False:

Under the allowance method, the recording of bad debt expense decreases assets and stockholders' equity.",True.,False.,,,A,"The statement is True.

Under the allowance method, bad debt expense is recorded as follows:

Date        Account Title        Debit        Credit
Bad Debt Expense        $XX        
Allowance for Doubtful Accounts                $XX
Expenses decrease the net income which is added to Retained Earnings, an equity account. Hence, the recognition of bad debt expense decreases the stockholders' equity.
Allowance for Doubtful Accounts is a contra-asset account that increases with a credit entry. A contra-asset account reduces the total assets.","As per the conservatism principle, it is advised to account for losses beforehand and recognize profits only when the business realizes them. When a company sells goods on credit, it should prepare itself for the associated bad debts risk.",,,A
22,"True or False:

Under the allowance method, the recording of bad debt expense decreases assets and stockholders' equity.",True.,False.,,,A,"The statement is True.

Under the allowance method, bad debt expense is recorded as follows:

Date        Account Title        Debit        Credit
Bad Debt Expense        $XX        
Allowance for Doubtful Accounts                $XX
Expenses decrease the net income which is added to Retained Earnings, an equity account. Hence, the recognition of bad debt expense decreases the stockholders' equity.
Allowance for Doubtful Accounts is a contra-asset account that increases with a credit entry. A contra-asset account reduces the total assets.","As per the conservatism principle, it is advised to account for losses beforehand and recognize profits only when the business realizes them. When a company sells goods on credit, it should prepare itself for the associated bad debts risk.

",,,A
23,"Under the direct write-off method, an attempt is made to match Bad Debt Expenses to sales revenues in the same accounting period.",True.,False.,,,B,"The statement is b. False. It is false to say that, under the direct write-off method, an attempt is made to match Bad Debt Expenses to sales revenues in the same accounting period because, under the direct write-off method, the bad debt expense is only recorded when a specific customer account is identified as uncollectible and is written off. No attempt is therefore made to match the bad debt expense with the related sales revenue.

It would be true to say that, under the allowance method, an attempt is made to match bad debt expense to sales revenues in the same accounting period because, under the allowance method, estimates are used to calculate the bad debt expense incurred in each period, regardless of whether individual accounts have been identified as being uncollectible or not.",The bad debt expense is an operating expense that is incurred by most companies making sales to customers on credit. It is an expense recorded using accounting entries because it is not an expense that is ever paid in cash.,,,B
24,"When the estimate based on analysis of receivables is used, income is reduced when a specific receivable is written off.",True.,False.,,,B,"The statement is b. False. It is false to say that, when the estimate based on analysis of receivables is used, income is reduced when a specific receivable is written off because net income is only reduced when a specific receivable is written off under the direct write-off method.

Under both approaches of the allowance method (the percentage-of-sales method or the analysis-of-receivables method), the bad debt expense increases when the estimated bad debt for the period is recorded, and when a specific receivable is written off, it only affects Accounts Receivable and Allowance for Doubtful Accounts.

",The allowance method is the preferred method to account for bad debt expenses. This method can be employed using either the percentage-of-sales or the analysis-of-receivables approach to estimate the bad debt expense.,,,B
25,Which of the following accounts reported on a balance sheet is merely an estimate?,Buildings,Equipment,Accounts payable,Allowance for doubtful accounts,D,"The correct answer is d. Allowance for doubtful accounts.

Answer Options        Explanation
a. Buildings        Buildings are fixed assets reported at their historical cost on the balance sheet.
b. Equipment        Equipment is a fixed asset reported at its historical cost on the balance sheet.
c. Accounts payable        Accounts payable represents the supplier's balance that must be paid within the next twelve months resulting from credit purchases.
d. Allowance for doubtful accounts        Allowance account is a mere estimate of the amounts that will be uncollectible from the customers during the period.","Estimates are amounts that are not accurate and are based on assumptions and past experiences. Estimated amounts on the balance sheet represent the conservatism principle, which suggests accounting for losses even if their occurrence is doubtful and not confirmed.",,,D
26,"During the current year, Manipulator Corporation reports a beginning balance in the allowance account of {eq}\$200,000 {/eq} and reports a bad debt expense on the income statement of {eq}\$64,000 {/eq}. The ending balance in the allowance account is {eq}\$84,000 {/eq}. Calculate Manipulator Corporation's charge-offs for the year.","$52,000","$264,000","$180,000","$220,000",C,"Based on the above problem, the beginning balance of the allowance account is $200,000, and an ending balance is worth $84,000. It was also stated that the amount of bad debt expense during the said period is equivalent to $64,000.

To calculate Manipulator Corporation's charge-offs for the year, we can use the following formula:

Amount Written-Off = Beginning Allowance Balance + Bad Debt Expense - Ending Allowance Balance
Amount Written-Off = $200,000 + $64,000 - $84,000
Amount Written-Off = $264,000 - $84,000
Amount Written-Off = $180,000
Therefore, Manipulator Corporation's written-off receivables for the year amount to $180,000. The correct answer is option c. $180,000.","In accounting, the bad debt allowance is a credit account that offsets accounts receivable, providing a more accurate balance sheet value of collectible funds.",,,D
27,"Gross Accounts Receivable is $15,000. Allowance for Doubtful Accounts has a credit balance of $300. Net credit sales for the year are $140,000. In the past, 1% of credit sales had proved uncollectible.

What would be the adjusted balance of the Allowance account under the income statement approach?","$1,100","$2,400","$1,700","$1,400",C,"The adjusted balance of the Allowance account under the income statement approach equals c. $1,700.

The income statement approach ignores the unadjusted balance in the Allowance account in estimating the bad debts expense. The bad debts expense under this approach is calculated in the following manner:

Bad debts expense = Credit sales × Bad debts percentage
Bad debts expense = $140,000 × 1%
Bad debts expense = $1,400
The adjusted balance of the Allowance account will be computed using the following formula:

Adjusted Allowance account balance = Bad debts expense + Unadjusted credit balance in the Allowance account
Adjusted Allowance account balance = $1,400 + $300
Adjusted Allowance account balance = $1,700",The allowance method uses the income statement's net credit sales to estimate the bad debts expense for the period. The estimate is based on a percentage of credit sales the company believes will be uncollectible.,,,D
28,Harry's Hardware estimates that approximately $1.75 out of every $100 of credit sales proves to be uncollectible. Harry calculates Bad Debts Expenses using the:,direct write-off method.,balance sheet approach.,income statement approach.,aging the Accounts Receivable approach.,C,"The correct answer is c. income statement approach.

A percentage of credit sales to determine the bad debts expense is called the income statement approach because credit sales are reported on this respective statement. Harry's Hardware estimates that approximately $1.75 out of every $100 will be uncollectible, which indicates the estimated percentage to be 1.75%.

Other options are incorrect for the following reasons:

Options	Reasoning
a. direct write-off method.	The method doesn't estimate the bad debts but records them when incurred.
b. balance sheet approach.	Accounts receivable are the basis for estimating bad debts under this approach.
d. aging the Accounts Receivable approach.	This method depends on the timing of customer payments rather than on credit sales and receivables.",A contra-asset account intends to reduce the gross value of the asset account recorded in the first place. Fixed assets need reduction through depreciation due to continuous wear and tear. Accounts receivable needs reduction due to customer defaults.,,,C
29,"Jody Sport and Hobby's Allowance for Doubtful Accounts had an unadjusted credit balance of $600. The manager estimates that $700 of the Accounts Receivable is uncollectible. Using the balance sheet approach, the year-end adjusting entry for Bad Debts Expenses:",includes a debit to the Bad Debts Expense account for $700.,includes a debit to the Bad Debt Expense account for $100.,"includes credit to the Bad Debts Expense account for $1,300.",includes credit to the Bad Debts Expense account for $100.,B,"The correct answer is b. includes a debit to the Bad Debt Expense account for $100.

The balance sheet approach considers the unadjusted balance in the Allowance account when estimating the bad debts expense. The inputs needed to estimate the bad debts expense are given below:

Estimated amount of receivables uncollectible = $700
Unadjusted credit balance in the Allowance account = $600
Upon a logical arrangement of these inputs, we have the following result:

Bad Debts Expense = Estimated amount of receivables uncollectible - Unadjusted credit balance in the Allowance account
Bad Debts Expense = $700 - $600
Bad Debts Expense = $100
The entry to record the estimated bad debts expense is made below:

Date	Account Title	Debit	Credit
Bad Debts Expense	$100	
Allowance for Doubtful Accounts		$100
The entry recognizes the losses for the period and increases the contra-asset balance.

","The balance sheet approach, also known as the percentage of receivables method, estimates the bad debt losses that a company should recognize in the books based on past statistics. Accounts receivable are used as a base to estimate bad debts.",,,B
30,Joe's Auto Repair estimates that approximately 3% of net credit sales are uncollectible. Joe calculates Bad Debts Expenses using the:,gross method.,balance sheet method.,direct write-off method.,income statement method.,D,"The correct answer is d. income statement method.

Joe's Auto Repair uses credit sales to estimate bad debts. Credit sales can be found on the income statement alone. Therefore, we can conclude that Joe's Auto Repair uses the income statement approach to estimate the uncollectible amount. The approach excludes the current balance in the allowance account while calculating the uncollectible amounts.

Other options are incorrect for the following reasons:

Options	Reasoning
a. gross method.	There is no such method used for estimating bad debts.
b. balance sheet method.	The balance sheet method uses the accounts receivable for bad debts estimation.
c. direct write-off method.	Direct write-off method records bad debts when incurred.",The sources used to determine bad debts expense under the allowance method include net credit sales and accounts receivable. These two items are the basis of why bad debts can incur in the first place.,,,D
31,"Myra's balance of Accounts Receivable is $4,000. The balance of the Allowance account is $600 credit. Myra writes off a $150 uncollectible account. The effect on the net realizable value of the receivables is that it:",reduces net realizable value.,is unchanged.,increases net realizable value.,is undeterminable.,B,"The correct option is b. is unchanged.

The net realizable value of accounts receivable is the Accounts Receivable asset minus the Allowance for Doubtful Accounts contra-asset.
In the allowance method, when an uncollectible account is written off, the Accounts Receivable is credited and Allowance for Doubtful Accounts is debited. This means that the net reliable value of accounts receivable before and after the write-off is:
Accounts Receivable	Allowance for Doubtful Accounts	Net accounts receivable
Before the write off	$4,000 debit	$600 credit	$3,400 debit
Write-off	$150 credit	$150 debit	$0
After write-off	$3,850 debit	$450 credit	$3,400","Allowance for Doubtful Accounts is a contra-asset account. This means that, although it has a normal credit balance, it is not included in the liability section of the balance sheet. Instead, its balance reduces the carrying amount of the accounts receivable current asset.",,,B
32,"On December 31, Gill Co. reported accounts receivable of $228,000 and an allowance for uncollectible accounts of $1,300 (debit) before any adjustments. An analysis of accounts receivable suggests that the allowance for uncollectible accounts should be 2% of accounts receivable. The amount of the adjustment for uncollectible accounts would be","$1,300","$4,540","$5,860","$3,260",C,"To calculate the adjustment for uncollectible accounts, we need to determine the desired balance for the allowance based on the accounts receivable analysis.

Given the information provided:

Accounts Receivable: $228,000
Allowance for Uncollectible Accounts (before adjustments): $1,300 (debit)
Desired percentage for the allowance: 2% of accounts receivable
Now, let us calculate the adjustment for uncollectible accounts:

Desired balance in the allowance for uncollectible accounts = Accounts Receivable * Desired percentage
Desired balance in the allowance for uncollectible accounts = $228,000 * 2%
Desired balance in the allowance for uncollectible accounts = $228,000 * 0.02
Desired balance in the allowance for uncollectible accounts = $4,560
It means the required allowance for doubtful accounts at year-end equals $4,560. The debit balance of allowance for doubtful accounts at the beginning of the year must be added to the required allowance to get the total adjustments that must be recognized during the year.

Total Adjustments = Required Allowance + Debit Balance of Allowance
Total Adjustments = $4,560 + $1,300
Total Adjustments = $5,860
It must be recorded in the book of accounts as follows.

Date	Account Title	Debit	Credit
xx	Bad Debt Expense	$5,860	
Allowance for Bad Debts		$5,860
To record adjustments for doubtful accounts.		
Therefore, the correct answer is option C) $5,860.","In accounting, bad debts are considered an expense because they reflect the financial loss incurred by a company due to uncollectible accounts receivable.",,,C
33,"The account, ""Allowance for Uncollectible Accounts"", is a contra-asset account.",TRUE,FALSE,,,A,"The statement is a) True.

The Allowance for Uncollectible Accounts account has a contra-asset balance that reduces the balance in the accounts receivable to their net realizable value.

Amount
Accounts Receivable	$XX
Less: Allowance for Uncollectible Accounts	$(XX)
Net realizable value of receivables	$XX
A contra account intends to reduce the balance of the main account involved.

","One of the strategies that a company uses to increase its current sales level is by encouraging credit sales. Credit sales allow some time for the customers to make payments, which involves risks of incurring bad debt losses.",,,A
