id,question,A,B,C,D,answer,explanation,hint,guess,reasoning,baseline_guess
11,The investor's required rate of return will equal the firm's cost of capital if corporate transaction costs are taken into account.,True,False,,,B,"The statement 'The investor's required rate of return will equal the firm's cost of capital if corporate transaction costs are taken into account' is
false
as the corporate transaction costs may impact the cost of capital by raising the entire cost of financing for the firm. The investor's required rate of return will be determined by their evaluation of the risks and returns involved with the investment. Thus, the required return rate is not comparable to the firm's cost of capital.",Cost of Capital: The cost of capital is used as a standard for measuring the profitability of investments and whether they are worthwhile to pursue. It depends on the company's debt instrument's interest rate.,,,B
12,The minimum acceptable rate of return for a project is the required rate of return.,True,False,,,A,"The correct answer is option
a. True
.
The minimum acceptable rate of return for a project represents the rate of return required by the investors. It is used as a discount rate to come up with the net present value of a project.
The income amount earned on a project in excess of the minimum required return is called the residual income.","Minimum Rate of Return: In accounting and finance, the minimum acceptable rate of return is used to decide whether a project should be accepted or rejected. If the calculated rate of return on a project is more than the minimum acceptable rate of return, it is considered investible.",,,A
13,"The stock of Delta Electrical, Inc., has a beta of 0.98. The market risk premium is 9 percent and the risk-free rate is 2.4 percent. What is the expected return on this stock?",8.91 percentB) 9.43 percentC) 10.67 percentD) 11.22 percentE) 13.22 percent,,,,A,"We are given the following information:
Beta, β = 0.98
Market risk premium = 9%
Risk-free rate = 2.4%
We can estimate the expected return on this stock with the following formula:
{eq}\text{Expected return} = \displaystyle \text{Risk-free rate} + \text{Market risk premium} \times \beta \\ \text{Expected return} = \displaystyle 2.4\% + 9\%\times 0.98 \\ \text{Expected return} = 11.22\% {/eq}
The answer is
(D) 11.22%
.",Required Rate Of Return: The required rate of return on a stock can be estimated from the market perspective by using the Capital Asset Pricing Model (CAPM). The required rate of return is directly affected by the systematic risk if its beta coefficient is positive.,,,C
14,Which one of the following statements is true?,The yield to maturity can be used as the cost of debt when bonds are traded in the market.,After cost of debt is greater than the before tax cost of debt due to the tax advantage.,Cost of external equity is less than the cost of internal equity because of issuance costs.,Component costs of capital represent historical costs rather than marginal costs.,A,"a. Correct. From the firm's perspective, the bond's yield to maturity is also the firm's cost of debt.
b. Incorrect. Due to an interest tax shield, the after-tax cost of debt is always less than the before-tax cost of debt.
c. Incorrect. The cost of external equity is more than the cost of internal equity due to the flotation costs.
d. Incorrect. The component costs of capital reflect its current financing cost in the long run, which are not historical costs. In addition, each component cost of capital also represents the additional financing cost to acquire more capital in a firm. Hence, these component costs of capital can be treated as marginal costs.","Average Cost Of Capital: The firm's average cost of capital is an important measure of the financing cost to fund the firm's total assets. It includes the cost of debt, cost of equity and cost of preferred stocks.",,,A
98,A decrease in market-wide interest rates will result in a/an:,increase in the cost of equity capital.,decrease in the cost of equity capital.,increase in the cost of debt.,decrease in the demand for fixed-rate bond investments.,A,"The correct option is
b
.
A positive or negative change in market interest rate will cause a positive or negative impact and result in change in the cost of equity as there exist a direct relation between interest rate and cost of equity. Thus, decrease in market wide interest rate will cause decrease in the cost of equity capital.
The explanation for incorrect options:
Option a: Decrease in market wide interest rate will cause increase in the cost of equity capital under the condition if there will be an inverse relation but there exists a direct relation between interest rate and cost of equity capital.
Option c: Increase in cost of debt is not possible because both equity and debt financing have costs, and both are affected by interest rates in a similar manner.
Option d: Bond prices and market interest rates generally move in opposite directions, which is a fundamental principle of bond investing. Fixed-rate bond prices fall when market interest rates rise. This is referred to as interest rate risk.",Cost of equity capital The cost of equity is the return required by a company to determine whether an investment meets capital return prerequisites. It is frequently used as a capital budgeting criterion for the required rate of return by companies.,,,B
99,"Doris Corporation's stock has a market price of {eq}\$20.00

{/eq} and pays a constant dividend of {eq}\$2.50

{/eq}. What is the required rate of return on its stock?","{eq}13.0\%

{/eq}.","{eq}12.5\%

{/eq}.","{eq}12.0\%

{/eq}.","{eq}11.5\%

{/eq}.",B,"The answer is
B. 12.5%
Summary:
Price = $20
Constant dividend = $2.50
Determine the required rate of return on the stock:
{eq}Required\:rate\:of\:return = \displaystyle \frac{Constant\:Dividend}{Price} {/eq}
{eq}Required\:rate\:of\:return = \displaystyle \frac{\$2.50}{\$20} {/eq}
{eq}Required\:rate\:of\:return = 0.125 \ or \ 12.50\% {/eq}
The required rate of return on this stock is 12.50%.","Dividend: A dividend is a capital distribution to the firm's shareholders. It reduces the total equity capital held in the firm. In practice, investors can estimate the intrinsic value of a stock by discounting all expected dividends.",,,B
100,"Holding all other things equal, as the relative amount of debt in the capital structure of the firm increases, the cost of equity capital will _____.",increase,decrease,remain unchanged; there is no relationship between the two,"initially rise rapidly, then increase slowly",A,"The answer is
a. increase.
According to the M&M proposition II, the cost of levered equity will increase if the capital structure has an increase in debt capital, holding all other things equal.
M&M II:
{eq}\displaystyle r_{levered} = r_{unlevered} + \frac{Debt}{Equity} \times (r_{unlevered} - r_{debt}) {/eq}","Cost Of Equity: The firm's cost of equity is its financing cost on owners' capital. From the perspective of the business owners, it is the required rate of return on capital invested in the operations. Note that an increase in the cost of equity will increase the firm's average cost of capital.",,,A
101,"If you started out with $100,000 in total capital with all equity and then incurred $40,000 of debt, your new capital structure would be:","$50,000 Debt, $50,000 Equity","$60,000 Debt, $40,000 Equity","$40,000 Debt, $60,000 Equity","$40,000 Debt, $40,000 Equity",C,"The correct answer is option
c. $40,000 Debt, $60,000 Equity
.
In the given scenario, the initial value of equity is $100,000, out of which, $40,000 was replaced with debt later. Hence, the
revised equity is $60,000
(i.e. $100,000 - $40,000) and
debt is $40,000
.","Capital Structure: The capital structure of a firm represents the proportion of various sources of funds used to finance the assets on a given date. These sources could be debt, common equity, and preferred equity.",,,C
102,"In replacement analysis, the PW method is the best method to solve a problem.",True,False,,,B,"The statement is
False
.
The best approach to solving a replacement analysis problem depends on the nature of the problem itself as well as the objectives, constraints, and available resources. The Payback period (PW) method is a straightforward approach that can be used for preliminary project screening, but it has a few drawbacks and ignores the value of time. For a more in-depth analysis of investment projects, other techniques like  NPV,  IRR, and the Benefit-Cost Ratio (BCR) may be more suitable.",Net Present Value: An investment's value can be calculated by using a financial statistic called net present value (NPV). It is the present value of all of the cash flows that are anticipated in the future from an investment.,,,B
103,One way to think about the required rate of return is:,as the highest return a risk-averse investor wants from an investment.,as the risk-free rate of return plus a risk premium.,as the historical rate of return plus a risk premium.,as a comparison between the expected and historical rates of return.,A,"A. Incorrect. The required rate of return should be the minimum acceptable rate of return on investment.
B. Correct. By giving up a risk-free asset, and taking another investment, an investor will require an additional return to offset the risk premium associated with the investment. Hence, the required rate of return can be determined by adding the risk premium on top of the risk-free rate.
C. Incorrect. The required rate of return is an expected rate of return, in which the use of the historical rate of return is not relevant.
D. Incorrect. See part C.","Required Rate Of Return: A required rate of return on an investment considers all potential returns in a relationship with the initial cash outlays. For instance, a rate of return on a stock should include capital gain yield and dividend gain yield.",,,B
104,The pre-tax cost of capital is higher than the after-tax cost of capital because:,interest expense is deductible for tax purposes.,principal payments on debt are deductible for tax purposes.,the cost of capital is a deductible expense for tax purposes.,dividend payments to stockholders are deductible for tax purposes.,A,"The answer is
a. interest expense is deductible for tax purposes.
After-tax Cost Of Capital = Weighted Cost of equity + Weighted Pretax Cost Of Debt x (1 - Tax rate)
Since interest expenses are deducted from the firm's earnings, it will reduce the total amount of income tax liability. Alternatively, it offers an interest tax shield, which reduces the after-tax cost of debt. Consequently, it also decreases the after-tax cost of capital.","After-Tax Cost Of Capital: The after-tax cost of capital represents the effective cost of capital in a firm. In practice, capital budgeting approaches will usually obtain the after-tax cost of capital as the discount rate for cash inflows.",,,A
105,Usually new companies have a lower cost of capital.,True,False,,,B,"This statement is False
The capital cost is the minimum return a company calculates to seek capital-budgeted projects. An investor uses this as an evaluation tool to know the potential return on the investment. Generally, a company uses capital structure to finance the business expansion.
The cost of capital is calculated by weighted average cost (WACC) derived from all the Capital sources. A new company's investment is always a crucial decision for new projects. It is essential to generate a return that increases the capital cost for the company to finance the project.
If the cost of capital is lower, the project will not generate a return for the investors. Hence the new entities have a higher cost of capital, not lower.","Capital structure: Capital structure is a combined mixture of debt and equity, increasing the company's value. Capital structure is optimal when the marginal cost of debt and equity gets equal. It is different for every industry.",,,B
106,"What is the cost of equity on a new issue of stock if the firm pays a $2 dividend with an expected growth rate of 7%? The current stock price is $40, but flotation costs on new issues are 10%.",10.4%,12.3%,12.9%,15.3%,C,"The answer is
c. 12.9%.
Summary:
Current dividend (D0) = $2
Growth rate (g) = 7%
Offer price = $40
Flotation cost = 10%
Determine the cost of equity:
{eq}Cost\:of\:equity = \displaystyle \frac{D0\times (1 + g)}{Offer\:price\times (1 - Flotation)} + Growth rate {/eq}
{eq}Cost\:of\:equity = \displaystyle \frac{\$2\times (1 + 7\%)}{\$40\times (1 - 10\%)} + 7\% {/eq}
{eq}Cost\:of\:equity = 12.9\% {/eq}",Cost Of Equity: The cost of equity is a component to determine the firm's average cost of capital. Note that the cost of equity is not affected by the corporate income tax since dividends are not tax-deductible.,,,C
107,Which of the following statements concerning the required rate of return on stocks is true?,"If risk is reduced, the required return will decrease because more investors are risk-averse.",The required return on preferred stock is generally higher than the required return on common stock.,"The higher an investor's required rate of return, the higher the value of the stock.","The higher the risk, the higher the required return, other things being equal.",D,"The correct answer option is
D) The higher the risk, the higher the required return, other things being equal
.
The required rate of return (RRR) refers to the minimum gains an investor would expect after investing in a particular security considering the risks and uncertainty associated with the security. If a stock is associated with high risk, the investor would invest in the same only with the intention of gaining high returns. So, for an investor to invest in a high-risk stock, it is a requirement that the stock is expected to provide higher returns, assuming that other things remain constant. So, with respect to the required rate of return on stocks, other things being the same, the higher the risk, the higher should be the required return.
The evaluation of the incorrect options is as follows:
A) As more investors become risk-averse, the required return will also drop if the risk is lowered: This statement is false because being risk-averse means being reluctant to take risks. This situation takes place with high-risk securities. Though the low risk is associated with low return, the risk-averse behavior of the investors is not the reason for the same.
B) Preferential stock often has a greater required return than common stock does. This statement is false because preference share has low risk, as compared to common stock. So, the RRR on preferred stock is generally lower as compared to the RRR on common stock.
C) The value of the stock increases as the investor's required rate of return rises: The value of the stocks is the result of the demand and supply forces in the market. It is not related to the investor's required rate of return or the rise in the same.",Rate of Return The rate of return refers to the percentage change in the price of the asset with respect to its original value or investment amount. It can be a positive or negative change. The rate of return on security depicts the profit earned or loss faced by investing in a security for a specified timeframe. It is calculated as a percentage change over the original or the investment cost of the security.,,,D
176,"A business is considering a cash outlay of $300,000 for the purchase of land, which it could lease for $36,000 per year. If alternative investments are available that yield an 18% return, the opportunity cost of the purchase of the land is:","$36,000","$72,000","$18,000","$54,000",C,"The return amount that could be generated on the cash outlay is given by:
{eq}\begin{align*}

&= \text{Cash outlay * return percentage} \\[0.3 cm]

&= $300,000 * 18\% \\[0.3 cm]

&= $54,000

\end{align*}

{/eq}
The opportunity cost is given by:
{eq}\begin{align*}

&= \text{Return amount earned on the cash outlay - lease amount if the land is purchased} \\[0.3 cm]

&= $54,000 - $36,000 \\[0.3 cm]

&= $18,000

\end{align*}

{/eq}
The correct answer is option
C. $18,000
.",Opportunity Cost: The opportunity cost for a chosen alternative is the incremental net gain associated with the best alternative forsaken. The economic cost for a decision is the sum of explicit cost and opportunity or implicit cost.,,,B
203,A proposed investment must earn at least as much as the _____ if it is to be deemed acceptable.,company cost of capital,risk-free rate,market risk premium,project cost of capital,D,"The answer is
D. Project cost of capital
A. Incorrect. A new investment should consider the firm's cost of capital as its required minimum rate of return if the firm and the new investment have the same degree of risk.
B. Incorrect. Only government securities should expect to generate a rate of return at the risk-free rate. Other investments will involve other risk premium, meaning that the expected return should be higher than the risk-free rate.
C. Incorrect. A particular investment will have a significant degree of risk, which is different from the entire market. Hence, the market risk premium is not relevant to be the investment's minimum rate of return.
D. Correct. The sources of capital for a particular project might be different from the entire firm. And, there might be an adjustment to the project's cost of capital if it has a higher risk.","Cost Of Capital: The term of cost of capital refers to the financing cost to raise available capital for the entire firm or a particular project. In practice, a firm might raise its capital by selling stocks or bonds to external investors. In addition, the firm could borrow money from commercial banks as well.",,,A
204,"Aaron Company is considering spending $100,000 for a new grinding machine. This amount could be invested to yield a 7% return. What is the opportunity cost?","$93,000","$7,000","$107,000","$100,000",A,"Correct option: Option A
Computation of Economic profit:
Amount invested
$100,000
Multiplied by; Percentage of return
7%
Amount of economic profit
$7,000
Computation of opportunity cost:
Invested amount
$`100,000
Less: Economic profit (refer part A)
$ (7,000)
Amount of opportunity cost
$93,000",Opportunity cost: The amount of gain that can earn from the alternative foregone is called opportunity cost. It represents a variation between the amount of investment and the profit earned from that particular investment. It helps in selecting the most profitable option concerning the investment decision.,,,B
205,"According to pecking-order theory, managers will often choose to finance with:","new equity rather than debt, due to bankruptcy costs.","debt rather than new equity, to avoid reduced share price.","debt rather than retained earnings, to lower the WACC.","new equity rather than debt, to strengthen EPS.",B,"The correct answer is option
B. debt rather than new equity, to avoid reduced share price.
In corporate finance, peking-order theory suggests that the following order must be followed by a company when funding its business operation.
Priority #1 - financing through internal funds;
Priority #2 - financing through debt;
Priority #3 - financing through equity.
So, the correct answer is option
B. debt rather than new equity, to avoid reduced share price.","Capital Structure: In corporate finance, the capital structure refers to the mixed capital financing to support business operations. It includes equity, reserves, debt, surplus, etc.",,,B
206,"According to the 2nd M&M proposition, cost of equity does not depend upon which of the following?",The required return of firm's assets.,The firm's cost of debt.,The firm's stockholders.,The firm's debt-equity ratio.,A,"Option c
is the right answer.
Stockholders are a group of people who deal with the company in a direct or indirect capacity. The firm's stockholders are immaterial to the cost of equity (COE). The COE depends on the firm's return on assets, the degree of leverage used, and the cost of debt.
Reasons for incorrect options
Option a:
The required return on a firm's assets affects the COE. With higher required returns, COE should deliver higher returns. Hence, option a is wrong.
Option b:
With a surge in debt, there is an interest burden that the company has to take. In the event of default, the downside of debt holders is limited, whereas equity holders have an unlimited downside, which prompts them to increase COE. Hence, option b is wrong.
Option d:
A higher debt-to-equity ratio will lead to a higher COE. Hence, option d is wrong.","Source of Capital: Traditional sources of capital for any business were previously confined to equity and debt. Among them, equity is the most expensive, whereas debt is considered the cheapest form of capital.",,,C
207,Flotation costs are the highest on,mutual funds and bonds.,preferred stock.,bonds.,common stock.,D,"Correct Answer: Option D) common stock.
Explanation:
Flotation costs incur when a firm issues new security to raise capital. The cost of new equity is always higher than retained earnings because of the flotation costs. It incurs even when issuing preferred stock and bonds, but it is higher in common stock than the other two.","Sources of Capital: A corporate form of organization must have the capital for business expansion or investment in fixed assets. The sources of capital include common stock, preferred stock, bonds, debentures, etc.",,,D
208,Flotation costs are the highest on,mutual funds and bonds.,preferred stock.,bonds.,common stock.,D,"Correct Answer: Option D) common stock.
Explanation:
Flotation costs incur when a firm issues new security to raise capital. The cost of new equity is always higher than retained earnings because of the flotation costs. It incurs even when issuing preferred stock and bonds, but it is higher in common stock than the other two.","Sources of Capital: A corporate form of organization must have the capital for business expansion or investment in fixed assets. The sources of capital include common stock, preferred stock, bonds, debentures, etc.",,,D
209,The overall cost of capital is the:,Minimum rate a firm must earn on high risk projects.,Average rate of return a firm earns on its assets.,Rate of return on assets that covers the costs associated with the funds employed.,Cost of the firm's equity capital at which the market value of the firm will remain unchanged.,C,"The correct answer is option
c. Rate of return on assets that covers the costs associated with the funds employed.
The overall cost of capital for a firm is ascertained by taking into account the sources of funds, their weight in the overall capital, and their respective costs. The sources of funds are categorized into shareholders' equity and debt at a very high level. The rate of return generated on the assets of the firm that covers the total cost associated with all the funds may be called the overall cost of capital. It is also the minimum rate of return required by all the investors of a firm.","Cost of Capital: In the context of finance, the net present value of a project is the net value that would be added to the investors' wealth if a given project is undertaken. It is inversely related to the overall cost of capital or funds deployed for the project.",,,C
210,The required rate of return used to calculate an investment's net present value is related to the firm's _____.,contribution margin,cost of capital,total assets,price/earnings ratio,B,"Correct Answer:
Option b. cost of capital
.
Explanation:
a. contribution margin
It represents the difference between the sales and variable costs and is unrelated to net present value.
b.
cost of capital
The cost of capital is the required return that a company uses to discount the present value of the cash flows generated from the investments.
c. total assets
Total assets are the company's economic resources unrelated to net present value.
d. price/earnings ratio
It indicates the number of times the market price exceeds the earnings unrelated to net present value.","Capital Budgeting: The capital budgeting process helps determine whether any investment alternative the company is evaluating is worth the capital expenditure. The techniques include net present value, profitability index, and others.",,,B
211,What is it called when the federal government's revenue equals its expenses?,A lowered budget,A balanced budget,A fiscally balanced budget,Fiscal net,B,"It is called a
b) balanced budget
when the federal government's revenue equals its expenses.
A balanced budget occurs when tax revenues are equal to government expenditures and the government does not run a deficit. A balanced budget may not mean that the national debt is decreased, only that it is not increased due to the current years' spending and taxation.","Federal Budget: The president proposes a budget to Congress each fiscal year and the legislature is tasked with developing and passing a budget for the federal government each year. In the event that the budget is not completed before the fiscal year, Congress can pass a continuing resolution that projects the past year's budget out for a set period of time.",,,B
212,What is it called when the federal government's revenue equals its expenses?,A lowered budget,A balanced budget,A fiscally balanced budget,Fiscal net,B,"It is called a
b) balanced budget
when the federal government's revenue equals its expenses.
A balanced budget occurs when tax revenues are equal to government expenditures and the government does not run a deficit. A balanced budget may not mean that the national debt is decreased, only that it is not increased due to the current years' spending and taxation.","Federal Budget: The president proposes a budget to Congress each fiscal year and the legislature is tasked with developing and passing a budget for the federal government each year. In the event that the budget is not completed before the fiscal year, Congress can pass a continuing resolution that projects the past year's budget out for a set period of time.",,,B
213,"What is the Economic Value Added (EVA) for a firm that is entirely equity financed with $1 million in capital, $300,000 in after-tax operating income, and a 20% cost of capital?","$140,000","$500,000","$220,000","$100,000",D,"The correct option is $100,000 (D).
The calculation for economic value added is shown below.
Economic value added = After-tax operating income - (Capital * Cost of capital)
Economic value added = $300,000 - ($1,000,000 * 20%)
Economic value added = $300,000 - ($1,000,000 * 0.20)
Economic value added = $300,000 - $200,000
Economic value added = $100,000",Cost of Capital: The total amount of money paid by a company to the equity shareholders as well as debt shareholders is called as cost of capital. This value is useful for determining the minimum required rate of return from the Investments.,,,A
214,"When new capital must be raised for an expansion project, flotation costs should:",be deducted from the operating cash flows.,increase the initial investment outlay.,be ignored.,,B,"The answer is
b. increase the initial investment outlay.
The flotation costs occur for a single time during the lifetime of the project. Thus, the analyst should include it in the initial cash outlays of the project. Flotation costs should not be spread out over the lifetime of the project as it is an one-time cost, which is not a recovery cost as depreciation.","Capital: Within a firm, its total capital refers to the financial sources to fund the firm's assets. In practice, there are following sources of capital: equity capital, and debt capital. Each type of capital will have both advantages and disadvantages, which affects the firm's average cost of capital.",,,B
215,Which of the following is true of debt securities?,Debt securities represent ownership interests of the investors.,Debt securities typically pay interest for a fixed period.,Debt securities entitle the holder to receipt of a share of profit in the form of dividends.,Debt securities include preferred stocks.,B,"The correct answer is option B.
Option B: The debt securities give the investor the right to receive fixed interest payments together with the principal payments at a prespecified date for a defined period of time.
Option A is incorrect because debt securities are a type of loan that does not indicate the ownership interests of investors. The investors are not the possessor of the firm; they are the lenders of capital to the firm.
Option C: The debt holders are paid a fixed interest payment. They are not paid dividends from the profit generated by the firm, as debt holders do not have the right to a share of the profits of the firm. Therefore, option C gets eliminated.
Option D is not the right option because debt securities consist of bonds. Debt securities and preferred stock are two different types of financial instruments.",Debt Securities Financial instruments that guarantee a regular flow of interest payments to investors are described as debt securities. The lender of debt is the entity that has the right to receive fixed principal and interest payments at pre-decided dates from the borrower.,,,B
