id,question,A,B,C,D,answer,explanation,hint,guess,reasoning
14,Which of the following is not a current liability?,Accounts payable.,Sales tax payable.,Unearned revenues.,Bonds.,D,"The correct answer is
d. Bonds
Let's first understand the definition of a current liability. Any liability that is due within one year is a current liability and the one that is due post one year is a long-term liability.
Answer Options
Explanation
a. Accounts payable.
Accounts payable indicate supplies that should be settled within one year.
b. Sales tax payable.
The business should pay the sales tax due on behalf of the customers on the respective due date, usually less than a year.
c. Unearned revenues.
Unearned revenue is a current liability resulting from the advance receipt of cash for providing future services.
d. Bonds.
Bonds are long-term sources of debt that a company uses to raise money for enlarging its business operations.","Liabilities: Liabilities represent amounts that the business must pay within the time allowed to it for settlement. Based on the time allowed, we can classify liabilities as short-term (current) and long-term. Liabilities represent an accounting element of the balance sheet.",D,
15,Which of the following is true about bonds?,None of the listed choices,All bonds traded at a discount to par make periodical semi-annual interest,Only governments and central banks can issue bonds,"Whether a bond is trading at a premium to par, a discount to par, or at par depends on both its price and the par value",D,"The correct answer is
d. Whether a bond is trading at a premium to par, a discount to par, or at par depends on both its price and the par value.
The price of a bond refers to the amount for which the bond can be bought and sold in the market. The par value refers to the amount the bond issuer is obliged to pay investors when the bond matures. The relationship between these values determines if the bond will trade at premium, par, or discount. If the price is greater than par, the bond trades at a premium. If the price is equivalent to par, the bond trades at par. If the price is less than par, the bond trades at a discount.
The other options are incorrect.
b. All bonds traded at a discount to par make periodical semi-annual interest:
The frequency of interest payments depends on the terms of coupon payments stated in the bond indenture. The fact that a bond trades at par, premium, or discount is irrelevant to the frequency of interest payments.
c. Only governments and central banks can issue bonds:
In addition to governments and central banks, bonds can be issued by other entities like corporations and municipalities.","Bond: A bond is a debt instrument that enables borrowers to raise finance from willing lenders for a specific time period to meet their operational and expansion needs. Some bonds also have options like callability, putability, and convertibility embedded into them.",D,
205,"The anniversary date of a $100,000, 6% bond is June 30th. Interest is to be paid twice per year. The amount of interest to be accrued at the end of August is:","$3,000","$2,000","$1,000","$6,000",C,"The correct answer is
c) $1,000
.
The key inputs to determine the accrued interest are given below:
Face value of the bond = $100,000
Interest rate = 6%
Accrual period = 2 months (July 1 - August 31).
As the payments are made twice a year, the last payment would be on June 30, and interest should be accrued for the next two months until the end of August.
Upon arranging the above-mentioned inputs logically, we have the following number:
Interest on the bond = Face value of the bond × Interest rate × {eq}\dfrac{2}{12} {/eq}
Interest on the bond = $100,000 × 6% × {eq}\dfrac{2}{12} {/eq}
Interest on the bond = $1,000","Interest: Interest can be classified as an expense for the business when paid on the borrowed amount and classified as income when it is received on the amount lent. The former represents a financing activity, while the latter is an investing activity.",C,
206,"When the bond rate is _____ the market rate, the company sells the bond at _____.",lower than; par,higher than; a discount,lower than; a premium,equal to; par,D,"The correct answer is
d. equal to; par
.
Options
Analysis
a. lower than; par
When the bond rate is lower than the market rate, the company sells the bond at a discount, not at par.
b. higher than; a discount
When the bond rate is higher than the market rate, the company sells the bond at a premium, not at a discount.
c. lower than; a premium
When the bond rate is lower than the market rate, the company sells the bond at a discount, not at a premium.
d. equal to; par
When the bond rate is equal to the market rate, the company sells the bond at par.",Bonds: Bonds are debt instruments that increase a company's debt capital and the associated financial risks. The selling price of the bond is determined by comparing the market rate on similar bonds with the coupon rate offered by the company.,C,
230,"ABC Company issued $100,000 face value of bonds on January 1, 2014. The bonds had a 5 percent stated rate of interest and a 10-year term. Interest is paid in cash annually, beginning December 31, 2014. The bonds were issued at 96. (Use straight-line amortization for the bond discount or premium.)","$5,400.","$5,000.","$4,600.",None of the above.,A,"The correct option is a. $5,400.
When bonds are issued at a discount, the amortization of the discount increases the interest expense, and when the straight-line method is used, the same amount is amortized with each interest payment.
Straight-line amortization schedule
Period End
Beginning carrying value (A)
Discount amortization = (B) = $4,000 / 10
Cash Payment = (C)
Interest expense = (B) + (C)
Closing carrying value (A-B)
Unamortized Discount
01/01/14
= $100,000 x 0.96 = $96,000
= $100,000 - $96,000 = $4,000
12/31/14
$96,000
$400
= $100,000 x 0.05 = $5,000
$5,400
$96,400
$3,600","Interest on Bonds: The interest expense incurred on bonds payable is usually not equal to the face value of the bonds and the stated interest rate, because the premium or discount on the bond issue must be amortized to the interest expense over the term of the bonds.",C,
231,"AlkaCon Ltd is a local construction company. They recently issued a bond with annual coupon rate of 8% and a maturity of 10 years. The face value is US$1,000,000.",What is the value of the annual coupon to be paid from this bond?,"If you require a yield to maturity of 6%, what price should you pay for the bond?","Using AlkaCon as the base case, state if the bond would be trading at a premium, discount or par under the following rate conditions: i) 8% ii) 10% iii) 5%",,A,"A) Annual coupon interest
The annual coupon interest is based on the par or face value of the bonds and stated or coupon interest payment:
Face value of the bonds
$1,000,000
Annual coupon rate
8%
Annual coupon payment
= $1,000,000 × 0.08
$80,000
B) Price of the bonds
To calculate the issue price of the bonds, we must discount the future cash flows from the bonds using the present value factor for a single sum to discount the face value of the bonds and the present value of an ordinary annuity to discount the present value of the annual interest payments:
Issue price of the bonds
Face value of the bonds
$1,000,000
Number of periods
10
Discount rate
6.00%
Semiannual interest payments
$80,000
Present value of a single sum after 10 periods @ 6%
0.55839
Present value of an ordinary annuity over 10 periods @ 6%
7.36009
Present value of the face value
$558,395
Present value of the cash interest payments
$588,807
Issue price of the bonds
$1,147,202
We can get the present value factors from present value tables, so use these formulas to calculate them:
{eq}PVF=1(1+i)^n {/eq}
where,
i = interest rate
n = number of years
We calculate the present value of a $1 ordinary annuity using this formula:
{eq}\begin{align} \text{Present value of an ordinary annuity} &= 1 × (\frac{1 - (1 + i)^{-n}}{i} ) \\ \end{align} {/eq}
C)
Condition
Discount, premium, or par
Comment
i) 8%
Par
The market rate is the same as the bond's coupon rate, so the bonds would trade at the same price as their face value, or at par.
ii) 10%
Discount
When the market rate is higher than the coupon rate, the bonds would trade at a value lower than their par value, or at a discount
iii) 5%
Premium
When the rate the market would accept is lower than the coupon rate, the price of the bonds is higher than their face value, so the bonds trade at a premium.",Premium or Discount on Bond Issue: Bonds are issued at a premium or a discount when the proceeds of the bond issue differ from the par value of the bonds. This premium or discount is initially recorded in a balance sheet account and then amortized over the term of the bonds to the interest expense.,C,
232,Bonds are sometimes called __________ securities because they pay set amounts on specific future dates.,fixed-income,variable-income,real,bully,A,"A) Correct. Bond issuers will usually make periodic coupons to bondholders until bonds mature in the future. This feature explains why bonds can be considered fixed-income securities.
B) Incorrect. Mostly, a regular bond makes constant interest payments until its maturity date.
C) Incorrect. The coupon rate on a bond is a nominal interest rate. Hence, a bond is not a real security since its rate of return does not exclude the inflation risk premium.
D) Incorrect. Bonds are fixed-income securities, which should be considered less risky than other securities. In addition, an investor will select a bond rather than a stock since a bond contributes periodic payments. A capital gain is not the main investing purpose of bonds. Thus, it is irrelevant to confirm bonds are bully securities.","Bonds: In practice, bonds are issued by either a government or a corporate entity. Bonds are sold to raise debt capital at a lower financing cost compared to equity capital. In practice, a firm can earn an advantage of debt capital since interest expenses are deductible for tax purposes, which generates an interest tax shield.",A,
233,Bonds issued by a corporation represent a means of borrowing funds from the general public or institutional investors on a long-term basis.,True,False,,,A,"The statement 'Bonds issued by a corporation represent a means of borrowing funds from the general public or institutional investors on a long-term basis.' is
true
as bonds are a sort of debt product that firms sell to investors to raise cash for long-term borrowing. These bonds pay investors interest regularly, and the principal amount is reimbursed at maturity. Investors might be members of the public or institutional investors.","Institutional Investors: Institutional investors are a valuable source of funding for businesses and governments. They have vast aids, financial experts, and advanced analytical tools to assist in making investment decisions.",A,
234,Bonds that give the holder the option of exchanging the bonds for capital stock of the corporation are called:,Convertible bonds.,Debenture bonds.,Callable bonds.,Coupon bonds.,A,"The correct option is
a. Convertible bonds.
If the bondholder wants to convert his bonds into the issuer's common stock, then he must have a convertible bond. This bond type facilitates converting the bonds into the predetermined number of shares of common stock. This way, the bondholder benefits when the company's stock price goes up. However, if the stock price does not go up, the bondholder still gets the annual interest rate on bonds in a predetermined manner.
Reasons why other options are incorrect:
b. Debenture bonds :
Debenture bonds are not correct because such bonds are unsecured and are backed only by the creditworthiness of the issuer. These bonds do not have a conversion feature.
c. Callable bonds :
This bond has the facility that the issuer of the bond can call it before its maturity date at a specific call price. This bond also does not have a conversion feature.
d. Coupon bonds :
This bond also does not have a conversion feature and provides periodic interest payments, also known as coupons, to the bondholders.","Common Stock: The common stock gives the holder ownership in the company as well as the power to elect the board of directors and voting rights. In the event of bankruptcy, they are not eligible for compensation first. Preference is given to the preferred stockholders.",A,
235,"Commodity-backed bonds are redeemable in measures of a commodity such as barrels of oil, tons of coal, or ounces of rare metal.",True,False,,,A,"The statement 'Commodity-backed bonds are redeemable in measures of a commodity such as barrels of oil, tons of coal, or ounces of rare metal' is
true
as these bonds are also known as asset-backed securities, backed by physical assets such as commodities or real estate, as opposed to traditional bonds backed by the issuer's creditworthiness. The value of commodity-backed bonds is tied to the underlying commodity's price, and the bonds can be redeemed for them at maturity. These bonds may expose investors to commodity prices excluding physical requirements to own the commodity.",Assets-Backed Securities: Credit rating agencies grade asset-backed securities based on the underlying asset's quality and the credit advancements granted as they are formed by combining various forms of assets and other loan types.,A,
236,How would you calculate the amount of premium amortized?,Dividing the premium at issuance with the number of interest payments.,Dividing the premium at issuance with the life of the bond.,Dividing the premium at issuance with the amount at maturity.,Dividing the premium at issuance with the face value of the bond.,A,"The correct option is
(a) Dividing the premium at issuance by the number of interest payments.
The premium on bonds issued arises when the bonds are issued at a price higher than the face value of the bonds. The premium on bonds issued has a credit balance that is amortized over the tenure of the bonds.
The premium on bonds issued is debited by the amortization amount on each interest payment date. Under the straight-line amortization method, the amortization amount is computed by dividing the premium by the number of interest payments.
{eq}\text{Premium on bonds} = \dfrac{\text{Premium}}{\text{Number of interest payments}} {/eq}","Premium on Bonds Payable: Bonds are issued at a premium when the market interest rate is lower than the stated interest rate of bonds. In such cases, the premium on the bonds payable account is credited by the difference between the issue price and the bonds' face value.",A,
237,"If 1-year interest rates for the next three years are expected to be 4, 2, and 3 percent, and the 3-year term premium is 1 percent, then the 3-year bond rate will be:",1 percent,2 percent,3 percent,4 percent,D,"The correct option is D.
4%
.
The 3-year bond rate can be calculated by taking the average of the 1-year interest rate of the 3 years and adding a premium to it.
The calculation of the average interest rate is as follows:
{eq}\begin{align*}{\rm\text{Average}}\,{\rm\text{interest}}\,{\rm\text{rate}}\, &= \,\frac{{{\rm\text{Sum}}\,{\rm\text{of}}\,{\rm\text{the}}\,{\rm\text{short}}\,{\rm\text{term}}\,{\rm\text{interest}}\,{\rm\text{rate}}\,{\rm\text{for}}\,{\rm\text{each}}\,{\rm\text{year}}}}{{{\rm\text{Number}}\,{\rm\text{of}}\,{\rm\text{years}}}}\\ &= \,\frac{{4\% \, + \,2\% \, + \,3\% }}{{3\,{\rm\text{years}}}}\\ &= \,\frac{{9\% }}{{3\,{\rm\text{years}}}}\\ &= \,3\% \end{align*} {/eq}
Hence, the average interest rate is 3%
.
The calculation of the 3-year bond rate is as follows:
{eq}\begin{align*}3{\rm\text{ - year}}\,{\rm\text{bond}}\,{\rm\text{rate}}\, &= \,{\rm\text{Average}}\,{\rm\text{interest}}\,{\rm\text{rate}}\, + \,{\rm\text{Premium}}\\ &= \,3\% \, + \,1\% \\ &= \,4\% \end{align*} {/eq}
Hence, the 3-year bond rate is 4%
.","Short-Term Interest Rates: Short-term interest rates refer to the interest rates on financial instruments, such as government bonds, influenced by the monetary policies of central banks and the supply and demand of money in the economy.",D,
238,"If bonds are issued at a discount, the amortization of the discount over the life of the bonds causes the:",Interest expense to decrease each period.,Interest expense to increase each period.,Carrying value of the bonds to decrease.,Cash paid to increase.,B,"If bonds are issued at a discount, the amortization of the discount over the life of the bonds causes the
b. interest expense to increase each period.
The company can amortize the discount on the bonds using the straight-line method or the effective interest method. The bond discount is credited at each payment and the interest expense is increased so the company reports a greater expense than they pay in cash to bondholders.
Analysis of Alternatives
a. The interest expense is decreased each period if the bond is sold a premium.
c. The carrying value of the bonds decreases each period if the bond is issued as a premium.
d. The cash payment is stipulated by the bond certificate and is the same regardless of whether the bond is issued at a premium, discount, or at par.","Bond Discounts: When a company issues bonds at a rate that is lower than the going market rate, the company has to accept less than the face value of the bond to attract investors. The resulting difference between the issue value and face value is known as a bond discount. If, by contrast, the bond is sold for more than face value, the difference is known as a bond premium.",B,
239,"If bonds with a face value of $100,000 are issued at 105, what amount is recorded in the Premium on Bonds Payable account?","$105,000",$105,"$5,000","$100,500",C,"The correct option is
(c.) $5,000
If the bonds are issued at 105, it means that the bonds are issued at a premium of 5% of the face value.
So the premium on bonds payable account will have
$100,000 X 5% = $5,000","Bonds: Bonds have a face value, however, they can be issued either at a discount or a premium depending on the market interest rate. If the market interest rate is lower than the stated interest rate, then the bonds are issued at a premium and vice versa.",C,
240,"If bonds with a face value of $50,000 are issued at 95, what amount would they be issued for:","$52,500","$50,095","$47,500",$95,C,"The correct option is
(c.) $47,500
If bonds with a face value of $50,000 are issued at 95, that means the bonds are issued at 95% of their face value.
So the amount received on issue of such bonds will be
$50,000 X 95% = $47,500","Bonds: Bonds are securities issued by companies to raise debt. Like equities, bonds can also be traded on a securities exchange. Bonds are liabilities for the issuing company.",C,
241,"If Interest on bonds of $4,500 is paid semi-annually for 10 years, what is the total cost of borrowing $150,000?","$90,000","$45,000","$105,000","$60,000",A,"The correct option is
(a.) $90,000
Interest paid semiannually means interest is paid twice during the year.
If interest on bonds of $4,500 is paid semi-annually for 10 years, it means that the total interest paid during tenure of 10 years will be
$4,500 X 2 X 10 years = $90,000",Bonds: Bonds are financial instruments that companies issue to raise funds in the form of debt. Bonds Payable have credit balances and appear on the liability side of the balance sheet.,A,
242,"If the bond's stated rate of interest is greater than the market rate of interest, the bond will be issued at:",a discount.,par.,a premium.,maturity value.,C,"The correct answer is
c. a premium
.
Options
Analysis
a. a discount.
Bonds are sold at a discount when the market rate on similar bonds exceeds the bond's stated rate.
b. par.
The bonds sell at par when both market and stated interest rates are the same.
c. a premium.
When the market rate on similar bonds is less than the bond's stated rate, the bonds will sell at a premium.
d. maturity value.
Bonds are never issued at maturity value. They may be redeemed at maturity value.",Issuing Bonds: A corporation issue bonds to expand its business though it knows that excess debt capital brings with them a default risk of bankruptcy in the long run. Bond proceeds are reported as cash inflows under financing activities.,C,
243,"If the interest paid is $4,000 and the premium amortized is $200, how much will go into the interest expense account?","$3,800","$4,200","$4,000",$0,A,"The correct option is
(a.) $3,800
The premium on the bonds payable account has a credit balance and is amortized over the tenure of the bond. With each interest payment, it is debited along with the interest expense account. This means that it reduces the interest expense.
So, if the interest paid is $4,000 and the premium amortized is $200, then $4,000 - $200 = $3,800 will go into the interest expense account.",Bonds: Bonds are a form of liability for the company. Bonds are issued by the company to raise long-term funds. Bonds have a stated rate of interest and require periodic payment of interest.,A,
244,"On December 31, 2017, Lopez Sales has a Bonds Payable balance of $72,000 and a Premium on Bonds Payable balance of $4,000. On the balance sheet, how will this information be shown?","$72,000 less premium of $4,000 for a net balance of $68,000.","$72,000 plus a premium of $4,000 for a net balance of $76,000.","$72,000.","$72,000 less one-tenth of $4,000 for a net balance of $71,600.",B,"The correct option is b. $72,000 plus a premium of $ 4,000 for a net balance of $ 76,000.
Given information:
Bond payable balance = $72,000.
The premium of bonds payable = $4,000.
The balance sheet will contain the bond payable as follows:
Liabilities
Amount
Bonds payable balance
$72,000
Add: Premium on bonds payable
$4,000
Net bonds payable
$76,000
Thus, the amount of bonds payable is $76,000.
Explanation:
The premium on bonds payable of $4,000 is recorded in the liability as this amount is the excess received by the company. It is added to the bonds payable amount of $72,000 to show net bonds payable of $76,000 in the liability section of the balance sheet.","Premium on Bonds Payable: The excess money a corporation receives when issuing bonds beyond its value at par is known as the premium on bonds due, which is amortized as interest expenses throughout the bond's useful life.",B,
245,"On Jan 2018, your company issued a $1,000,000, 8% payable annually, 5-year, bond when the market rate was 10%. Did your company issue its bond on Jan 1, 2018, at a premium or discount?",neither at a premium nor at a discount.,at par value.,at a premium.,at a discount.,D,"If a company issues bonds for less than the market rate, the bond will have to sell for less than face value to attract buyers and this means that the bonds are sold
d. at a discount.
Bonds sold at a discount will account for the difference between the bond's face value and its issue value in a contra liability account Discount on Bonds Payable. The discount is amortized by a company over the bond's life and increases the interest expense.
Analysis of Alternatives
A. The bond is issued at neither a premium nor at a discount when the market rate is equal to the stated rate of interest on the bond.
B. A bond is issued at par value when it's stated rate of interest is the same as the market rate.
C. If a bond offers a higher rate of interest than the market rate, then the bond would be issued at a premium to reflect the higher returns.","Bonds: A company issues bonds as an alternative means of raising funds for operations instead of issuing stock. Issuing bonds preserves the integrity of stockholders' equity and payments of interest, unlike dividend payments, have benefits for a company's tax liability.",D,
